GTOPO30_ASPECT_reduced,x,y
-9999.0,17.29166805,69.79167225
-9999.0,15.20833455,68.12500545
172.0,-134.37501075,67.29167205
-9999.0,21.45833505,63.54167175
188.0,-158.12501265,63.12500505
238.0,9.37500075,63.12500505
-9999.0,-6.87500055000001,62.70833835
-9999.0,-6.04166715000002,62.70833835
235.0,16.87500135,62.70833835
-9999.0,-7.29166725000002,62.29167165
-9999.0,-6.87500055000001,62.29167165
107.0,-6.45833385,62.29167165
78.0,-6.87500055000001,61.87500495
-9999.0,18.12500145,61.04167155
338.0,21.45833505,61.04167155
-9999.0,6.04166714999999,60.20833815
203.0,30.62500245,59.79167145
50.0,37.70833635,59.79167145
14.0,36.45833625,59.37500475
221.0,38.54166975,59.37500475
-9999.0,-2.29166685000001,58.95833805
170.0,26.04166875,58.95833805
292.0,27.70833555,58.95833805
165.0,15.62500125,58.54167135
-9999.0,23.54166855,58.54167135
231.0,23.95833525,58.54167135
194.0,36.87500295,58.54167135
45.0,37.29166965,58.54167135
219.0,43.12500345,58.54167135
245.0,43.54167015,58.54167135
-9999.0,-158.95834605,58.12500465
-9999.0,-6.04166715000002,58.12500465
307.0,13.12500105,58.12500465
306.0,36.45833625,58.12500465
15.0,36.87500295,58.12500465
24.0,43.12500345,58.12500465
315.0,43.54167015,58.12500465
42.0,-117.70834275,57.70833795
-9999.0,7.70833395,57.70833795
263.0,13.54166775,57.70833795
266.0,45.62500365,57.70833795
-9999.0,11.87500095,57.29167125
153.0,14.37500115,57.29167125
-9999.0,20.62500165,57.29167125
337.0,36.45833625,57.29167125
36.0,40.20833655,57.29167125
192.0,45.62500365,57.29167125
-9999.0,18.54166815,56.87500455
108.0,23.12500185,56.87500455
174.0,33.95833605,56.87500455
117.0,34.37500275,56.87500455
349.0,41.87500335,56.87500455
114.0,42.70833675,56.87500455
184.0,43.95833685,56.87500455
315.0,46.45833705,56.87500455
185.0,46.87500375,56.87500455
251.0,47.29167045,56.87500455
-9999.0,-135.20834415,56.45833785
-9999.0,-6.87500055000001,56.45833785
230.0,9.37500075,56.45833785
-9999.0,11.04166755,56.45833785
323.0,33.95833605,56.45833785
169.0,39.37500315,56.45833785
297.0,41.87500335,56.45833785
175.0,42.70833675,56.45833785
157.0,47.29167045,56.45833785
45.0,-91.45834065,56.04167115
-9999.0,-77.70833955,56.04167115
-9999.0,-77.29167285,56.04167115
77.0,-61.45833825,56.04167115
-9999.0,-60.62500485,56.04167115
47.0,-2.70833355000002,56.04167115
14.0,12.29166765,56.04167115
2.0,29.79166905,56.04167115
288.0,33.95833605,56.04167115
20.0,35.62500285,56.04167115
45.0,37.70833635,56.04167115
51.0,38.54166975,56.04167115
175.0,40.20833655,56.04167115
189.0,41.45833665,56.04167115
305.0,42.70833675,56.04167115
56.0,43.95833685,56.04167115
101.0,44.79167025,56.04167115
280.0,46.45833705,56.04167115
8.0,-2.29166685000001,55.62500445
-9999.0,-1.04166675000002,55.62500445
-9999.0,14.79166785,55.62500445
293.0,29.79166905,55.62500445
203.0,30.62500245,55.62500445
322.0,33.95833605,55.62500445
101.0,34.79166945,55.62500445
129.0,35.62500285,55.62500445
231.0,36.04166955,55.62500445
5.0,37.70833635,55.62500445
180.0,38.54166975,55.62500445
122.0,40.20833655,55.62500445
92.0,41.04166995,55.62500445
149.0,41.87500335,55.62500445
185.0,42.70833675,55.62500445
344.0,47.29167045,55.62500445
317.0,-132.70834395,55.20833775
51.0,9.37500075,55.20833775
-9999.0,19.37500155,55.20833775
342.0,23.95833525,55.20833775
242.0,33.95833605,55.20833775
283.0,36.45833625,55.20833775
72.0,38.12500305,55.20833775
214.0,39.37500315,55.20833775
197.0,41.45833665,55.20833775
62.0,41.87500335,55.20833775
282.0,42.70833675,55.20833775
324.0,49.79167065,55.20833775
296.0,-1.45833345,54.79167105
-9999.0,-0.625000050000011,54.79167105
-9999.0,8.54166734999998,54.79167105
214.0,9.37500075,54.79167105
45.0,23.12500185,54.79167105
77.0,28.95833565,54.79167105
3.0,30.62500245,54.79167105
342.0,34.37500275,54.79167105
306.0,36.45833625,54.79167105
84.0,36.87500295,54.79167105
22.0,37.70833635,54.79167105
159.0,38.54166975,54.79167105
280.0,40.20833655,54.79167105
120.0,41.45833665,54.79167105
81.0,42.70833675,54.79167105
180.0,43.95833685,54.79167105
-9999.0,48.95833725,54.79167105
-9999.0,-3.54166695000001,54.37500435
306.0,21.04166835,54.37500435
113.0,28.54166895,54.37500435
180.0,28.95833565,54.37500435
127.0,36.04166955,54.37500435
7.0,36.45833625,54.37500435
344.0,37.70833635,54.37500435
122.0,40.20833655,54.37500435
252.0,41.45833665,54.37500435
326.0,42.70833675,54.37500435
98.0,44.79167025,54.37500435
266.0,46.45833705,54.37500435
227.0,47.29167045,54.37500435
32.0,-8.54166735000001,53.95833765
-9999.0,-3.12500025,53.95833765
74.0,-1.45833345,53.95833765
0.0,20.62500165,53.95833765
182.0,21.45833505,53.95833765
139.0,23.12500185,53.95833765
183.0,23.54166855,53.95833765
223.0,27.70833555,53.95833765
323.0,29.37500235,53.95833765
314.0,30.62500245,53.95833765
125.0,31.45833585,53.95833765
181.0,35.62500285,53.95833765
150.0,36.45833625,53.95833765
148.0,38.54166975,53.95833765
31.0,41.87500335,53.95833765
165.0,45.62500365,53.95833765
40.0,47.29167045,53.95833765
353.0,49.79167065,53.95833765
163.0,-129.37501035,53.54167095
-9999.0,-5.20833375000001,53.54167095
-9999.0,-3.54166695000001,53.54167095
18.0,-2.29166685000001,53.54167095
-9999.0,0.625000049999983,53.54167095
-9999.0,4.37500034999999,53.54167095
347.0,20.62500165,53.54167095
324.0,21.87500175,53.54167095
126.0,27.70833555,53.54167095
273.0,29.37500235,53.54167095
259.0,33.95833605,53.54167095
260.0,36.45833625,53.54167095
32.0,36.87500295,53.54167095
306.0,43.95833685,53.54167095
-9999.0,48.95833725,53.54167095
195.0,-131.87501055,53.12500425
307.0,-2.29166685000001,53.12500425
-9999.0,1.04166674999999,53.12500425
-9999.0,1.45833345,53.12500425
355.0,20.62500165,53.12500425
281.0,21.87500175,53.12500425
338.0,22.29166845,53.12500425
341.0,23.54166855,53.12500425
343.0,30.62500245,53.12500425
283.0,35.62500285,53.12500425
205.0,36.45833625,53.12500425
84.0,40.20833655,53.12500425
309.0,41.04166995,53.12500425
220.0,42.70833675,53.12500425
253.0,43.12500345,53.12500425
12.0,44.79167025,53.12500425
-9999.0,-132.29167725,52.70833755
-9999.0,-4.79166705,52.70833755
186.0,0.625000049999983,52.70833755
315.0,8.12500064999998,52.70833755
153.0,9.79166744999998,52.70833755
8.0,12.29166765,52.70833755
-9999.0,12.70833435,52.70833755
158.0,20.62500165,52.70833755
357.0,21.45833505,52.70833755
225.0,23.95833525,52.70833755
326.0,27.70833555,52.70833755
225.0,29.37500235,52.70833755
213.0,36.45833625,52.70833755
315.0,37.70833635,52.70833755
10.0,38.12500305,52.70833755
33.0,41.45833665,52.70833755
144.0,41.87500335,52.70833755
