ISRICSOILGRIDS_new_average_bulkdensity_reduced,x,y
-9999.0,-157.70834595,71.45833905
997.0,-24.37500195,71.45833905
1046.0,-22.70833515,71.45833905
-9999.0,23.54166855,71.45833905
-9999.0,24.37500195,71.45833905
-9999.0,25.20833535,71.45833905
-9999.0,25.62500205,71.45833905
-9999.0,27.29166885,71.45833905
-9999.0,28.12500225,71.45833905
-9999.0,28.54166895,71.45833905
-9999.0,76.45833945,71.45833905
-9999.0,-159.79167945,71.04167235
-9999.0,-159.37501275,71.04167235
-9999.0,-158.95834605,71.04167235
-9999.0,-158.54167935,71.04167235
-9999.0,-158.12501265,71.04167235
-9999.0,-157.70834595,71.04167235
-9999.0,-157.29167925,71.04167235
-9999.0,-149.79167865,71.04167235
-9999.0,-149.37501195,71.04167235
-9999.0,-24.37500195,71.04167235
954.0,-23.95833525,71.04167235
1034.0,-23.12500185,71.04167235
1028.0,-22.70833515,71.04167235
941.0,-21.87500175,71.04167235
-9999.0,-21.45833505,71.04167235
-9999.0,-8.12500065,71.04167235
-9999.0,-7.70833395000002,71.04167235
-9999.0,21.87500175,71.04167235
-9999.0,22.70833515,71.04167235
-9999.0,23.12500185,71.04167235
945.0,23.95833525,71.04167235
-9999.0,24.37500195,71.04167235
-9999.0,25.20833535,71.04167235
1050.0,25.62500205,71.04167235
-9999.0,26.45833545,71.04167235
-9999.0,26.87500215,71.04167235
976.0,27.70833555,71.04167235
1007.0,28.12500225,71.04167235
-9999.0,28.54166895,71.04167235
-9999.0,28.95833565,71.04167235
-9999.0,29.37500235,71.04167235
-9999.0,29.79166905,71.04167235
-9999.0,30.20833575,71.04167235
967.0,76.45833945,71.04167235
998.0,76.87500615,71.04167235
-9999.0,-162.29167965,70.62500565
-9999.0,-161.87501295,70.62500565
-9999.0,-161.45834625,70.62500565
-9999.0,-161.04167955,70.62500565
-9999.0,-160.62501285,70.62500565
778.0,-159.79167945,70.62500565
841.0,-159.37501275,70.62500565
810.0,-158.95834605,70.62500565
812.0,-158.54167935,70.62500565
822.0,-158.12501265,70.62500565
803.0,-157.70834595,70.62500565
784.0,-157.29167925,70.62500565
794.0,-156.87501255,70.62500565
798.0,-156.45834585,70.62500565
764.0,-156.04167915,70.62500565
731.0,-155.62501245,70.62500565
737.0,-155.20834575,70.62500565
792.0,-154.79167905,70.62500565
754.0,-154.37501235,70.62500565
-9999.0,-151.45834545,70.62500565
-9999.0,-151.04167875,70.62500565
-9999.0,-150.62501205,70.62500565
-9999.0,-149.79167865,70.62500565
-9999.0,-149.37501195,70.62500565
-9999.0,-148.95834525,70.62500565
-9999.0,-148.54167855,70.62500565
-9999.0,-147.70834515,70.62500565
-9999.0,-147.29167845,70.62500565
-9999.0,-146.87501175,70.62500565
-9999.0,-145.62501165,70.62500565
-9999.0,-143.95834485,70.62500565
-9999.0,-143.54167815,70.62500565
-9999.0,-143.12501145,70.62500565
-9999.0,-130.62501045,70.62500565
992.0,-21.87500175,70.62500565
-9999.0,-21.45833505,70.62500565
-9999.0,18.54166815,70.62500565
-9999.0,18.95833485,70.62500565
-9999.0,19.37500155,70.62500565
-9999.0,19.79166825,70.62500565
-9999.0,20.20833495,70.62500565
-9999.0,20.62500165,70.62500565
-9999.0,21.04166835,70.62500565
-9999.0,21.45833505,70.62500565
-9999.0,21.87500175,70.62500565
915.0,22.70833515,70.62500565
854.0,23.12500185,70.62500565
1003.0,23.95833525,70.62500565
1030.0,24.37500195,70.62500565
935.0,24.79166865,70.62500565
968.0,25.20833535,70.62500565
-9999.0,25.62500205,70.62500565
947.0,26.45833545,70.62500565
-9999.0,26.87500215,70.62500565
972.0,27.70833555,70.62500565
1041.0,28.12500225,70.62500565
1040.0,28.54166895,70.62500565
972.0,28.95833565,70.62500565
954.0,29.37500235,70.62500565
981.0,30.20833575,70.62500565
-9999.0,30.62500245,70.62500565
1069.0,76.04167275,70.62500565
1045.0,76.45833945,70.62500565
1043.0,76.87500615,70.62500565
1054.0,77.29167285,70.62500565
-9999.0,-162.29167965,70.20833895
791.0,-161.87501295,70.20833895
823.0,-160.62501285,70.20833895
747.0,-160.20834615,70.20833895
829.0,-159.79167945,70.20833895
804.0,-159.37501275,70.20833895
821.0,-158.95834605,70.20833895
822.0,-158.12501265,70.20833895
762.0,-157.70834595,70.20833895
837.0,-156.87501255,70.20833895
849.0,-156.04167915,70.20833895
793.0,-155.62501245,70.20833895
841.0,-155.20834575,70.20833895
800.0,-154.37501235,70.20833895
813.0,-153.95834565,70.20833895
779.0,-152.29167885,70.20833895
720.0,-151.45834545,70.20833895
-9999.0,-147.70834515,70.20833895
-9999.0,-144.79167825,70.20833895
-9999.0,-141.87501135,70.20833895
-9999.0,-141.45834465,70.20833895
-9999.0,17.70833475,70.20833895
-9999.0,18.12500145,70.20833895
-9999.0,18.54166815,70.20833895
-9999.0,18.95833485,70.20833895
-9999.0,19.37500155,70.20833895
-9999.0,19.79166825,70.20833895
906.0,20.20833495,70.20833895
909.0,20.62500165,70.20833895
-9999.0,21.04166835,70.20833895
912.0,21.45833505,70.20833895
916.0,21.87500175,70.20833895
-9999.0,22.29166845,70.20833895
893.0,22.70833515,70.20833895
-9999.0,23.12500185,70.20833895
957.0,23.54166855,70.20833895
956.0,24.37500195,70.20833895
1012.0,24.79166865,70.20833895
919.0,25.20833535,70.20833895
1025.0,25.62500205,70.20833895
1042.0,26.45833545,70.20833895
1049.0,26.87500215,70.20833895
991.0,27.29166885,70.20833895
975.0,27.70833555,70.20833895
924.0,28.12500225,70.20833895
950.0,28.54166895,70.20833895
840.0,29.37500235,70.20833895
-9999.0,31.45833585,70.20833895
-9999.0,31.87500255,70.20833895
-9999.0,32.29166925,70.20833895
-9999.0,32.70833595,70.20833895
1059.0,76.45833945,70.20833895
-9999.0,-163.12501305,69.79167225
843.0,-162.70834635,69.79167225
873.0,-162.29167965,69.79167225
845.0,-161.87501295,69.79167225
929.0,-161.45834625,69.79167225
924.0,-161.04167955,69.79167225
871.0,-160.62501285,69.79167225
832.0,-159.79167945,69.79167225
963.0,-159.37501275,69.79167225
899.0,-158.95834605,69.79167225
823.0,-158.54167935,69.79167225
812.0,-158.12501265,69.79167225
804.0,-157.70834595,69.79167225
771.0,-157.29167925,69.79167225
823.0,-156.87501255,69.79167225
866.0,-156.45834585,69.79167225
924.0,-156.04167915,69.79167225
835.0,-155.62501245,69.79167225
836.0,-155.20834575,69.79167225
850.0,-154.79167905,69.79167225
797.0,-154.37501235,69.79167225
793.0,-153.95834565,69.79167225
808.0,-153.54167895,69.79167225
926.0,-153.12501225,69.79167225
856.0,-152.70834555,69.79167225
919.0,-151.87501215,69.79167225
866.0,-151.45834545,69.79167225
792.0,-151.04167875,69.79167225
865.0,-150.62501205,69.79167225
765.0,-149.79167865,69.79167225
806.0,-149.37501195,69.79167225
837.0,-148.95834525,69.79167225
845.0,-148.54167855,69.79167225
840.0,-147.70834515,69.79167225
802.0,-147.29167845,69.79167225
842.0,-146.87501175,69.79167225
833.0,-145.62501165,69.79167225
844.0,-145.20834495,69.79167225
814.0,-144.79167825,69.79167225
811.0,-143.95834485,69.79167225
884.0,-143.54167815,69.79167225
842.0,-143.12501145,69.79167225
827.0,-141.87501135,69.79167225
-9999.0,-141.45834465,69.79167225
-9999.0,-141.04167795,69.79167225
-9999.0,-140.20834455,69.79167225
-9999.0,-139.79167785,69.79167225
-9999.0,-139.37501115,69.79167225
-9999.0,-138.95834445,69.79167225
-9999.0,-138.54167775,69.79167225
964.0,-23.12500185,69.79167225
-9999.0,-22.70833515,69.79167225
-9999.0,16.45833465,69.79167225
-9999.0,16.87500135,69.79167225
-9999.0,17.29166805,69.79167225
-9999.0,17.70833475,69.79167225
745.0,18.12500145,69.79167225
876.0,18.54166815,69.79167225
900.0,18.95833485,69.79167225
-9999.0,19.37500155,69.79167225
-9999.0,19.79166825,69.79167225
888.0,20.20833495,69.79167225
905.0,20.62500165,69.79167225
917.0,21.04166835,69.79167225
963.0,21.45833505,69.79167225
925.0,21.87500175,69.79167225
1020.0,22.70833515,69.79167225
975.0,23.12500185,69.79167225
1013.0,23.54166855,69.79167225
916.0,23.95833525,69.79167225
965.0,24.37500195,69.79167225
991.0,24.79166865,69.79167225
945.0,25.20833535,69.79167225
992.0,25.62500205,69.79167225
981.0,26.45833545,69.79167225
1061.0,26.87500215,69.79167225
998.0,27.70833555,69.79167225
999.0,28.12500225,69.79167225
1055.0,28.54166895,69.79167225
999.0,28.95833565,69.79167225
988.0,29.37500235,69.79167225
963.0,29.79166905,69.79167225
1001.0,30.20833575,69.79167225
979.0,30.62500245,69.79167225
-9999.0,31.04166915,69.79167225
-9999.0,31.45833585,69.79167225
915.0,31.87500255,69.79167225
982.0,32.29166925,69.79167225
-9999.0,32.70833595,69.79167225
-9999.0,33.12500265,69.79167225
-9999.0,33.54166935,69.79167225
-9999.0,33.95833605,69.79167225
-9999.0,34.37500275,69.79167225
-9999.0,48.95833725,69.79167225
-9999.0,49.37500395,69.79167225
-9999.0,64.37500515,69.79167225
-9999.0,64.79167185,69.79167225
1069.0,75.20833935,69.79167225
1059.0,76.04167275,69.79167225
1107.0,76.45833945,69.79167225
1047.0,76.87500615,69.79167225
1145.0,77.29167285,69.79167225
1119.0,77.70833955,69.79167225
951.0,171.45834705,69.79167225
880.0,172.29168045,69.79167225
-9999.0,-165.20834655,69.37500555
-9999.0,-164.79167985,69.37500555
-9999.0,-164.37501315,69.37500555
-9999.0,-163.95834645,69.37500555
-9999.0,-163.54167975,69.37500555
-9999.0,-163.12501305,69.37500555
859.0,-162.29167965,69.37500555
741.0,-161.87501295,69.37500555
812.0,-161.45834625,69.37500555
734.0,-160.62501285,69.37500555
832.0,-160.20834615,69.37500555
726.0,-159.79167945,69.37500555
787.0,-159.37501275,69.37500555
817.0,-158.95834605,69.37500555
762.0,-158.54167935,69.37500555
725.0,-157.70834595,69.37500555
689.0,-157.29167925,69.37500555
792.0,-156.87501255,69.37500555
735.0,-156.45834585,69.37500555
730.0,-156.04167915,69.37500555
790.0,-155.20834575,69.37500555
800.0,-154.37501235,69.37500555
831.0,-153.95834565,69.37500555
866.0,-153.12501225,69.37500555
844.0,-152.70834555,69.37500555
862.0,-151.87501215,69.37500555
847.0,-151.45834545,69.37500555
842.0,-151.04167875,69.37500555
767.0,-150.62501205,69.37500555
884.0,-149.79167865,69.37500555
820.0,-149.37501195,69.37500555
789.0,-148.95834525,69.37500555
804.0,-147.70834515,69.37500555
812.0,-147.29167845,69.37500555
865.0,-146.87501175,69.37500555
942.0,-145.62501165,69.37500555
940.0,-145.20834495,69.37500555
889.0,-144.79167825,69.37500555
1030.0,-143.95834485,69.37500555
961.0,-143.12501145,69.37500555
845.0,-141.87501135,69.37500555
899.0,-141.04167795,69.37500555
919.0,-140.20834455,69.37500555
896.0,-139.79167785,69.37500555
877.0,-139.37501115,69.37500555
-9999.0,-138.54167775,69.37500555
-9999.0,-138.12501105,69.37500555
-9999.0,-137.70834435,69.37500555
-9999.0,-137.29167765,69.37500555
1018.0,-130.20834375,69.37500555
996.0,-24.37500195,69.37500555
-9999.0,-23.95833525,69.37500555
-9999.0,14.37500115,69.37500555
-9999.0,14.79166785,69.37500555
-9999.0,15.20833455,69.37500555
-9999.0,15.62500125,69.37500555
-9999.0,16.04166795,69.37500555
-9999.0,16.45833465,69.37500555
990.0,16.87500135,69.37500555
876.0,17.29166805,69.37500555
968.0,17.70833475,69.37500555
885.0,18.12500145,69.37500555
-9999.0,18.54166815,69.37500555
900.0,18.95833485,69.37500555
888.0,19.37500155,69.37500555
1002.0,19.79166825,69.37500555
973.0,20.62500165,69.37500555
1037.0,21.45833505,69.37500555
1000.0,21.87500175,69.37500555
973.0,22.70833515,69.37500555
983.0,23.12500185,69.37500555
1030.0,23.54166855,69.37500555
973.0,23.95833525,69.37500555
971.0,24.37500195,69.37500555
1010.0,24.79166865,69.37500555
983.0,25.20833535,69.37500555
963.0,25.62500205,69.37500555
973.0,26.04166875,69.37500555
975.0,26.45833545,69.37500555
981.0,26.87500215,69.37500555
998.0,27.70833555,69.37500555
1003.0,28.12500225,69.37500555
1067.0,28.54166895,69.37500555
1001.0,28.95833565,69.37500555
996.0,29.37500235,69.37500555
976.0,29.79166905,69.37500555
1072.0,30.20833575,69.37500555
1042.0,30.62500245,69.37500555
993.0,31.04166915,69.37500555
945.0,31.45833585,69.37500555
1014.0,31.87500255,69.37500555
1010.0,32.29166925,69.37500555
1020.0,32.70833595,69.37500555
1011.0,33.12500265,69.37500555
-9999.0,33.54166935,69.37500555
-9999.0,33.95833605,69.37500555
-9999.0,34.37500275,69.37500555
-9999.0,35.20833615,69.37500555
-9999.0,35.62500285,69.37500555
-9999.0,36.04166955,69.37500555
-9999.0,36.45833625,69.37500555
1065.0,48.95833725,69.37500555
1046.0,49.37500395,69.37500555
985.0,63.95833845,69.37500555
977.0,64.37500515,69.37500555
-9999.0,64.79167185,69.37500555
-9999.0,65.20833855,69.37500555
-9999.0,65.62500525,69.37500555
-9999.0,66.04167195,69.37500555
-9999.0,66.45833865,69.37500555
1079.0,74.79167265,69.37500555
1099.0,75.20833935,69.37500555
1094.0,76.45833945,69.37500555
1096.0,77.29167285,69.37500555
-9999.0,170.20834695,69.37500555
921.0,172.70834715,69.37500555
-9999.0,-166.04167995,68.95833885
-9999.0,-165.62501325,68.95833885
-9999.0,-164.37501315,68.95833885
800.0,-163.95834645,68.95833885
953.0,-163.54167975,68.95833885
976.0,-163.12501305,68.95833885
934.0,-162.29167965,68.95833885
976.0,-161.87501295,68.95833885
896.0,-160.62501285,68.95833885
653.0,-159.79167945,68.95833885
686.0,-159.37501275,68.95833885
725.0,-158.95834605,68.95833885
816.0,-158.12501265,68.95833885
798.0,-157.70834595,68.95833885
741.0,-156.87501255,68.95833885
873.0,-156.04167915,68.95833885
862.0,-155.62501245,68.95833885
760.0,-155.20834575,68.95833885
846.0,-154.37501235,68.95833885
770.0,-153.95834565,68.95833885
824.0,-152.29167885,68.95833885
878.0,-151.45834545,68.95833885
800.0,-148.54167855,68.95833885
996.0,-147.70834515,68.95833885
1037.0,-144.79167825,68.95833885
968.0,-141.87501135,68.95833885
929.0,-141.45834465,68.95833885
976.0,-140.20834455,68.95833885
957.0,-139.79167785,68.95833885
981.0,-138.54167775,68.95833885
993.0,-138.12501105,68.95833885
970.0,-137.70834435,68.95833885
-9999.0,-136.45834425,68.95833885
-9999.0,-25.20833535,68.95833885
-9999.0,-24.79166865,68.95833885
-9999.0,13.95833445,68.95833885
-9999.0,14.37500115,68.95833885
-9999.0,14.79166785,68.95833885
862.0,15.20833455,68.95833885
917.0,15.62500125,68.95833885
-9999.0,16.04166795,68.95833885
-9999.0,16.45833465,68.95833885
-9999.0,16.87500135,68.95833885
-9999.0,17.29166805,68.95833885
899.0,17.70833475,68.95833885
890.0,18.12500145,68.95833885
937.0,18.54166815,68.95833885
927.0,18.95833485,68.95833885
971.0,19.37500155,68.95833885
940.0,19.79166825,68.95833885
1016.0,21.04166835,68.95833885
1035.0,21.45833505,68.95833885
968.0,21.87500175,68.95833885
948.0,22.29166845,68.95833885
973.0,22.70833515,68.95833885
999.0,23.12500185,68.95833885
1013.0,23.54166855,68.95833885
1040.0,23.95833525,68.95833885
1048.0,24.37500195,68.95833885
993.0,24.79166865,68.95833885
998.0,25.20833535,68.95833885
975.0,25.62500205,68.95833885
985.0,26.04166875,68.95833885
1035.0,26.45833545,68.95833885
1024.0,26.87500215,68.95833885
1071.0,27.29166885,68.95833885
-9999.0,27.70833555,68.95833885
1072.0,28.12500225,68.95833885
1040.0,28.54166895,68.95833885
1042.0,29.37500235,68.95833885
980.0,29.79166905,68.95833885
946.0,30.20833575,68.95833885
982.0,30.62500245,68.95833885
1018.0,31.45833585,68.95833885
1007.0,31.87500255,68.95833885
1027.0,32.29166925,68.95833885
980.0,32.70833595,68.95833885
1021.0,33.12500265,68.95833885
983.0,33.54166935,68.95833885
1002.0,33.95833605,68.95833885
985.0,34.79166945,68.95833885
1048.0,35.20833615,68.95833885
991.0,35.62500285,68.95833885
1035.0,36.04166955,68.95833885
1038.0,36.45833625,68.95833885
-9999.0,37.29166965,68.95833885
-9999.0,43.12500345,68.95833885
-9999.0,43.54167015,68.95833885
-9999.0,43.95833685,68.95833885
-9999.0,44.37500355,68.95833885
-9999.0,44.79167025,68.95833885
-9999.0,45.20833695,68.95833885
-9999.0,47.70833715,68.95833885
999.0,48.54167055,68.95833885
1002.0,48.95833725,68.95833885
993.0,49.37500395,68.95833885
998.0,49.79167065,68.95833885
-9999.0,51.04167075,68.95833885
-9999.0,52.29167085,68.95833885
-9999.0,53.12500425,68.95833885
-9999.0,53.54167095,68.95833885
999.0,63.95833845,68.95833885
1003.0,64.79167185,68.95833885
994.0,66.04167195,68.95833885
884.0,66.45833865,68.95833885
-9999.0,67.29167205,68.95833885
-9999.0,74.79167265,68.95833885
-9999.0,75.20833935,68.95833885
1075.0,76.45833945,68.95833885
1125.0,78.12500625,68.95833885
1145.0,78.95833965,68.95833885
1122.0,79.37500635,68.95833885
-9999.0,-166.45834665,68.54167215
995.0,-166.04167995,68.54167215
982.0,-165.62501325,68.54167215
924.0,-165.20834655,68.54167215
873.0,-164.79167985,68.54167215
933.0,-164.37501315,68.54167215
849.0,-163.95834645,68.54167215
1019.0,-163.54167975,68.54167215
1022.0,-163.12501305,68.54167215
981.0,-162.70834635,68.54167215
947.0,-162.29167965,68.54167215
957.0,-161.87501295,68.54167215
1051.0,-161.45834625,68.54167215
943.0,-161.04167955,68.54167215
1045.0,-160.62501285,68.54167215
949.0,-159.79167945,68.54167215
1019.0,-159.37501275,68.54167215
1009.0,-158.95834605,68.54167215
896.0,-158.54167935,68.54167215
