ISRICSOILGRIDS_new_average_siltpercent_reduced,x,y
-9999.0,17.29166805,69.79167225
-9999.0,15.20833455,68.12500545
45.0,-134.37501075,67.29167205
-9999.0,21.45833505,63.54167175
51.0,-158.12501265,63.12500505
37.0,9.37500075,63.12500505
-9999.0,-6.87500055000001,62.70833835
-9999.0,-6.04166715000002,62.70833835
37.0,16.87500135,62.70833835
-9999.0,-7.29166725000002,62.29167165
-9999.0,-6.87500055000001,62.29167165
40.0,-6.45833385,62.29167165
36.0,-6.87500055000001,61.87500495
-9999.0,18.12500145,61.04167155
31.0,21.45833505,61.04167155
-9999.0,6.04166714999999,60.20833815
35.0,30.62500245,59.79167145
37.0,37.70833635,59.79167145
38.0,36.45833625,59.37500475
40.0,38.54166975,59.37500475
-9999.0,-2.29166685000001,58.95833805
37.0,26.04166875,58.95833805
-9999.0,27.70833555,58.95833805
33.0,15.62500125,58.54167135
28.0,23.54166855,58.54167135
26.0,23.95833525,58.54167135
41.0,36.87500295,58.54167135
35.0,37.29166965,58.54167135
48.0,43.12500345,58.54167135
44.0,43.54167015,58.54167135
-9999.0,-158.95834605,58.12500465
-9999.0,-6.04166715000002,58.12500465
36.0,13.12500105,58.12500465
46.0,36.45833625,58.12500465
49.0,36.87500295,58.12500465
38.0,43.12500345,58.12500465
29.0,43.54167015,58.12500465
35.0,-117.70834275,57.70833795
-9999.0,7.70833395,57.70833795
35.0,13.54166775,57.70833795
30.0,45.62500365,57.70833795
-9999.0,11.87500095,57.29167125
35.0,14.37500115,57.29167125
-9999.0,20.62500165,57.29167125
42.0,36.45833625,57.29167125
41.0,40.20833655,57.29167125
40.0,45.62500365,57.29167125
-9999.0,18.54166815,56.87500455
32.0,23.12500185,56.87500455
40.0,33.95833605,56.87500455
44.0,34.37500275,56.87500455
37.0,41.87500335,56.87500455
37.0,42.70833675,56.87500455
42.0,43.95833685,56.87500455
38.0,46.45833705,56.87500455
33.0,46.87500375,56.87500455
40.0,47.29167045,56.87500455
-9999.0,-135.20834415,56.45833785
-9999.0,-6.87500055000001,56.45833785
18.0,9.37500075,56.45833785
-9999.0,11.04166755,56.45833785
42.0,33.95833605,56.45833785
44.0,39.37500315,56.45833785
35.0,41.87500335,56.45833785
28.0,42.70833675,56.45833785
32.0,47.29167045,56.45833785
34.0,-91.45834065,56.04167115
-9999.0,-77.70833955,56.04167115
-9999.0,-77.29167285,56.04167115
31.0,-61.45833825,56.04167115
29.0,-60.62500485,56.04167115
32.0,-2.70833355000002,56.04167115
23.0,12.29166765,56.04167115
34.0,29.79166905,56.04167115
39.0,33.95833605,56.04167115
46.0,35.62500285,56.04167115
38.0,37.70833635,56.04167115
41.0,38.54166975,56.04167115
36.0,40.20833655,56.04167115
27.0,41.45833665,56.04167115
27.0,42.70833675,56.04167115
47.0,43.95833685,56.04167115
50.0,44.79167025,56.04167115
44.0,46.45833705,56.04167115
35.0,-2.29166685000001,55.62500445
-9999.0,-1.04166675000002,55.62500445
-9999.0,14.79166785,55.62500445
37.0,29.79166905,55.62500445
31.0,30.62500245,55.62500445
45.0,33.95833605,55.62500445
39.0,34.79166945,55.62500445
48.0,35.62500285,55.62500445
47.0,36.04166955,55.62500445
39.0,37.70833635,55.62500445
42.0,38.54166975,55.62500445
31.0,40.20833655,55.62500445
31.0,41.04166995,55.62500445
41.0,41.87500335,55.62500445
30.0,42.70833675,55.62500445
49.0,47.29167045,55.62500445
43.0,-132.70834395,55.20833775
24.0,9.37500075,55.20833775
-9999.0,19.37500155,55.20833775
33.0,23.95833525,55.20833775
46.0,33.95833605,55.20833775
43.0,36.45833625,55.20833775
51.0,38.12500305,55.20833775
36.0,39.37500315,55.20833775
28.0,41.45833665,55.20833775
41.0,41.87500335,55.20833775
39.0,42.70833675,55.20833775
44.0,49.79167065,55.20833775
40.0,-1.45833345,54.79167105
-9999.0,-0.625000050000011,54.79167105
-9999.0,8.54166734999998,54.79167105
21.0,9.37500075,54.79167105
45.0,23.12500185,54.79167105
40.0,28.95833565,54.79167105
25.0,30.62500245,54.79167105
39.0,34.37500275,54.79167105
49.0,36.45833625,54.79167105
46.0,36.87500295,54.79167105
53.0,37.70833635,54.79167105
50.0,38.54166975,54.79167105
28.0,40.20833655,54.79167105
41.0,41.45833665,54.79167105
45.0,42.70833675,54.79167105
44.0,43.95833685,54.79167105
-9999.0,48.95833725,54.79167105
-9999.0,-3.54166695000001,54.37500435
28.0,21.04166835,54.37500435
31.0,28.54166895,54.37500435
41.0,28.95833565,54.37500435
49.0,36.04166955,54.37500435
41.0,36.45833625,54.37500435
50.0,37.70833635,54.37500435
41.0,40.20833655,54.37500435
47.0,41.45833665,54.37500435
34.0,42.70833675,54.37500435
49.0,44.79167025,54.37500435
46.0,46.45833705,54.37500435
36.0,47.29167045,54.37500435
37.0,-8.54166735000001,53.95833765
-9999.0,-3.12500025,53.95833765
37.0,-1.45833345,53.95833765
25.0,20.62500165,53.95833765
31.0,21.45833505,53.95833765
17.0,23.12500185,53.95833765
17.0,23.54166855,53.95833765
36.0,27.70833555,53.95833765
29.0,29.37500235,53.95833765
40.0,30.62500245,53.95833765
45.0,31.45833585,53.95833765
45.0,35.62500285,53.95833765
36.0,36.45833625,53.95833765
45.0,38.54166975,53.95833765
41.0,41.87500335,53.95833765
49.0,45.62500365,53.95833765
42.0,47.29167045,53.95833765
46.0,49.79167065,53.95833765
36.0,-129.37501035,53.54167095
-9999.0,-5.20833375000001,53.54167095
-9999.0,-3.54166695000001,53.54167095
39.0,-2.29166685000001,53.54167095
-9999.0,0.625000049999983,53.54167095
-9999.0,4.37500034999999,53.54167095
19.0,20.62500165,53.54167095
22.0,21.87500175,53.54167095
37.0,27.70833555,53.54167095
31.0,29.37500235,53.54167095
35.0,33.95833605,53.54167095
44.0,36.45833625,53.54167095
51.0,36.87500295,53.54167095
47.0,43.95833685,53.54167095
-9999.0,48.95833725,53.54167095
42.0,-131.87501055,53.12500425
42.0,-2.29166685000001,53.12500425
-9999.0,1.04166674999999,53.12500425
-9999.0,1.45833345,53.12500425
24.0,20.62500165,53.12500425
23.0,21.87500175,53.12500425
33.0,22.29166845,53.12500425
29.0,23.54166855,53.12500425
39.0,30.62500245,53.12500425
51.0,35.62500285,53.12500425
54.0,36.45833625,53.12500425
35.0,40.20833655,53.12500425
48.0,41.04166995,53.12500425
52.0,42.70833675,53.12500425
53.0,43.12500345,53.12500425
48.0,44.79167025,53.12500425
-9999.0,-132.29167725,52.70833755
-9999.0,-4.79166705,52.70833755
49.0,0.625000049999983,52.70833755
19.0,8.12500064999998,52.70833755
18.0,9.79166744999998,52.70833755
19.0,12.29166765,52.70833755
17.0,12.70833435,52.70833755
20.0,20.62500165,52.70833755
33.0,21.45833505,52.70833755
24.0,23.95833525,52.70833755
32.0,27.70833555,52.70833755
22.0,29.37500235,52.70833755
54.0,36.45833625,52.70833755
52.0,37.70833635,52.70833755
51.0,38.12500305,52.70833755
41.0,41.45833665,52.70833755
