ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
-9999.0,-157.70834595,71.45833905
282.0,-24.37500195,71.45833905
178.0,-22.70833515,71.45833905
-9999.0,23.54166855,71.45833905
-9999.0,24.37500195,71.45833905
-9999.0,25.20833535,71.45833905
-9999.0,25.62500205,71.45833905
-9999.0,27.29166885,71.45833905
-9999.0,28.12500225,71.45833905
-9999.0,28.54166895,71.45833905
-9999.0,76.45833945,71.45833905
-9999.0,-159.79167945,71.04167235
-9999.0,-159.37501275,71.04167235
-9999.0,-158.95834605,71.04167235
-9999.0,-158.54167935,71.04167235
-9999.0,-158.12501265,71.04167235
-9999.0,-157.70834595,71.04167235
-9999.0,-157.29167925,71.04167235
-9999.0,-149.79167865,71.04167235
-9999.0,-149.37501195,71.04167235
-9999.0,-24.37500195,71.04167235
356.0,-23.95833525,71.04167235
176.0,-23.12500185,71.04167235
165.0,-22.70833515,71.04167235
101.0,-21.87500175,71.04167235
-9999.0,-21.45833505,71.04167235
-9999.0,-8.12500065,71.04167235
-9999.0,-7.70833395000002,71.04167235
-9999.0,21.87500175,71.04167235
-9999.0,22.70833515,71.04167235
-9999.0,23.12500185,71.04167235
102.0,23.95833525,71.04167235
-9999.0,24.37500195,71.04167235
-9999.0,25.20833535,71.04167235
131.0,25.62500205,71.04167235
-9999.0,26.45833545,71.04167235
-9999.0,26.87500215,71.04167235
136.0,27.70833555,71.04167235
120.0,28.12500225,71.04167235
-9999.0,28.54166895,71.04167235
-9999.0,28.95833565,71.04167235
-9999.0,29.37500235,71.04167235
-9999.0,29.79166905,71.04167235
-9999.0,30.20833575,71.04167235
370.0,76.45833945,71.04167235
206.0,76.87500615,71.04167235
-9999.0,-162.29167965,70.62500565
-9999.0,-161.87501295,70.62500565
-9999.0,-161.45834625,70.62500565
-9999.0,-161.04167955,70.62500565
-9999.0,-160.62501285,70.62500565
187.0,-159.79167945,70.62500565
307.0,-159.37501275,70.62500565
295.0,-158.95834605,70.62500565
147.0,-158.54167935,70.62500565
174.0,-158.12501265,70.62500565
190.0,-157.70834595,70.62500565
187.0,-157.29167925,70.62500565
185.0,-156.87501255,70.62500565
181.0,-156.45834585,70.62500565
198.0,-156.04167915,70.62500565
174.0,-155.62501245,70.62500565
175.0,-155.20834575,70.62500565
187.0,-154.79167905,70.62500565
212.0,-154.37501235,70.62500565
-9999.0,-151.45834545,70.62500565
-9999.0,-151.04167875,70.62500565
-9999.0,-150.62501205,70.62500565
-9999.0,-149.79167865,70.62500565
-9999.0,-149.37501195,70.62500565
-9999.0,-148.95834525,70.62500565
-9999.0,-148.54167855,70.62500565
-9999.0,-147.70834515,70.62500565
-9999.0,-147.29167845,70.62500565
-9999.0,-146.87501175,70.62500565
-9999.0,-145.62501165,70.62500565
-9999.0,-143.95834485,70.62500565
-9999.0,-143.54167815,70.62500565
-9999.0,-143.12501145,70.62500565
-9999.0,-130.62501045,70.62500565
213.0,-21.87500175,70.62500565
-9999.0,-21.45833505,70.62500565
-9999.0,18.54166815,70.62500565
-9999.0,18.95833485,70.62500565
-9999.0,19.37500155,70.62500565
-9999.0,19.79166825,70.62500565
-9999.0,20.20833495,70.62500565
-9999.0,20.62500165,70.62500565
-9999.0,21.04166835,70.62500565
-9999.0,21.45833505,70.62500565
-9999.0,21.87500175,70.62500565
117.0,22.70833515,70.62500565
95.0,23.12500185,70.62500565
131.0,23.95833525,70.62500565
121.0,24.37500195,70.62500565
106.0,24.79166865,70.62500565
109.0,25.20833535,70.62500565
-9999.0,25.62500205,70.62500565
97.0,26.45833545,70.62500565
-9999.0,26.87500215,70.62500565
90.0,27.70833555,70.62500565
106.0,28.12500225,70.62500565
117.0,28.54166895,70.62500565
115.0,28.95833565,70.62500565
156.0,29.37500235,70.62500565
162.0,30.20833575,70.62500565
-9999.0,30.62500245,70.62500565
226.0,76.04167275,70.62500565
215.0,76.45833945,70.62500565
228.0,76.87500615,70.62500565
194.0,77.29167285,70.62500565
-9999.0,-162.29167965,70.20833895
205.0,-161.87501295,70.20833895
183.0,-160.62501285,70.20833895
210.0,-160.20834615,70.20833895
194.0,-159.79167945,70.20833895
197.0,-159.37501275,70.20833895
190.0,-158.95834605,70.20833895
247.0,-158.12501265,70.20833895
187.0,-157.70834595,70.20833895
200.0,-156.87501255,70.20833895
209.0,-156.04167915,70.20833895
185.0,-155.62501245,70.20833895
217.0,-155.20834575,70.20833895
184.0,-154.37501235,70.20833895
174.0,-153.95834565,70.20833895
192.0,-152.29167885,70.20833895
165.0,-151.45834545,70.20833895
-9999.0,-147.70834515,70.20833895
-9999.0,-144.79167825,70.20833895
-9999.0,-141.87501135,70.20833895
-9999.0,-141.45834465,70.20833895
-9999.0,17.70833475,70.20833895
-9999.0,18.12500145,70.20833895
-9999.0,18.54166815,70.20833895
-9999.0,18.95833485,70.20833895
-9999.0,19.37500155,70.20833895
-9999.0,19.79166825,70.20833895
108.0,20.20833495,70.20833895
116.0,20.62500165,70.20833895
-9999.0,21.04166835,70.20833895
187.0,21.45833505,70.20833895
111.0,21.87500175,70.20833895
-9999.0,22.29166845,70.20833895
136.0,22.70833515,70.20833895
-9999.0,23.12500185,70.20833895
100.0,23.54166855,70.20833895
93.0,24.37500195,70.20833895
106.0,24.79166865,70.20833895
265.0,25.20833535,70.20833895
110.0,25.62500205,70.20833895
112.0,26.45833545,70.20833895
96.0,26.87500215,70.20833895
116.0,27.29166885,70.20833895
113.0,27.70833555,70.20833895
87.0,28.12500225,70.20833895
100.0,28.54166895,70.20833895
109.0,29.37500235,70.20833895
-9999.0,31.45833585,70.20833895
-9999.0,31.87500255,70.20833895
-9999.0,32.29166925,70.20833895
-9999.0,32.70833595,70.20833895
187.0,76.45833945,70.20833895
-9999.0,-163.12501305,69.79167225
178.0,-162.70834635,69.79167225
206.0,-162.29167965,69.79167225
235.0,-161.87501295,69.79167225
194.0,-161.45834625,69.79167225
187.0,-161.04167955,69.79167225
230.0,-160.62501285,69.79167225
239.0,-159.79167945,69.79167225
288.0,-159.37501275,69.79167225
203.0,-158.95834605,69.79167225
191.0,-158.54167935,69.79167225
211.0,-158.12501265,69.79167225
210.0,-157.70834595,69.79167225
264.0,-157.29167925,69.79167225
190.0,-156.87501255,69.79167225
206.0,-156.45834585,69.79167225
264.0,-156.04167915,69.79167225
247.0,-155.62501245,69.79167225
202.0,-155.20834575,69.79167225
204.0,-154.79167905,69.79167225
221.0,-154.37501235,69.79167225
188.0,-153.95834565,69.79167225
204.0,-153.54167895,69.79167225
185.0,-153.12501225,69.79167225
150.0,-152.70834555,69.79167225
195.0,-151.87501215,69.79167225
173.0,-151.45834545,69.79167225
215.0,-151.04167875,69.79167225
190.0,-150.62501205,69.79167225
234.0,-149.79167865,69.79167225
198.0,-149.37501195,69.79167225
207.0,-148.95834525,69.79167225
185.0,-148.54167855,69.79167225
181.0,-147.70834515,69.79167225
150.0,-147.29167845,69.79167225
165.0,-146.87501175,69.79167225
146.0,-145.62501165,69.79167225
128.0,-145.20834495,69.79167225
142.0,-144.79167825,69.79167225
164.0,-143.95834485,69.79167225
196.0,-143.54167815,69.79167225
161.0,-143.12501145,69.79167225
142.0,-141.87501135,69.79167225
-9999.0,-141.45834465,69.79167225
-9999.0,-141.04167795,69.79167225
-9999.0,-140.20834455,69.79167225
-9999.0,-139.79167785,69.79167225
-9999.0,-139.37501115,69.79167225
-9999.0,-138.95834445,69.79167225
-9999.0,-138.54167775,69.79167225
165.0,-23.12500185,69.79167225
-9999.0,-22.70833515,69.79167225
-9999.0,16.45833465,69.79167225
-9999.0,16.87500135,69.79167225
-9999.0,17.29166805,69.79167225
-9999.0,17.70833475,69.79167225
278.0,18.12500145,69.79167225
113.0,18.54166815,69.79167225
112.0,18.95833485,69.79167225
-9999.0,19.37500155,69.79167225
-9999.0,19.79166825,69.79167225
93.0,20.20833495,69.79167225
92.0,20.62500165,69.79167225
96.0,21.04166835,69.79167225
79.0,21.45833505,69.79167225
112.0,21.87500175,69.79167225
104.0,22.70833515,69.79167225
99.0,23.12500185,69.79167225
99.0,23.54166855,69.79167225
90.0,23.95833525,69.79167225
84.0,24.37500195,69.79167225
97.0,24.79166865,69.79167225
112.0,25.20833535,69.79167225
66.0,25.62500205,69.79167225
84.0,26.45833545,69.79167225
100.0,26.87500215,69.79167225
122.0,27.70833555,69.79167225
116.0,28.12500225,69.79167225
