ISRICSOILGRIDS_new_average_claypercent_reduced,x,y
-9999.0,-113.54167575,78.95833965
17.0,-86.87500695,65.62500525
-9999.0,-118.54167615,20.62500165
-9999.0,-151.04167875,61.04167155
-9999.0,-131.45834385,43.12500345
-9999.0,-169.79168025,64.79167185
-9999.0,-151.45834545,9.79166744999999
-9999.0,-168.54168015,-38.12500305
47.0,-103.54167495,21.87500175
8.0,27.70833555,29.37500235
27.0,-64.79167185,-18.95833485
-9999.0,-23.54166855,-47.70833715
19.0,101.04167475,39.37500315
20.0,-79.37500635,54.37500435
-9999.0,-60.62500485,13.95833445
-9999.0,87.70834035,-8.54166735
-9999.0,159.79167945,38.95833645
-9999.0,-43.54167015,78.95833965
18.0,115.62500925,-29.79166905
25.0,-63.95833845,-1.87500015000001
15.0,-141.87501135,61.87500495
15.0,102.70834155,39.79166985
-9999.0,2.70833354999999,-6.45833385
-9999.0,100.62500805,-52.70833755
35.0,103.54167495,-1.45833345
-9999.0,179.79168105,8.95833404999999
17.0,-83.95834005,76.87500615
-9999.0,31.04166915,71.45833905
-9999.0,121.04167635,-6.45833385
-9999.0,-3.95833365000001,-11.87500095
-9999.0,64.37500515,-44.79167025
-9999.0,43.12500345,38.54166975
-9999.0,-122.70834315,-50.20833735
-9999.0,67.29167205,8.12500065
-9999.0,-3.95833365000001,-34.37500275
-9999.0,-167.70834675,-33.12500265
-9999.0,-92.70834075,9.79166744999999
-9999.0,160.20834615,-23.95833525
1.0,45.20833695,18.54166815
-9999.0,12.29166765,69.37500555
-9999.0,-88.95834045,21.45833505
-9999.0,57.70833795,14.79166785
1.0,45.62500365,18.12500145
-9999.0,-41.45833665,-36.04166955
-9999.0,-137.70834435,52.70833755
10.0,-114.37500915,66.87500535
-9999.0,-114.37500915,-22.70833515
36.0,41.87500335,1.45833345
-9999.0,-96.87500775,25.20833535
-9999.0,133.95834405,-40.62500325
4.0,4.37500034999999,22.70833515
26.0,-103.95834165,47.29167045
-9999.0,-36.45833625,-14.37500115
-9999.0,152.70834555,24.37500195
-9999.0,118.54167615,-53.54167095
-9999.0,126.04167675,17.29166805
-9999.0,173.95834725,42.70833675
15.0,-90.62500725,64.79167185
-9999.0,135.20834415,-34.79166945
-9999.0,4.79166705,4.37500034999999
22.0,-77.29167285,39.79166985
-9999.0,-23.95833525,7.70833395
30.0,106.04167515,24.79166865
-9999.0,77.29167285,-26.87500215
4.0,-1.45833345,28.95833565
-9999.0,-61.04167155,66.87500535
-9999.0,-0.625000050000011,-8.12500065
-9999.0,178.54168095,-15.20833455
17.0,35.20833615,17.70833475
-9999.0,81.04167315,5.62500045
30.0,46.45833705,51.45833745
-9999.0,-1.04166675000002,-9.79166745000001
-9999.0,-42.29167005,-51.87500415
27.0,57.29167125,50.20833735
21.0,-5.62500045000002,15.62500125
-9999.0,-164.37501315,35.62500285
-9999.0,-172.29168045,-28.95833565
43.0,71.87500575,22.29166845
24.0,55.62500445,46.45833705
