ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,x,y
-9999.0,-124.37500995,8.54166735
-9999.0,-63.54167175,20.62500165
10.0,-6.45833385,37.29166965
-9999.0,168.95834685,74.37500595
-9999.0,-62.70833835,-45.20833695
-9999.0,-116.45834265,-53.12500425
-9999.0,161.45834625,6.04166714999999
-9999.0,-10.62500085,3.54166694999999
-9999.0,100.62500805,-48.12500385
1.0,16.45833465,1.45833345
16.0,10.20833415,62.70833835
8.0,128.54167695,69.79167225
-9999.0,147.29167845,1.45833345
-9999.0,159.37501275,-52.29167085
-9999.0,-76.04167275,-38.95833645
5.0,-114.79167585,53.54167095
-9999.0,111.87500895,-19.79166825
-9999.0,-26.04166875,-46.04167035
-9999.0,-35.62500285,-51.87500415
-9999.0,-7.70833395000002,49.79167065
2.0,-83.12500665,41.04166995
-9999.0,-135.62501085,14.37500115
-9999.0,-161.04167955,54.79167105
4.0,133.54167735,47.70833715
9.0,31.45833585,-26.87500215
-9999.0,3.12500025,76.04167275
-9999.0,-173.12501385,-5.20833375000001
-9999.0,113.12500905,-6.87500055
-9999.0,126.45834345,0.625000049999997
-9999.0,-23.54166855,66.87500535
-9999.0,-82.70833995,-25.20833535
9.0,27.29166885,3.95833365
-9999.0,97.70834115,-40.20833655
4.0,31.45833585,6.04166714999999
12.0,32.29166925,68.95833885
18.0,-15.62500125,13.12500105
3.0,12.29166765,25.62500205
-9999.0,126.87501015,7.29166725
-9999.0,83.12500665,-2.70833355000001
-9999.0,-158.54167935,-38.12500305
-9999.0,161.45834625,3.12500025
18.0,-83.12500665,76.45833945
13.0,-127.29167685,50.62500405
-9999.0,13.12500105,-36.04166955
2.0,-63.95833845,-5.62500045
-9999.0,-26.87500215,-51.45833745
-9999.0,13.12500105,-39.79166985
-9999.0,-166.87501335,3.95833365
4.0,119.37500955,49.79167065
-9999.0,-2.29166685000001,-16.45833465
0.0,118.95834285,58.54167135
-9999.0,-14.79166785,7.29166725
-9999.0,-125.20834335,47.70833715
-9999.0,-143.54167815,74.37500595
4.0,33.54166935,-4.37500035000001
11.0,-171.87501375,66.04167195
-9999.0,-92.70834075,-15.20833455
10.0,38.12500305,7.70833395
14.0,-70.62500565,70.20833895
-9999.0,145.20834495,7.29166725
-9999.0,145.62501165,43.54167015
-9999.0,-76.45833945,-51.45833745
25.0,101.45834145,28.12500225
-9999.0,24.79166865,-53.12500425
-9999.0,174.79168065,-24.79166865
-9999.0,71.87500575,76.87500615
-9999.0,156.87501255,-15.62500125
18.0,-7.29166725000002,8.54166735
-9999.0,-2.29166685000001,61.04167155
-9999.0,178.12501425,40.62500325
2.0,102.70834155,57.29167125
-9999.0,-10.62500085,-42.70833675
13.0,113.95834245,40.20833655
-9999.0,160.20834615,-23.95833525
-9999.0,100.20834135,-45.62500365
-9999.0,-168.95834685,58.54167135
-9999.0,-174.37501395,6.04166714999999
-9999.0,131.45834385,9.37500075
1.0,38.95833645,53.54167095
-9999.0,146.45834505,29.37500235
-9999.0,36.87500295,-46.04167035
-9999.0,-161.04167955,-11.04166755
10.0,153.95834565,61.87500495
-9999.0,-33.95833605,36.45833625
10.0,16.87500135,60.62500485
-9999.0,-43.54167015,31.45833585
-9999.0,68.12500545,73.54167255
-9999.0,97.29167445,10.20833415
-9999.0,-151.87501215,-10.20833415
4.0,82.29167325,64.79167185
-9999.0,-121.87500975,25.20833535
-9999.0,5.62500044999999,-55.20833775
-9999.0,-141.04167795,4.37500034999999
5.0,-101.87500815,63.95833845
-9999.0,-45.62500365,73.95833925
-9999.0,-160.20834615,-35.62500285
-9999.0,-34.37500275,38.12500305
-9999.0,-14.37500115,61.04167155
-9999.0,155.62501245,-13.12500105
8.0,-75.62500605,56.04167115
13.0,15.20833455,62.70833835
-9999.0,103.95834165,7.29166725
9.0,91.45834065,51.04167075
-9999.0,-13.54166775,64.37500515
-9999.0,-9.37500075,50.20833735
0.0,23.95833525,-14.79166785
-9999.0,-22.70833515,3.95833365
-9999.0,-143.12501145,75.20833935
-9999.0,92.70834075,-3.54166695000001
7.0,5.20833374999998,31.04166915
-9999.0,68.95833885,-24.37500195
-9999.0,-149.79167865,-48.54167055
-9999.0,-23.95833525,46.87500375
-9999.0,16.04166795,67.29167205
8.0,174.37501395,66.04167195
-9999.0,-3.95833365000001,-8.95833405
-9999.0,119.79167625,-6.45833385
-9999.0,154.79167905,24.37500195
12.0,-125.20834335,52.29167085
-9999.0,48.95833725,72.70833915
-9999.0,-15.20833455,-28.95833565
-9999.0,155.20834575,-35.20833615
-9999.0,-105.20834175,-11.45833425
14.0,24.79166865,48.12500385
-9999.0,-126.87501015,14.37500115
-9999.0,-141.04167795,-48.95833725
10.0,71.87500575,47.29167045
-9999.0,-173.12501385,-26.87500215
-9999.0,-131.87501055,-23.12500185
-9999.0,-18.54166815,66.45833865
11.0,-105.62500845,42.70833675
-9999.0,-24.37500195,63.12500505
1.0,157.70834595,68.54167215
10.0,33.12500265,22.70833515
-9999.0,86.04167355,-28.12500225
-9999.0,-133.54167735,5.20833374999999
-9999.0,-158.12501265,23.95833525
-9999.0,-178.12501425,-33.95833605
-9999.0,-61.87500495,62.70833835
-9999.0,-50.20833735,48.54167055
-9999.0,73.95833925,76.45833945
1.0,104.37500835,-2.29166685
10.0,-7.70833395000002,23.12500185
-9999.0,-87.29167365,-4.79166705
-9999.0,-133.54167735,-51.04167075
-9999.0,57.70833795,-52.29167085
-9999.0,7.70833395,75.20833935
-9999.0,154.79167905,52.70833755
0.0,-74.79167265,-8.54166735
-9999.0,-108.12500865,-50.20833735
-9999.0,42.70833675,-28.54166895
-9999.0,-102.70834155,4.37500034999999
-9999.0,-39.79166985,24.79166865
-9999.0,-0.625000050000011,1.04166675
15.0,21.87500175,-31.45833585
-9999.0,-36.45833625,-48.95833725
-9999.0,-166.45834665,42.29167005
-9999.0,-8.12500065,35.20833615
12.0,27.70833555,68.54167215
-9999.0,-94.37500755,-19.37500155
3.0,47.70833715,25.20833535
-9999.0,3.95833364999999,0.208333350000004
-9999.0,-151.04167875,56.45833785
-9999.0,-37.70833635,49.79167065
7.0,142.70834475,-19.37500155
-9999.0,97.70834115,-48.12500385
15.0,108.95834205,11.45833425
-9999.0,-173.12501385,6.04166714999999
-9999.0,86.45834025,17.70833475
-9999.0,-41.04166995,-39.37500315
-9999.0,-169.37501355,5.20833374999999
-9999.0,-21.87500175,28.12500225
