ISRICSOILGRIDS_new_average_sandpercent_reduced,x,y
-9999.0,36.04166955,-41.45833665
-9999.0,-73.54167255,34.79166945
-9999.0,138.95834445,80.20833975
69.0,33.12500265,23.54166855
-9999.0,-70.62500565,26.04166875
-9999.0,-22.70833515,-0.625000049999997
-9999.0,174.37501395,53.54167095
27.0,90.20834055,21.87500175
-9999.0,-133.95834405,0.625000049999997
-9999.0,25.20833535,40.62500325
44.0,96.87500775,64.37500515
-9999.0,96.87500775,-47.29167045
-9999.0,-21.87500175,24.79166865
-9999.0,-140.62501125,12.70833435
43.0,-115.62500925,57.70833795
60.0,138.54167775,-32.29166925
76.0,6.87500054999998,52.70833755
-9999.0,86.04167355,9.79166744999999
-9999.0,67.70833875,-9.37500075
-9999.0,165.20834655,-37.29166965
-9999.0,-78.54167295,-28.95833565
49.0,-53.54167095,3.12500025
-9999.0,155.62501245,-9.37500075
-9999.0,-68.54167215,63.54167175
-9999.0,-121.87500975,20.62500165
-9999.0,88.54167375,-24.37500195
-9999.0,77.70833955,-33.54166935
65.0,125.62501005,-14.79166785
-9999.0,5.20833374999998,73.54167255
58.0,21.04166835,2.70833354999999
-9999.0,1.87500014999998,40.20833655
54.0,-11.45833425,7.70833395
-9999.0,-36.45833625,-4.79166705
42.0,-128.95834365,66.87500535
-9999.0,-164.37501315,-16.87500135
-9999.0,0.208333349999975,5.20833374999999
44.0,101.45834145,51.45833745
-9999.0,-136.04167755,-11.45833425
-9999.0,156.87501255,31.04166915
90.0,9.79166744999998,28.12500225
-9999.0,4.79166705,66.04167195
-9999.0,-83.12500665,-45.62500365
-9999.0,21.45833505,37.29166965
-9999.0,8.54166734999998,66.45833865
-9999.0,-66.04167195,11.87500095
-9999.0,-114.79167585,27.29166885
-9999.0,179.37501435,1.87500014999999
-9999.0,76.04167275,-42.70833675
32.0,84.37500675,57.29167125
-9999.0,36.45833625,79.37500635
40.0,-118.95834285,54.37500435
-9999.0,137.29167765,27.70833555
35.0,108.12500865,55.20833775
-9999.0,165.62501325,8.54166735
-9999.0,-159.79167945,21.04166835
42.0,-112.70834235,71.04167235
-9999.0,-63.12500505,78.12500625
60.0,-46.04167035,-8.95833405
-9999.0,40.20833655,-7.70833395
-9999.0,-66.04167195,19.37500155
-9999.0,-13.95833445,6.04166714999999
-9999.0,-26.87500215,33.54166935
60.0,23.54166855,-31.87500255
41.0,-118.54167615,41.45833665
-9999.0,153.54167895,21.45833505
-9999.0,-171.87501375,13.12500105
-9999.0,-120.20834295,-36.04166955
-9999.0,7.29166724999999,-31.87500255
-9999.0,161.45834625,46.04167035
-9999.0,88.54167375,13.95833445
-9999.0,-29.37500235,4.79166705
-9999.0,-97.29167445,76.04167275
-9999.0,48.12500385,-11.45833425
-9999.0,-28.54166895,-16.45833465
-9999.0,-172.70834715,-16.45833465
-9999.0,-25.62500205,58.95833805
-9999.0,-110.62500885,-12.70833435
41.0,-55.62500445,-34.37500275
-9999.0,-157.70834595,20.20833495
-9999.0,157.70834595,-46.04167035
-9999.0,-173.54168055,-40.20833655
-9999.0,-20.20833495,-21.45833505
57.0,-13.54166775,17.29166805
-9999.0,34.79166945,63.54167175
-9999.0,8.95833404999999,-14.37500115
58.0,-80.62500645,49.79167065
-9999.0,-162.70834635,-51.45833745
41.0,116.87500935,1.04166675
46.0,118.54167615,68.12500545
-9999.0,-3.54166695000001,-15.20833455
-9999.0,77.29167285,-2.70833355000001
-9999.0,-5.20833375000001,47.70833715
39.0,-110.20834215,49.37500395
-9999.0,136.04167755,41.45833665
-9999.0,52.70833755,-0.208333350000004
-9999.0,15.20833455,55.62500445
56.0,37.70833635,34.37500275
-9999.0,119.37500955,75.62500605
-9999.0,-0.625000050000011,-23.12500185
46.0,97.70834115,66.45833865
-9999.0,-178.54168095,23.95833525
-9999.0,172.29168045,42.70833675
-9999.0,134.79167745,-8.54166735
-9999.0,149.79167865,-46.04167035
-9999.0,-134.79167745,78.54167295
-9999.0,-24.37500195,-37.70833635
-9999.0,-108.95834205,-3.54166695000001
46.0,30.20833575,3.54166694999999
42.0,-154.79167905,60.20833815
-9999.0,-143.54167815,78.12500625
40.0,104.37500835,63.12500505
-9999.0,-148.54167855,-48.54167055
-9999.0,76.45833945,-24.79166865
70.0,136.45834425,-13.12500105
-9999.0,-96.87500775,4.37500034999999
-9999.0,-42.70833675,-26.45833545
33.0,-108.12500865,48.12500385
-9999.0,-74.79167265,67.29167205
54.0,37.29166965,61.45833825
71.0,133.12501065,-31.04166915
-9999.0,170.62501365,-13.12500105
-9999.0,35.20833615,-30.62500245
-9999.0,164.37501315,-2.70833355000001
-9999.0,146.87501175,5.20833374999999
33.0,119.37500955,30.62500245
-9999.0,-48.95833725,26.87500215
28.0,105.62500845,24.79166865
43.0,-26.45833545,71.87500575
-9999.0,12.70833435,-21.87500175
-9999.0,-178.95834765,-46.45833705
-9999.0,133.95834405,-48.54167055
-9999.0,19.79166825,-38.95833645
-9999.0,176.45834745,25.20833535
-9999.0,22.29166845,-46.45833705
61.0,83.12500665,30.20833575
-9999.0,111.87500895,80.20833975
-9999.0,-36.45833625,-16.87500135
-9999.0,-78.54167295,74.37500595
36.0,-68.95833885,10.62500085
-9999.0,168.54168015,11.87500095
50.0,-39.79166985,-6.45833385
-9999.0,-175.20834735,20.62500165
55.0,39.79166985,23.12500185
45.0,115.62500925,56.45833785
-9999.0,-13.12500105,47.70833715
