soiltype_mostprobable,x,y
255.0,-14.79166785,43.95833685
255.0,-95.62500765,-29.79166905
255.0,-10.62500085,40.62500325
255.0,38.12500305,68.95833885
255.0,129.79167705,-53.95833765
255.0,109.79167545,-49.79167065
18.0,-116.45834265,53.54167095
255.0,-175.62501405,-43.95833685
16.0,15.20833455,20.20833495
255.0,-157.29167925,22.70833515
255.0,-83.12500665,23.95833525
0.0,13.95833445,-7.29166725
6.0,-7.29166725000002,41.04166995
255.0,-109.37500875,17.70833475
255.0,85.62500685,-13.54166775
255.0,-123.54167655,-24.37500195
4.0,7.29166724999999,14.79166785
6.0,-6.45833385,42.70833675
6.0,-155.20834575,63.54167175
255.0,-150.20834535,-0.625000049999997
7.0,28.95833565,46.87500375
1.0,56.45833785,62.70833835
255.0,85.62500685,3.12500025
255.0,-105.20834175,78.95833965
255.0,-136.04167755,12.70833435
255.0,103.54167495,-44.37500355
255.0,175.62501405,48.12500385
255.0,-136.04167755,15.20833455
255.0,-141.87501135,29.37500235
14.0,64.79167185,66.04167195
255.0,72.29167245,0.208333350000004
255.0,-152.29167885,-55.20833775
1.0,48.12500385,64.37500515
255.0,-31.04166915,30.20833575
8.0,177.70834755,67.29167205
255.0,-16.45833465,37.29166965
8.0,103.54167495,59.79167145
255.0,-10.62500085,-9.37500075
16.0,9.79166744999998,24.37500195
255.0,173.95834725,30.62500245
255.0,-67.29167205,-53.54167095
255.0,34.79166945,44.79167025
4.0,34.37500275,-24.79166865
255.0,54.79167105,3.95833365
24.0,53.95833765,21.87500175
255.0,-127.70834355,-11.04166755
255.0,76.45833945,78.95833965
255.0,-146.04167835,-0.625000049999997
255.0,24.37500195,77.70833955
255.0,-21.87500175,35.62500285
255.0,62.70833835,-48.54167055
255.0,-23.54166855,45.62500365
0.0,-58.95833805,-4.37500035000001
255.0,162.29167965,-46.04167035
255.0,-59.37500475,44.37500355
255.0,-15.62500125,75.62500605
255.0,-178.95834765,10.62500085
10.0,-43.54167015,-21.87500175
255.0,-8.54166735000001,-1.45833345
255.0,176.04168075,80.62500645
255.0,28.95833565,80.20833975
1.0,46.45833705,61.87500495
255.0,-85.20834015,24.79166865
255.0,126.04167675,-53.54167095
18.0,-1.45833345,47.29167045
25.0,25.20833535,-20.62500165
0.0,-68.12500545,-6.45833385
255.0,-134.37501075,-13.95833445
8.0,118.54167615,66.04167195
255.0,38.95833645,60.20833815
4.0,134.79167745,-32.70833595
255.0,-109.37500875,61.04167155
255.0,163.12501305,-47.29167045
0.0,-60.62500485,1.45833345
23.0,155.62501245,55.20833775
17.0,24.79166865,-15.20833455
255.0,-76.87500615,-28.95833565
255.0,-37.70833635,38.54166975
255.0,127.29167685,76.45833945
255.0,-26.45833545,2.70833354999999
255.0,-158.95834605,35.62500285
255.0,104.79167505,-43.54167015
255.0,166.87501335,-12.29166765
4.0,21.45833505,13.12500105
255.0,-78.54167295,-25.62500205
255.0,-8.95833405000002,58.12500465
6.0,101.87500815,57.29167125
255.0,146.04167835,21.45833505
255.0,-85.20834015,-10.62500085
255.0,-46.45833705,21.45833505
15.0,-110.62500885,40.20833655
6.0,148.54167855,-36.87500295
0.0,-56.87500455,-10.20833415
18.0,131.87501055,-18.95833485
255.0,-161.87501295,6.87500055
255.0,168.12501345,48.95833725
6.0,-113.95834245,65.20833855
255.0,168.12501345,21.04166835
1.0,33.54166935,66.87500535
255.0,-130.62501045,-8.95833405
255.0,-22.70833515,70.20833895
4.0,141.87501135,-17.70833475
20.0,-62.29167165,-33.95833605
255.0,-105.62500845,-43.12500345
255.0,-53.12500425,60.62500485
255.0,-137.70834435,-19.37500155
4.0,-0.625000050000011,21.87500175
18.0,142.70834475,-26.04166875
255.0,133.95834405,15.62500125
255.0,-134.37501075,-44.79167025
255.0,-104.37500835,4.79166705
255.0,-22.70833515,20.62500165
4.0,3.95833364999999,13.95833445
255.0,135.20834415,-54.37500435
255.0,134.79167745,79.37500635
255.0,-93.95834085,-51.87500415
255.0,-80.20833975,-38.12500305
16.0,-14.37500115,24.79166865
255.0,81.45833985,-33.12500265
255.0,-98.12500785,7.29166725
255.0,123.95834325,-42.70833675
16.0,5.20833374999998,27.70833555
26.0,38.95833645,0.208333350000004
255.0,68.12500545,-46.87500375
255.0,-111.04167555,-11.04166755
255.0,54.79167105,-50.62500405
255.0,-46.87500375,72.29167245
255.0,-164.79167985,-44.37500355
255.0,-23.12500185,1.45833345
6.0,108.54167535,58.12500465
17.0,48.12500385,-16.04166795
255.0,0.625000049999983,61.45833825
255.0,149.37501195,48.12500385
6.0,-98.95834125,73.12500585
8.0,149.79167865,65.62500525
255.0,-129.37501035,-52.70833755
255.0,-36.87500295,23.54166855
23.0,27.70833555,63.54167175
255.0,-52.29167085,75.20833935
18.0,121.04167635,-23.12500185
255.0,-134.37501075,-19.79166825
255.0,-22.70833515,-55.62500445
255.0,-55.62500445,45.62500365
255.0,-125.62501005,-34.37500275
255.0,-27.29166885,32.29166925
6.0,25.20833535,62.70833835
8.0,56.87500455,64.79167185
255.0,-56.45833785,10.20833415
255.0,-88.54167375,-23.12500185
255.0,18.54166815,73.12500585
255.0,-158.95834605,-38.54166975
16.0,15.62500125,-27.70833555
255.0,-96.04167435,75.62500605
10.0,-48.95833725,-13.12500105
255.0,-149.79167865,44.79167025
14.0,66.87500535,64.79167185
255.0,116.87500935,17.70833475
8.0,106.04167515,59.37500475
4.0,11.04166755,24.37500195
8.0,-62.29167165,66.45833865
255.0,-98.95834125,-2.29166685
255.0,126.87501015,-35.20833615
255.0,-101.45834145,6.87500055
6.0,98.12500785,75.20833935
255.0,-74.37500595,-50.20833735
255.0,-97.70834115,11.45833425
255.0,69.79167225,-9.79166745000001
255.0,66.04167195,3.54166694999999
15.0,106.04167515,50.20833735
255.0,-136.45834425,-48.95833725
255.0,16.04166795,-45.62500365
255.0,-142.70834475,-46.45833705
255.0,-29.79166905,-33.95833605
