BIOCLIM_17,x,y
81.0,31.45833585,68.95833885
239.0,-3.12500025,56.87500455
41.0,138.12501105,58.95833805
31.0,-68.12500545,66.87500535
-9999.0,125.20834335,36.45833625
63.0,88.12500705,54.79167105
62.0,139.37501115,51.87500415
145.0,148.12501185,-33.12500265
35.0,148.54167855,61.45833825
34.0,-116.87500935,43.54167015
119.0,26.87500215,-33.54166935
7.0,104.37500835,16.87500135
38.0,-112.29167565,62.29167165
70.0,74.79167265,66.04167195
45.0,96.87500775,74.37500595
46.0,95.62500765,53.95833765
84.0,16.45833465,51.87500415
80.0,44.37500355,62.29167165
18.0,-104.37500835,24.37500195
32.0,104.37500835,54.79167105
133.0,-80.62500645,25.62500205
10.0,93.95834085,20.62500165
83.0,54.79167105,66.04167195
93.0,41.04166995,58.12500465
42.0,103.12500825,24.37500195
-9999.0,67.70833875,69.37500555
-9999.0,46.04167035,66.87500535
67.0,-97.70834115,19.79166825
88.0,41.04166995,63.95833845
-9999.0,23.95833525,71.45833905
8.0,122.70834315,43.95833685
60.0,-114.37500915,56.87500455
67.0,59.79167145,66.87500535
64.0,-123.54167655,58.12500465
-9999.0,134.79167745,-5.62500045
34.0,99.37500795,22.70833515
43.0,99.37500795,23.54166855
46.0,159.79167945,63.54167175
47.0,103.95834165,23.54166855
90.0,-50.62500405,65.20833855
-9999.0,-160.20834615,54.79167105
102.0,10.62500085,60.62500485
33.0,130.20834375,59.79167145
109.0,28.54166895,61.04167155
15.0,-114.37500915,69.37500555
-9999.0,-3.12500025,50.62500405
49.0,28.54166895,-31.45833585
-9999.0,-2.29166685000001,35.20833615
-9999.0,118.95834285,23.12500185
95.0,26.04166875,49.37500395
26.0,-161.45834625,68.54167215
98.0,110.62500885,21.87500175
87.0,41.45833665,64.79167185
147.0,-64.37500515,54.37500435
95.0,22.29166845,53.95833765
7.0,114.79167585,42.29167005
670.0,100.20834135,-0.625000049999997
-9999.0,142.70834475,46.45833705
20.0,117.29167605,57.70833795
15.0,124.37500995,51.04167075
165.0,114.37500915,-8.54166735
9.0,115.20834255,51.87500415
97.0,54.37500435,61.04167155
-9999.0,147.70834515,45.20833695
12.0,125.20834335,44.37500355
70.0,-117.29167605,53.54167095
149.0,148.95834525,-33.95833605
29.0,-103.54167495,35.62500285
88.0,44.37500355,58.12500465
-9999.0,-55.62500445,53.12500425
-9999.0,134.37501075,-33.54166935
19.0,130.20834375,44.37500355
-9999.0,-165.62501325,69.37500555
31.0,-109.79167545,40.20833655
136.0,18.54166815,49.37500395
119.0,116.87500935,31.04166915
56.0,61.04167155,56.45833785
85.0,35.20833615,56.87500455
123.0,-122.29167645,48.12500385
-9999.0,12.29166765,66.04167195
-9999.0,7.29166724999999,43.54167015
186.0,-96.45834105,31.04166915
-9999.0,-8.95833405000002,41.45833665
79.0,-93.12500745,52.29167085
67.0,176.04168075,62.29167165
24.0,-144.37501155,66.04167195
24.0,131.04167715,52.29167085
57.0,166.45834665,63.12500505
143.0,-0.208333350000004,51.04167075
87.0,23.12500185,68.95833885
10.0,104.79167505,16.04166795
108.0,-78.95833965,50.62500405
20.0,-103.54167495,64.37500515
25.0,-126.87501015,68.12500545
171.0,114.37500915,28.95833565
30.0,-99.79167465,60.62500485
81.0,-126.45834345,61.04167155
165.0,-74.79167265,48.54167055
16.0,104.79167505,14.37500115
82.0,-121.45834305,51.87500415
32.0,126.87501015,55.62500445
106.0,27.29166885,61.87500495
-9999.0,-81.04167315,31.04166915
185.0,-6.87500055000001,54.37500435
6.0,98.95834125,29.79166905
89.0,-68.95833885,57.70833795
236.0,-45.20833695,60.20833815
-9999.0,138.54167775,38.12500305
-9999.0,-44.79167025,59.79167145
42.0,122.70834315,59.37500475
-9999.0,74.79167265,11.87500095
88.0,142.29167805,51.87500415
62.0,73.95833925,38.95833645
200.0,-76.87500615,43.54167015
66.0,92.70834075,51.87500415
42.0,133.54167735,54.79167105
79.0,59.79167145,56.45833785
41.0,-113.12500905,35.20833615
133.0,-153.54167895,59.79167145
98.0,38.12500305,56.45833785
93.0,29.79166905,64.37500515
26.0,151.04167875,66.87500535
136.0,118.54167615,25.62500205
327.0,-18.95833485,63.95833845
70.0,-130.62501045,61.87500495
32.0,82.29167325,45.20833695
9.0,96.04167435,34.79166945
20.0,174.37501395,69.37500555
0.0,34.79166945,31.87500255
47.0,101.04167475,61.45833825
96.0,41.45833665,61.45833825
-9999.0,26.87500215,78.54167295
74.0,45.62500365,39.79166985
215.0,-60.62500485,53.12500425
-9999.0,-8.95833405000002,36.87500295
258.0,-87.70834035,34.79166945
66.0,-116.04167595,53.54167095
13.0,119.37500955,46.45833705
41.0,-119.37500955,41.45833665
144.0,-81.87500655,48.54167055
54.0,-156.45834585,65.20833855
596.0,111.87500895,2.29166685
91.0,38.12500305,61.45833825
-9999.0,138.95834445,38.95833645
37.0,-114.79167585,62.29167165
53.0,70.62500565,68.12500545
260.0,-71.45833905,42.70833675
91.0,74.79167265,33.12500265
14.0,28.95833565,-24.79166865
77.0,118.95834285,33.54166935
16.0,-160.62501285,70.20833895
29.0,-96.87500775,17.70833475
98.0,13.95833445,58.95833805
109.0,35.62500285,51.87500415
17.0,128.12501025,47.70833715
290.0,-92.29167405,31.45833585
-9999.0,7.70833395,37.29166965
30.0,-68.54167215,68.54167215
189.0,-78.95833965,-2.70833355000001
125.0,-68.54167215,55.20833775
145.0,-85.62500685,43.95833685
18.0,-133.95834405,69.37500555
101.0,140.20834455,-8.12500065
103.0,-153.12501225,60.62500485
31.0,121.87500975,38.95833645
-9999.0,165.62501325,54.79167105
123.0,23.95833525,48.95833725
195.0,11.87500095,45.62500365
91.0,58.95833805,65.20833855
-9999.0,51.04167075,68.95833885
90.0,49.37500395,56.87500455
84.0,59.37500475,56.45833785
-9999.0,-53.54167095,49.79167065
57.0,-117.70834275,56.87500455
166.0,-81.04167315,46.87500375
198.0,-61.45833825,52.29167085
