ISRICSOILGRIDS_new_average_phx10percent_reduced,x,y
-9999.0,-90.20834055,28.95833565
75.0,-108.95834205,42.29167005
74.0,120.62500965,-31.87500255
51.0,-72.29167245,-39.79166985
58.0,94.79167425,30.20833575
-9999.0,124.37500995,24.79166865
-9999.0,-102.29167485,68.12500545
52.0,-116.04167595,49.79167065
73.0,120.20834295,-33.12500265
49.0,-127.70834355,51.45833745
83.0,103.95834165,36.04166955
55.0,-153.95834565,67.29167205
48.0,-158.54167935,59.79167145
58.0,97.29167445,59.37500475
-9999.0,13.54166775,67.70833875
58.0,108.12500865,58.12500465
50.0,-126.87501015,52.70833755
54.0,-85.20834015,31.04166915
84.0,-117.29167605,39.37500315
53.0,11.45833425,62.29167165
-9999.0,136.45834425,51.45833745
68.0,-110.62500885,34.37500275
70.0,117.70834275,-31.04166915
77.0,-108.12500865,30.62500245
63.0,31.45833585,52.29167085
59.0,110.62500885,50.62500405
-9999.0,-116.87500935,69.37500555
56.0,-86.04167355,38.12500305
51.0,8.95833404999999,61.45833825
59.0,28.54166895,49.37500395
51.0,145.62501165,-6.04166715000001
47.0,116.45834265,4.37500034999999
70.0,46.45833705,40.20833655
60.0,98.12500785,71.87500575
62.0,58.12500465,56.45833785
45.0,68.12500545,66.04167195
53.0,-158.54167935,63.54167175
61.0,134.37501075,61.45833825
53.0,116.87500935,25.62500205
54.0,21.45833505,70.20833895
49.0,-64.79167185,55.62500445
53.0,-76.45833945,2.70833354999999
-9999.0,-62.29167165,58.54167135
64.0,-79.37500635,43.12500345
51.0,-89.37500715,32.29166925
48.0,143.54167815,-3.95833365
52.0,159.37501275,53.95833765
56.0,86.45834025,51.87500415
-9999.0,37.29166965,68.95833885
-9999.0,-58.95833805,50.62500405
48.0,-87.70834035,51.45833745
51.0,11.04166755,61.45833825
-9999.0,-8.95833405000002,43.54167015
71.0,-110.62500885,50.62500405
79.0,-99.79167465,26.45833545
50.0,50.62500405,59.79167145
52.0,120.20834295,57.29167125
-9999.0,-49.37500395,64.79167185
61.0,-99.79167465,64.79167185
76.0,72.29167245,38.12500305
-9999.0,83.12500665,17.29166805
70.0,-103.54167495,23.95833525
57.0,111.87500895,28.54166895
-9999.0,121.04167635,0.208333350000004
56.0,-76.87500615,57.70833795
46.0,99.37500795,1.04166675
60.0,-143.12501145,66.45833865
47.0,117.70834275,1.45833345
-9999.0,140.62501125,-9.37500075
51.0,40.62500325,65.20833855
50.0,39.79166985,62.70833835
53.0,-10.20833415,53.54167095
82.0,104.79167505,36.04166955
58.0,128.12501025,52.29167085
61.0,-91.87500735,17.29166805
63.0,-95.62500765,42.70833675
69.0,-109.79167545,29.79166905
-9999.0,17.70833475,61.04167155
70.0,120.62500965,46.45833705
-9999.0,154.79167905,59.79167145
58.0,-76.87500615,63.54167175
58.0,-87.70834035,65.20833855
50.0,89.79167385,64.37500515
73.0,123.12500985,-29.37500235
59.0,-113.95834245,53.12500425
51.0,-74.37500595,50.62500405
57.0,124.37500995,41.45833665
57.0,106.04167515,60.62500485
53.0,-156.87501255,62.29167165
-9999.0,103.54167495,1.04166675
53.0,40.20833655,58.95833805
-9999.0,38.95833645,65.20833855
-9999.0,155.20834575,55.20833775
53.0,101.04167475,63.54167175
-9999.0,98.54167455,11.45833425
59.0,107.29167525,25.62500205
51.0,34.37500275,-9.79166745000001
-9999.0,-126.87501015,70.20833895
53.0,-124.79167665,68.12500545
61.0,53.12500425,54.37500435
71.0,119.37500955,36.04166955
59.0,-141.04167795,68.95833885
77.0,50.62500405,31.04166915
-9999.0,-151.45834545,60.62500485
50.0,88.12500705,63.95833845
50.0,16.45833465,65.20833855
-9999.0,160.20834615,71.04167235
57.0,-73.12500585,-51.04167075
-9999.0,-156.45834585,56.87500455
59.0,-90.20834055,34.79166945
58.0,-113.54167575,47.29167045
49.0,-158.95834605,60.62500485
-9999.0,-141.04167795,69.79167225
-9999.0,-8.95833405000002,40.62500325
-9999.0,156.04167915,52.70833755
-9999.0,34.37500275,32.70833595
51.0,-165.20834655,64.79167185
51.0,87.29167365,60.62500485
49.0,-81.04167315,39.37500315
50.0,-92.70834075,53.95833765
64.0,-97.29167445,39.37500315
58.0,-91.45834065,30.20833575
52.0,-86.04167355,33.12500265
68.0,124.37500995,47.29167045
61.0,130.20834375,-14.79166785
52.0,6.04166714999999,61.04167155
58.0,160.62501285,68.54167215
67.0,-102.70834155,50.20833735
47.0,114.37500915,2.70833354999999
47.0,101.45834145,1.04166675
50.0,-128.12501025,58.54167135
60.0,-90.62500725,38.54166975
55.0,105.62500845,20.62500165
65.0,24.37500195,50.62500405
-9999.0,-21.45833505,71.04167235
61.0,66.04167195,57.70833795
63.0,-118.12500945,55.62500445
64.0,-39.79166985,65.20833855
-9999.0,23.95833525,40.62500325
-9999.0,38.54166975,58.12500465
49.0,60.62500485,66.04167195
-9999.0,-158.54167935,57.70833795
65.0,113.54167575,38.54166975
67.0,38.95833645,51.87500415
50.0,88.12500705,51.45833745
-9999.0,45.62500365,67.29167205
50.0,98.12500785,27.29166885
-9999.0,120.62500965,-3.95833365
57.0,-78.95833965,53.12500425
51.0,-59.37500475,52.70833755
56.0,80.20833975,68.54167215
