LandCover_3_Deciduousbroadleaf,x,y
0.0,-165.20834655,64.79167185
21.0,38.54166975,60.62500485
0.0,142.70834475,-38.54166975
0.0,-76.04167275,67.70833875
0.0,88.12500705,69.79167225
0.0,172.29168045,67.29167205
14.0,-79.37500635,34.79166945
0.0,-116.04167595,57.70833795
0.0,94.37500755,68.54167215
0.0,121.04167635,58.54167135
0.0,-121.45834305,58.95833805
0.0,-91.87500735,63.95833845
0.0,87.70834035,62.70833835
0.0,70.20833895,67.29167205
0.0,150.20834535,-36.04166955
0.0,-33.12500265,66.87500535
0.0,54.79167105,54.79167105
0.0,71.45833905,62.70833835
0.0,66.04167195,33.95833605
0.0,101.04167475,51.04167075
0.0,33.12500265,44.37500355
0.0,-84.37500675,43.12500345
0.0,-178.54168095,66.45833865
0.0,-101.04167475,18.12500145
0.0,-163.95834645,68.95833885
11.0,34.37500275,55.20833775
0.0,-84.37500675,47.29167045
0.0,-75.62500605,52.70833755
0.0,-123.12500985,68.12500545
0.0,155.62501245,61.45833825
0.0,-117.70834275,62.29167165
0.0,36.87500295,54.37500435
0.0,-154.37501235,64.37500515
67.0,-76.04167275,45.62500365
0.0,93.95834085,26.04166875
0.0,21.45833505,61.45833825
0.0,15.62500125,79.79167305
0.0,48.12500385,35.20833615
0.0,56.45833785,61.87500495
0.0,70.20833895,66.45833865
2.0,23.54166855,44.79167025
4.0,99.79167465,51.87500415
0.0,102.70834155,19.79166825
10.0,9.79166744999998,44.79167025
0.0,120.62500965,54.37500435
0.0,95.62500765,3.95833365
0.0,113.95834245,37.70833635
0.0,-6.04166715000002,55.62500445
5.0,-93.54167415,48.95833725
0.0,-105.62500845,54.37500435
0.0,63.95833845,62.70833835
56.0,46.04167035,53.95833765
0.0,-117.29167605,46.87500375
0.0,123.12500985,-30.20833575
0.0,-109.79167545,52.70833755
0.0,-115.20834255,40.62500325
0.0,46.87500375,54.79167105
0.0,-116.04167595,42.70833675
0.0,14.79166785,58.54167135
0.0,152.29167885,-31.45833585
0.0,123.95834325,51.45833745
0.0,-74.79167265,49.79167065
0.0,-77.29167285,50.20833735
0.0,15.20833455,67.70833875
0.0,98.54167455,25.20833535
0.0,-91.87500735,51.87500415
0.0,-96.87500775,19.79166825
