BIOCLIM_14,x,y
127.0,148.12501185,-8.95833405
3.0,103.95834165,34.37500275
-9999.0,125.20834335,3.12500025
20.0,57.29167125,68.12500545
19.0,137.29167765,47.70833715
7.0,98.54167455,16.45833465
-9999.0,-76.04167275,36.04166955
19.0,-100.20834135,33.12500265
-9999.0,141.45834465,41.45833665
9.0,-158.54167935,67.29167205
-9999.0,8.95833404999999,43.95833685
22.0,83.54167335,62.70833835
13.0,-105.20834175,39.79166985
-9999.0,16.87500135,56.87500455
12.0,69.79167225,70.62500565
13.0,87.70834035,72.29167245
17.0,-104.37500835,53.95833765
17.0,83.54167335,56.45833785
22.0,61.87500495,66.45833865
12.0,109.37500875,59.79167145
10.0,168.95834685,66.87500535
30.0,27.70833555,48.54167055
61.0,47.29167045,-22.70833515
28.0,41.45833665,50.62500405
18.0,71.87500575,67.70833875
3.0,106.87500855,14.79166785
27.0,-135.20834415,59.37500475
35.0,143.95834485,-39.79166985
28.0,-23.54166855,73.54167255
30.0,54.79167105,60.62500485
11.0,-121.04167635,65.20833855
-9999.0,13.95833445,68.12500545
8.0,108.12500865,31.87500255
18.0,135.62501085,55.20833775
-9999.0,-63.54167175,67.70833875
31.0,-69.37500555,56.87500455
19.0,71.45833905,65.62500525
15.0,-119.37500955,38.12500305
26.0,35.20833615,57.70833795
-9999.0,119.79167625,13.95833445
4.0,118.95834285,47.29167045
9.0,134.37501075,-31.87500255
64.0,-67.70833875,49.79167065
15.0,77.70833955,56.04167115
14.0,68.12500545,68.12500545
51.0,114.37500915,27.70833555
18.0,140.20834455,49.79167065
37.0,-83.12500665,45.20833695
3.0,118.95834285,47.70833715
3.0,110.62500885,52.29167085
17.0,-112.29167565,57.70833795
7.0,157.29167925,66.04167195
20.0,42.70833675,43.54167015
61.0,-22.70833515,63.95833845
33.0,-74.37500595,53.12500425
-9999.0,12.70833435,66.87500535
-9999.0,11.87500095,56.45833785
102.0,-18.54166815,63.54167175
12.0,-133.95834405,63.12500505
-9999.0,97.29167445,5.20833374999999
20.0,-118.95834285,55.20833775
8.0,-156.87501255,68.12500545
4.0,124.79167665,51.87500415
14.0,60.20833815,53.12500425
12.0,102.70834155,74.37500595
-9999.0,124.79167665,39.37500315
23.0,36.45833625,57.29167125
