GTOPO30_ASPECT_reduced,x,y
134.0,128.12501025,54.79167105
-9999.0,17.70833475,61.04167155
27.0,-117.70834275,46.45833705
311.0,7.70833395,52.29167085
223.0,96.87500775,49.79167065
322.0,151.04167875,-27.70833555
170.0,110.62500885,34.37500275
328.0,47.70833715,62.29167165
29.0,50.20833735,58.12500465
139.0,-75.20833935,47.29167045
-9999.0,-79.79167305,53.12500425
207.0,105.62500845,21.45833505
-9999.0,-133.95834405,56.04167115
106.0,98.54167455,22.70833515
63.0,-119.37500955,34.37500275
322.0,31.87500255,40.62500325
218.0,-60.62500485,53.95833765
219.0,38.12500305,45.20833695
225.0,-95.62500765,30.20833575
287.0,137.29167765,46.45833705
284.0,-149.79167865,63.12500505
25.0,19.37500155,66.04167195
316.0,156.87501255,62.70833835
299.0,-70.62500565,47.29167045
-9999.0,8.54166734999998,41.87500335
6.0,22.29166845,54.79167105
-9999.0,-57.29167125,53.54167095
-9999.0,108.12500865,18.54166815
296.0,-5.20833375000001,40.62500325
3.0,28.54166895,50.62500405
281.0,146.04167835,-18.54166815
6.0,-84.79167345,48.95833725
281.0,48.12500385,57.29167125
198.0,-95.20834095,29.37500235
280.0,28.95833565,56.45833785
294.0,111.87500895,23.54166855
229.0,63.54167175,66.04167195
-9999.0,14.37500115,38.54166975
225.0,-91.45834065,33.95833605
247.0,-128.95834365,53.12500425
340.0,-5.62500045000002,39.37500315
127.0,-98.12500785,18.12500145
323.0,-117.70834275,45.20833695
341.0,-71.87500575,-34.79166945
238.0,-92.29167405,40.62500325
-9999.0,-9.79166745000001,52.70833755
87.0,-108.12500865,27.29166885
53.0,111.04167555,31.45833585
-9999.0,-81.04167315,30.62500245
311.0,-72.29167245,-42.70833675
23.0,35.20833615,58.12500465
217.0,-110.62500885,46.04167035
178.0,24.79166865,68.95833885
317.0,121.45834305,23.54166855
88.0,-119.37500955,41.04166995
0.0,117.29167605,2.29166685
155.0,149.37501195,60.20833815
159.0,158.95834605,54.79167105
152.0,48.95833725,67.29167205
42.0,-122.29167645,38.95833645
72.0,23.95833525,56.04167115
252.0,132.70834395,50.62500405
219.0,24.79166865,45.20833695
310.0,-80.62500645,43.95833685
318.0,46.45833705,62.29167165
150.0,21.87500175,67.29167205
129.0,21.45833505,53.12500425
299.0,149.37501195,-37.29166965
194.0,36.87500295,58.54167135
196.0,114.79167585,32.70833595
108.0,-72.29167245,41.45833665
-9999.0,-43.12500345,59.79167145
90.0,-101.45834145,30.62500245
314.0,-30.20833575,68.54167215
166.0,23.54166855,45.20833695
300.0,26.04166875,63.54167175
-9999.0,7.70833395,63.95833845
302.0,106.87500855,16.87500135
28.0,151.87501215,-26.87500215
56.0,-115.20834255,36.87500295
-9999.0,139.79167785,35.20833615
264.0,18.95833485,43.54167015
41.0,-70.62500565,50.20833735
340.0,-92.70834075,42.29167005
-9999.0,-91.04167395,47.29167045
355.0,-63.12500505,55.20833775
132.0,56.87500455,62.29167165
90.0,-68.12500545,51.04167075
127.0,103.54167495,32.70833595
-9999.0,176.04168075,63.95833845
201.0,-123.12500985,41.87500335
172.0,15.62500125,57.29167125
164.0,-126.04167675,53.12500425
250.0,31.45833585,-27.70833555
212.0,107.29167525,22.29166845
88.0,12.29166765,63.12500505
111.0,-105.20834175,41.04166995
190.0,3.95833364999999,49.79167065
-9999.0,99.37500795,6.45833385
21.0,71.87500575,58.54167135
81.0,-83.95834005,38.54166975
-9999.0,141.45834465,48.12500385
217.0,-77.70833955,53.54167095
-9999.0,21.45833505,61.87500495
164.0,116.04167595,5.20833374999999
-9999.0,-86.45834025,63.54167175
334.0,33.12500265,68.54167215
223.0,88.95834045,66.45833865
180.0,25.20833535,63.12500505
271.0,98.95834125,14.79166785
258.0,42.29167005,54.79167105
116.0,128.95834365,36.04166955
108.0,-56.45833785,50.62500405
187.0,1.04166674999999,45.62500365
283.0,21.87500175,55.62500445
354.0,102.70834155,48.54167055
183.0,62.70833835,58.54167135
168.0,-112.29167565,47.29167045
330.0,117.29167605,23.95833525
203.0,-88.12500705,32.29166925
43.0,-41.45833665,64.79167185
-9999.0,136.87501095,-33.95833605
17.0,13.12500105,63.95833845
298.0,19.37500155,-33.54166935
156.0,-42.70833675,61.45833825
349.0,-140.20834455,69.37500555
172.0,-106.04167515,45.62500365
243.0,-89.37500715,45.62500365
155.0,113.12500905,36.87500295
203.0,101.45834145,25.20833535
149.0,112.70834235,27.70833555
-9999.0,72.29167245,66.87500535
144.0,37.70833635,40.62500325
-9999.0,-3.95833365000001,51.45833745
225.0,-143.54167815,62.70833835
225.0,121.04167635,-31.45833585
81.0,-100.62500805,28.12500225
-9999.0,121.04167635,22.29166845
167.0,-76.87500615,51.04167075
-9999.0,-76.45833945,36.87500295
-9999.0,146.04167835,-18.12500145
337.0,-62.70833835,53.12500425
144.0,20.62500165,42.70833675
278.0,96.04167435,27.29166885
228.0,132.70834395,51.04167075
38.0,36.87500295,61.87500495
-9999.0,-162.29167965,59.79167145
311.0,97.70834115,50.62500405
295.0,99.79167465,29.79166905
146.0,55.20833775,59.79167145
53.0,8.54166734999998,46.04167035
-9999.0,8.95833404999999,38.95833645
196.0,35.20833615,41.45833665
98.0,-150.20834535,62.29167165
103.0,76.04167275,67.70833875
-9999.0,-91.04167395,33.12500265
22.0,-62.29167165,46.45833705
137.0,23.12500185,68.95833885
232.0,-83.54167335,31.45833585
99.0,24.37500195,63.95833845
-9999.0,-165.62501325,61.04167155
306.0,8.54166734999998,49.79167065
342.0,-74.37500595,53.12500425
207.0,119.37500955,-32.29166925
-9999.0,18.54166815,42.29167005
-9999.0,120.20834295,13.95833445
128.0,138.95834445,58.95833805
345.0,-78.95833965,38.95833645
208.0,21.87500175,68.12500545
243.0,139.37501115,-35.62500285
-9999.0,75.20833935,68.95833885
43.0,-96.45834105,32.29166925
21.0,117.70834275,1.87500014999999
-9999.0,95.62500765,3.95833365
123.0,25.20833535,67.70833875
296.0,125.62501005,44.37500355
71.0,100.62500805,28.95833565
108.0,-68.12500545,48.12500385
90.0,-82.29167325,53.95833765
123.0,11.04166755,44.37500355
165.0,-106.04167515,24.79166865
45.0,-81.87500655,30.62500245
176.0,15.62500125,43.95833685
72.0,-87.70834035,41.87500335
-9999.0,-22.70833515,66.45833865
37.0,11.45833425,61.04167155
-9999.0,44.79167025,68.95833885
232.0,146.87501175,-38.54166975
-9999.0,153.12501225,-24.79166865
9.0,12.29166765,47.29167045
78.0,103.95834165,27.29166885
252.0,13.12500105,56.45833785
-9999.0,122.29167645,30.20833575
249.0,49.37500395,66.04167195
334.0,-57.70833795,53.12500425
34.0,-84.79167345,35.62500285
3.0,16.04166795,44.37500355
-9999.0,73.95833925,68.54167215
122.0,-103.54167495,21.45833505
148.0,-71.04167235,46.87500375
143.0,101.45834145,28.54166895
59.0,35.20833615,53.95833765
-9999.0,-2.70833355000002,50.62500405
-9999.0,24.37500195,57.29167125
-9999.0,74.37500595,67.70833875
16.0,-90.20834055,46.45833705
18.0,101.87500815,54.37500435
125.0,39.37500315,66.45833865
-9999.0,-146.87501175,66.45833865
3.0,3.54166694999998,43.95833685
-9999.0,122.29167645,-34.37500275
339.0,33.54166935,60.20833815
171.0,-155.62501245,60.20833815
-9999.0,-3.12500025,47.70833715
207.0,171.87501375,62.70833835
128.0,-124.37500995,52.70833755
331.0,-80.62500645,35.62500285
329.0,-83.12500665,36.87500295
-9999.0,-65.62500525,49.37500395
-9999.0,39.79166985,41.04166995
73.0,46.04167035,55.20833775
260.0,27.70833555,-32.29166925
329.0,101.87500815,19.37500155
266.0,18.95833485,-32.70833595
-9999.0,-67.29167205,44.37500355
116.0,99.37500795,53.12500425
-9999.0,-79.37500635,62.70833835
-9999.0,-4.79166705,58.54167135
72.0,114.37500915,26.45833545
225.0,-113.54167575,42.70833675
351.0,57.29167125,67.70833875
-9999.0,18.54166815,59.37500475
315.0,-90.62500725,45.62500365
237.0,120.62500965,22.70833515
195.0,-113.12500905,35.62500285
-9999.0,-10.20833415,54.37500435
-9999.0,-164.79167985,62.70833835
25.0,18.54166815,67.29167205
74.0,139.37501115,36.04166955
30.0,105.20834175,23.54166855
53.0,120.20834295,42.29167005
288.0,-63.12500505,51.87500415
312.0,-92.70834075,56.45833785
-9999.0,-153.12501225,58.95833805
164.0,-158.95834605,59.79167145
-9999.0,-10.62500085,51.87500415
351.0,-78.54167295,34.79166945
325.0,-159.37501275,61.87500495
-9999.0,98.12500785,7.29166725
65.0,-94.79167425,43.95833685
12.0,170.62501365,66.04167195
225.0,15.62500125,56.45833785
-9999.0,125.20834335,39.37500315
98.0,-94.79167425,45.62500365
269.0,-119.37500955,50.62500405
24.0,157.70834595,63.12500505
10.0,25.62500205,68.95833885
54.0,-117.70834275,54.79167105
73.0,-93.12500745,47.70833715
45.0,46.04167035,56.45833785
324.0,138.54167775,48.54167055
6.0,-121.45834305,36.87500295
143.0,-148.95834525,62.70833835
16.0,-159.79167945,68.95833885
198.0,173.95834725,65.62500525
14.0,173.95834725,67.29167205
23.0,134.79167745,46.04167035
319.0,28.95833565,57.29167125
104.0,18.95833485,48.54167055
-9999.0,114.79167585,5.20833374999999
45.0,-163.12501305,61.04167155
-9999.0,161.04167955,60.20833815
83.0,99.37500795,29.79166905
-9999.0,139.79167785,39.37500315
267.0,-81.45833985,43.54167015
175.0,-64.79167185,46.45833705
336.0,-56.45833785,48.12500385
-9999.0,-123.95834325,38.95833645
281.0,88.12500705,54.37500435
197.0,38.12500305,67.70833875
319.0,107.29167525,30.20833575
252.0,18.95833485,46.87500375
217.0,-90.20834055,45.20833695
65.0,32.29166925,48.12500385
-9999.0,-53.12500425,65.62500525
184.0,-90.62500725,47.70833715
20.0,-141.04167795,69.37500555
-9999.0,-94.79167425,48.95833725
162.0,136.87501095,47.70833715
210.0,-126.87501015,55.62500445
70.0,-40.62500325,64.79167185
198.0,126.87501015,38.95833645
186.0,9.79166744999998,56.04167115
114.0,-155.62501245,61.04167155
-9999.0,-88.12500705,48.54167055
-9999.0,-131.04167715,52.70833755
-9999.0,117.29167605,8.12500065
29.0,28.54166895,41.04166995
-9999.0,-0.208333350000004,54.79167105
328.0,38.95833645,58.54167135
-9999.0,138.95834445,-35.62500285
258.0,68.95833885,58.54167135
208.0,-80.62500645,42.70833675
158.0,-87.29167365,30.62500245
151.0,-83.95834005,32.29166925
193.0,41.04166995,61.45833825
296.0,-123.54167655,57.70833795
332.0,29.37500235,49.79167065
9.0,-125.20834335,56.87500455
55.0,119.79167625,-1.04166675
30.0,168.12501345,60.62500485
331.0,-68.54167215,-54.37500435
122.0,-6.87500055000001,53.54167095
-9999.0,-86.87500695,48.12500385
67.0,-99.37500795,19.37500155
-9999.0,-163.54167975,55.20833775
196.0,105.20834175,12.29166765
-9999.0,-5.62500045000002,58.12500465
239.0,79.37500635,30.20833575
-9999.0,163.95834645,59.79167145
236.0,158.54167935,56.04167115
77.0,54.37500435,66.45833865
