ISRICSOILGRIDS_new_average_nitrogen_reduced,x,y
263.0,-93.95834085,51.45833745
398.0,-55.62500445,48.95833725
323.0,42.70833675,64.37500515
478.0,161.87501295,58.12500465
444.0,-158.54167935,60.62500485
-9999.0,148.95834525,58.95833805
206.0,109.37500875,31.87500255
-9999.0,18.95833485,54.79167105
324.0,91.87500735,52.29167085
322.0,135.62501085,47.29167045
264.0,129.37501035,46.45833705
92.0,-93.54167415,36.87500295
775.0,-162.29167965,55.20833775
-9999.0,14.37500115,63.95833845
156.0,110.20834215,48.12500385
311.0,122.29167645,51.87500415
189.0,-105.62500845,38.54166975
188.0,105.62500845,22.29166845
403.0,-91.04167395,52.70833755
144.0,-121.04167635,57.29167125
574.0,-70.62500565,56.04167115
354.0,138.12501105,50.20833735
204.0,31.04166915,41.04166995
116.0,96.87500775,23.54166855
-9999.0,39.37500315,68.54167215
643.0,-160.20834615,58.95833805
-9999.0,-66.45833865,44.37500355
135.0,120.20834295,28.95833565
-9999.0,-75.62500605,36.04166955
154.0,9.37500075,55.62500445
239.0,-83.12500665,47.70833715
145.0,-106.87500855,28.54166895
472.0,57.70833795,64.79167185
178.0,48.12500385,60.62500485
339.0,143.95834485,49.37500395
390.0,141.04167795,42.70833675
880.0,-85.20834015,53.54167095
224.0,113.12500905,2.29166685
181.0,138.95834445,34.79166945
80.0,-115.62500925,39.79166985
181.0,-122.70834315,57.70833795
77.0,-89.37500715,33.54166935
263.0,23.12500185,66.87500535
182.0,-93.95834085,46.45833705
212.0,126.45834345,51.87500415
-9999.0,148.54167855,-38.12500305
70.0,-77.70833955,36.04166955
333.0,48.54167055,64.79167185
189.0,-79.37500635,42.29167005
-9999.0,-55.20833775,48.12500385
-9999.0,125.62501005,34.79166945
330.0,41.87500335,59.79167145
123.0,-112.70834235,37.70833635
490.0,98.12500785,25.20833535
221.0,-106.45834185,26.04166875
171.0,24.37500195,61.45833825
107.0,101.45834145,36.04166955
246.0,-120.20834295,50.20833735
573.0,-160.20834615,60.62500485
-9999.0,8.12500064999998,53.95833765
86.0,-96.87500775,33.95833605
206.0,127.70834355,48.95833725
84.0,108.54167535,36.87500295
-9999.0,-135.20834415,67.70833875
109.0,-76.87500615,39.37500315
-9999.0,-82.70833995,27.29166885
280.0,-113.54167575,44.79167025
212.0,101.87500815,27.29166885
292.0,-64.79167185,50.62500405
419.0,92.70834075,27.70833555
279.0,21.87500175,67.70833875
167.0,118.95834285,26.87500215
236.0,31.87500255,63.12500505
169.0,103.12500825,11.45833425
271.0,-60.62500485,53.54167095
-9999.0,21.04166835,63.95833845
-9999.0,-69.79167225,61.45833825
489.0,33.95833605,51.87500415
-9999.0,-86.04167355,47.29167045
405.0,38.95833645,57.70833795
67.0,-94.37500755,33.54166935
387.0,123.12500985,51.45833745
276.0,96.04167435,31.87500255
552.0,-151.45834545,59.37500475
158.0,24.37500195,41.45833665
433.0,147.29167845,59.37500475
137.0,20.20833495,51.45833745
153.0,13.12500105,49.79167065
304.0,39.37500315,63.54167175
211.0,53.12500425,59.79167145
174.0,-118.12500945,49.79167065
265.0,132.70834395,43.54167015
-9999.0,128.54167695,38.54166975
408.0,138.12501105,48.54167055
-9999.0,43.95833685,66.87500535
265.0,23.95833525,66.45833865
381.0,101.87500815,-2.70833355000001
189.0,17.29166805,48.12500385
733.0,-143.12501145,69.79167225
216.0,-71.87500575,43.95833685
377.0,15.20833455,46.45833705
386.0,37.29166965,54.79167105
249.0,121.45834305,50.62500405
330.0,-141.04167795,66.04167195
314.0,55.62500445,54.37500435
211.0,86.04167355,53.54167095
356.0,-3.54166695000001,51.04167075
734.0,-163.54167975,64.79167185
117.0,28.95833565,36.87500295
-9999.0,-7.29166725000002,51.87500415
190.0,6.45833385,43.95833685
258.0,50.20833735,53.95833765
208.0,102.70834155,54.79167105
-9999.0,4.37500034999999,61.04167155
157.0,6.04166714999999,51.04167075
184.0,-66.45833865,46.04167035
-9999.0,-47.70833715,61.87500495
-9999.0,28.95833565,41.45833665
103.0,111.45834225,37.29166965
333.0,157.70834595,54.79167105
-9999.0,-74.79167265,35.62500285
260.0,86.45834025,50.62500405
373.0,103.95834165,51.45833745
201.0,24.37500195,55.62500445
94.0,109.37500875,22.29166845
-9999.0,133.54167735,48.12500385
317.0,-97.70834115,50.62500405
-9999.0,130.20834375,41.87500335
542.0,-78.54167295,51.45833745
80.0,-103.12500825,36.04166955
269.0,100.62500805,31.45833585
201.0,25.20833535,50.20833735
-9999.0,93.95834085,30.62500245
-9999.0,-56.04167115,47.29167045
-9999.0,159.37501275,61.45833825
102.0,-101.04167475,29.37500235
145.0,107.70834195,32.29166925
195.0,-77.29167285,47.29167045
756.0,-159.37501275,69.79167225
133.0,111.45834225,27.29166885
237.0,51.45833745,58.54167135
238.0,92.70834075,25.62500205
96.0,33.12500265,35.20833615
151.0,102.70834155,26.87500215
182.0,-98.54167455,49.37500395
72.0,-94.79167425,32.29166925
1041.0,-149.79167865,69.79167225
290.0,46.45833705,58.12500465
202.0,-132.29167725,61.87500495
791.0,-158.95834605,69.79167225
75.0,-92.70834075,34.37500275
69.0,118.95834285,33.95833605
417.0,-158.12501265,59.79167145
-9999.0,-3.12500025,56.04167115
326.0,-75.20833935,47.29167045
307.0,45.62500365,58.54167135
257.0,13.95833445,62.29167165
-9999.0,-75.20833935,38.12500305
593.0,33.95833605,66.87500535
416.0,-128.95834365,54.37500435
227.0,-115.20834255,48.54167055
247.0,103.54167495,34.37500275
349.0,41.04166995,52.70833755
122.0,114.37500915,28.54166895
187.0,51.45833745,58.95833805
219.0,45.62500365,52.70833755
531.0,45.62500365,66.87500535
311.0,157.29167925,57.29167125
-9999.0,-130.20834375,54.79167105
162.0,-5.20833375000001,40.62500325
469.0,74.79167265,69.37500555
117.0,-82.29167325,36.04166955
-9999.0,-73.95833925,66.87500535
135.0,-111.87500895,38.95833645
253.0,14.37500115,62.70833835
-9999.0,132.70834395,35.62500285
372.0,136.04167755,54.37500435
213.0,99.37500795,26.04166875
-9999.0,161.45834625,61.04167155
117.0,-97.29167445,32.29166925
96.0,117.29167605,39.37500315
