ISRICSOILGRIDS_new_average_siltpercent_reduced,x,y
34.0,-56.45833785,53.12500425
42.0,48.54167055,62.70833835
34.0,-109.37500875,46.04167035
40.0,101.45834145,26.87500215
41.0,128.54167695,36.87500295
23.0,101.87500815,3.95833365
29.0,-83.54167335,45.20833695
23.0,-108.12500865,28.95833565
51.0,12.70833435,45.62500365
-9999.0,139.37501115,41.45833665
-9999.0,120.20834295,35.62500285
21.0,-105.62500845,26.87500215
38.0,21.87500175,48.54167055
39.0,-96.87500775,33.12500265
64.0,-93.54167415,37.29166965
54.0,-82.29167325,40.20833655
28.0,-112.70834235,55.20833775
43.0,-123.95834325,43.95833685
45.0,107.29167525,28.95833565
41.0,52.70833755,63.54167175
41.0,41.45833665,54.79167105
-9999.0,121.87500975,25.20833535
41.0,125.62501005,56.04167115
35.0,3.54166694999998,45.20833695
40.0,59.37500475,59.37500475
43.0,-137.70834435,63.54167175
31.0,-56.87500455,53.12500425
-9999.0,-82.29167325,64.79167185
33.0,-101.45834145,29.79166905
46.0,19.79166825,51.04167075
36.0,-147.29167845,61.04167155
34.0,19.37500155,67.29167205
39.0,11.45833425,48.54167055
38.0,-112.70834235,46.45833705
41.0,38.95833645,55.20833775
42.0,-155.62501245,58.95833805
43.0,-50.20833735,64.37500515
37.0,101.04167475,28.12500225
47.0,131.04167715,43.95833685
43.0,19.79166825,42.70833675
28.0,98.54167455,19.37500155
34.0,26.45833545,66.04167195
33.0,25.62500205,63.12500505
40.0,118.95834285,55.62500445
45.0,55.20833775,54.79167105
43.0,140.62501125,38.54166975
49.0,68.54167215,67.70833875
26.0,30.20833575,-30.20833575
40.0,-120.62500965,49.37500395
-9999.0,117.70834275,6.04166714999999
40.0,-109.79167545,47.29167045
34.0,105.20834175,9.37500075
35.0,114.79167585,58.95833805
41.0,6.04166714999999,44.79167025
39.0,-96.87500775,34.37500275
39.0,-73.95833925,44.79167025
40.0,-113.54167575,46.87500375
34.0,127.70834355,51.04167075
21.0,-99.37500795,16.87500135
32.0,-68.54167215,50.20833735
28.0,-100.20834135,23.54166855
-9999.0,-2.29166685000001,43.54167015
33.0,28.12500225,51.04167075
49.0,113.12500905,30.62500245
31.0,-67.70833875,51.45833745
-9999.0,151.87501215,-33.12500265
36.0,142.29167805,45.20833695
37.0,111.87500895,24.79166865
21.0,10.62500085,56.45833785
38.0,13.12500105,57.70833795
37.0,91.87500735,28.95833565
41.0,128.12501025,40.20833655
39.0,-51.04167075,63.54167175
35.0,39.37500315,60.62500485
-9999.0,-70.20833895,-52.70833755
46.0,35.62500285,56.04167115
-9999.0,8.95833404999999,63.95833845
40.0,91.04167395,51.45833745
34.0,101.45834145,23.54166855
-9999.0,-87.29167365,43.12500345
39.0,-137.70834435,62.29167165
32.0,22.29166845,56.45833785
36.0,-128.95834365,54.37500435
-9999.0,-88.54167375,30.20833575
43.0,48.95833725,63.54167175
44.0,-111.45834225,42.29167005
41.0,-133.95834405,63.12500505
52.0,16.87500135,49.79167065
33.0,-63.12500505,57.29167125
28.0,1.04166674999999,52.70833755
37.0,33.12500265,64.79167185
34.0,170.20834695,67.29167205
32.0,-106.04167515,36.87500295
47.0,36.87500295,51.87500415
44.0,-127.70834355,56.04167115
31.0,9.79166744999998,63.54167175
40.0,159.37501275,62.29167165
44.0,-156.45834585,58.12500465
52.0,-96.87500775,37.29166965
41.0,-118.12500945,49.79167065
24.0,118.54167615,1.04166675
42.0,133.54167735,44.79167025
27.0,-103.12500825,36.04166955
33.0,131.45834385,51.45833745
-9999.0,30.20833575,71.04167235
39.0,-78.12500625,46.45833705
20.0,-106.45834185,27.29166885
41.0,61.45833825,67.29167205
36.0,-83.95834005,46.87500375
43.0,-114.79167585,50.20833735
45.0,44.37500355,65.62500525
33.0,30.62500245,62.70833835
44.0,131.45834385,47.70833715
40.0,92.29167405,52.70833755
40.0,-136.04167755,58.12500465
42.0,-118.54167615,44.37500355
40.0,41.45833665,58.54167135
-9999.0,170.62501365,60.20833815
35.0,-16.45833465,65.20833855
46.0,-94.37500755,43.95833685
44.0,38.12500305,63.95833845
43.0,41.45833665,40.20833655
44.0,53.12500425,66.45833865
52.0,-157.70834595,61.04167155
38.0,133.12501065,48.12500385
41.0,61.04167155,56.45833785
42.0,16.45833465,39.79166985
-9999.0,156.45834585,50.62500405
70.0,-89.79167385,37.29166965
37.0,-112.29167565,37.70833635
24.0,14.79166785,50.20833735
-9999.0,-143.54167815,70.62500565
30.0,-93.54167415,47.70833715
-9999.0,1.45833345,51.87500415
47.0,13.54166775,51.04167075
-9999.0,40.62500325,42.70833675
39.0,45.20833695,60.62500485
44.0,-134.79167745,63.54167175
40.0,46.45833705,39.79166985
52.0,4.79166705,50.20833735
39.0,-130.62501045,60.62500485
50.0,-80.20833975,26.45833545
36.0,112.70834235,24.37500195
55.0,-150.20834535,62.29167165
40.0,-153.12501225,57.70833795
51.0,-145.20834495,65.62500525
36.0,-120.20834295,42.29167005
32.0,-3.54166695000001,34.79166945
46.0,-151.87501215,69.79167225
34.0,-78.12500625,51.87500415
-9999.0,-4.37500035000002,51.04167075
37.0,-95.20834095,43.12500345
55.0,-88.54167375,43.54167015
43.0,122.70834315,40.62500325
33.0,-79.37500635,48.12500385
38.0,-127.70834355,50.20833735
32.0,-89.37500715,36.87500295
-9999.0,21.45833505,64.79167185
32.0,113.54167575,25.20833535
38.0,99.37500795,24.79166865
