soiltype_mostprobable,x,y
23.0,140.62501125,59.79167145
18.0,121.04167635,-30.62500245
18.0,-94.79167425,36.04166955
255.0,-73.95833925,50.62500405
18.0,-117.29167605,53.54167095
14.0,-82.70833995,53.95833765
1.0,36.87500295,53.95833765
18.0,-116.45834265,53.54167095
19.0,114.79167585,4.37500034999999
3.0,156.45834585,54.79167105
6.0,-113.12500905,48.12500385
16.0,103.12500825,33.12500265
23.0,35.20833615,60.62500485
6.0,89.37500715,54.37500435
6.0,-138.95834445,62.29167165
18.0,-79.79167305,43.95833685
1.0,49.79167065,61.45833825
6.0,-7.29166725000002,41.04166995
23.0,-77.70833955,45.62500365
6.0,-121.04167635,39.79166985
14.0,52.70833755,66.45833865
255.0,111.45834225,-8.54166735
20.0,-90.62500725,41.87500335
1.0,21.45833505,53.12500425
0.0,117.29167605,24.79166865
6.0,163.95834645,63.95833845
6.0,-139.79167785,65.62500525
255.0,107.29167525,10.20833415
6.0,98.54167455,25.20833535
18.0,93.54167415,28.95833565
255.0,20.20833495,63.12500505
1.0,33.95833605,56.45833785
6.0,-6.45833385,42.70833675
23.0,28.95833565,64.37500515
15.0,113.12500905,51.87500415
7.0,28.95833565,46.87500375
1.0,56.45833785,62.70833835
18.0,120.62500965,47.29167045
255.0,-70.62500565,-53.12500425
0.0,109.79167545,18.54166815
0.0,103.12500825,21.45833505
8.0,-144.79167825,68.54167215
10.0,101.87500815,4.37500034999999
0.0,120.62500965,29.37500235
255.0,103.54167495,3.95833365
14.0,64.79167185,66.04167195
18.0,-99.79167465,18.54166815
6.0,22.70833515,62.70833835
1.0,48.12500385,64.37500515
6.0,-159.79167945,64.79167185
1.0,33.95833605,57.29167125
255.0,133.12501065,34.37500275
255.0,172.70834715,61.04167155
18.0,-114.37500915,53.95833765
6.0,174.79168065,65.62500525
6.0,95.62500765,23.12500185
7.0,92.29167405,51.87500415
7.0,30.62500245,49.37500395
6.0,8.12500064999998,51.04167075
6.0,12.70833435,51.04167075
18.0,-91.04167395,41.45833665
6.0,131.87501055,54.37500435
255.0,-2.29166685000001,56.45833785
18.0,17.29166805,53.95833765
18.0,10.62500085,52.29167085
6.0,-108.12500865,37.70833635
6.0,-7.70833395000002,41.87500335
16.0,-109.79167545,30.62500245
8.0,133.54167735,54.79167105
255.0,-71.87500575,-40.62500325
18.0,-84.79167345,40.62500325
18.0,-121.04167635,38.95833645
6.0,-87.70834035,45.20833695
2.0,-80.20833975,37.70833635
18.0,61.87500495,58.54167135
18.0,33.12500265,34.79166945
0.0,-85.20834015,35.62500285
23.0,43.54167015,43.12500345
255.0,18.54166815,67.70833875
255.0,-4.37500035000002,43.95833685
18.0,101.87500815,28.54166895
18.0,23.12500185,47.70833715
255.0,-76.04167275,38.12500305
255.0,143.95834485,42.70833675
23.0,-61.87500495,52.29167085
1.0,52.29167085,58.12500465
18.0,2.70833354999999,49.79167065
18.0,99.79167465,24.37500195
6.0,128.54167695,36.04166955
18.0,100.62500805,27.29166885
255.0,162.70834635,58.12500465
3.0,145.62501165,-6.45833385
255.0,-163.12501305,66.45833865
18.0,128.54167695,44.37500355
23.0,-4.37500035000002,57.70833795
6.0,-124.37500995,49.79167065
1.0,46.45833705,61.87500495
6.0,69.79167225,35.62500285
255.0,136.04167755,37.29166965
18.0,-1.45833345,47.29167045
6.0,-141.45834465,66.45833865
1.0,26.04166875,53.54167095
23.0,-69.79167225,52.29167085
6.0,-134.79167745,61.45833825
15.0,-123.95834325,40.20833655
255.0,38.95833645,60.20833815
255.0,162.29167965,60.62500485
18.0,-118.95834285,55.62500445
8.0,134.79167745,53.12500425
255.0,138.54167775,54.37500435
18.0,-91.04167395,37.29166965
6.0,26.04166875,66.45833865
15.0,102.29167485,36.04166955
15.0,-106.45834185,41.87500335
23.0,155.62501245,55.20833775
23.0,-115.20834255,46.45833705
255.0,-136.45834425,58.95833805
23.0,9.37500075,56.04167115
6.0,-156.45834585,64.79167185
255.0,21.87500175,57.70833795
6.0,-119.79167625,46.87500375
14.0,24.79166865,68.12500545
6.0,16.45833465,49.79167065
14.0,-93.12500745,56.45833785
6.0,106.04167515,33.54166935
255.0,148.54167855,-38.12500305
255.0,5.20833374999998,53.95833765
18.0,-95.20834095,46.87500375
1.0,28.95833565,51.45833745
18.0,-100.62500805,31.04166915
6.0,108.12500865,32.29166925
18.0,117.29167605,42.29167005
0.0,28.95833565,-30.62500245
255.0,141.87501135,46.87500375
255.0,26.04166875,40.20833655
6.0,148.54167855,-36.87500295
6.0,-113.12500905,46.45833705
8.0,158.12501265,56.45833785
255.0,20.20833495,61.04167155
16.0,-99.37500795,17.29166805
23.0,26.04166875,65.20833855
6.0,-141.04167795,66.87500535
23.0,24.79166865,56.87500455
6.0,118.12500945,36.45833625
6.0,128.54167695,41.45833665
29.0,-101.04167475,20.20833495
6.0,-116.04167595,44.37500355
255.0,-141.04167795,61.04167155
7.0,-111.45834225,44.37500355
255.0,176.87501415,62.29167165
1.0,33.54166935,66.87500535
23.0,-125.20834335,49.79167065
24.0,104.79167505,31.45833585
255.0,-72.29167245,-34.79166945
255.0,-64.37500515,43.95833685
6.0,101.87500815,25.20833535
6.0,-131.45834385,58.54167135
18.0,-107.70834195,29.37500235
18.0,-97.70834115,29.79166905
255.0,144.79167825,-40.62500325
23.0,-80.20833975,48.12500385
1.0,48.95833725,59.37500475
6.0,138.12501105,51.87500415
6.0,9.79166744999998,62.70833835
23.0,-130.20834375,55.20833775
0.0,-87.29167365,30.62500245
6.0,-148.95834525,63.12500505
