BIOCLIM_14,x,y
12.0,100.6875,73.3125
61.0,-21.4375,64.0625
11.0,-98.1875,45.9375
17.0,96.8125,60.9375
161.0,104.0625,1.5625
91.0,-62.9375,45.1875
4.0,104.0625,33.0625
21.0,89.6875,59.8125
9.0,116.6875,59.0625
31.0,56.1875,59.9375
9.0,156.9375,64.3125
9.0,136.8125,52.0625
5.0,128.5625,44.9375
25.0,17.5625,53.0625
30.0,29.8125,62.5625
7.0,147.8125,65.6875
20.0,169.9375,63.4375
13.0,93.1875,72.5625
38.0,119.9375,31.4375
45.0,-110.3125,45.0625
16.0,77.1875,31.4375
21.0,105.9375,28.3125
19.0,69.4375,65.1875
2.0,34.4375,-9.1875
80.0,-91.0625,35.3125
59.0,5.4375,46.9375
20.0,-117.9375,60.1875
65.0,-20.9375,64.1875
16.0,16.5625,76.9375
17.0,62.0625,69.4375
27.0,109.4375,29.9375
2.0,110.0625,40.5625
64.0,-4.0625,53.1875
70.0,150.1875,-35.0625
1.0,80.6875,16.3125
7.0,105.1875,31.6875
24.0,46.0625,57.5625
14.0,86.3125,51.8125
26.0,-83.1875,22.5625
3.0,110.3125,48.5625
72.0,123.4375,13.1875
6.0,-110.4375,66.5625
152.0,8.4375,46.5625
8.0,106.0625,11.5625
9.0,104.9375,51.8125
23.0,85.0625,62.5625
3.0,120.4375,45.6875
29.0,3.1875,43.5625
9.0,155.1875,65.6875
78.0,-19.5625,64.8125
44.0,42.3125,43.0625
12.0,126.1875,40.9375
27.0,32.9375,66.0625
20.0,65.9375,62.1875
49.0,0.6875,47.6875
7.0,154.5625,64.3125
3.0,103.8125,19.3125
17.0,63.4375,60.1875
-9999.0,113.9375,-3.4375
21.0,-150.6875,63.4375
27.0,55.4375,58.1875
6.0,-100.5625,63.4375
52.0,2.9375,44.3125
33.0,13.1875,62.3125
3.0,96.4375,21.9375
23.0,21.8125,39.1875
62.0,-67.5625,48.8125
37.0,-121.9375,46.5625
3.0,85.5625,28.0625
2.0,106.8125,37.0625
9.0,-118.6875,40.3125
60.0,-95.0625,33.4375
106.0,143.8125,-4.3125
21.0,103.9375,51.3125
62.0,-79.4375,40.8125
20.0,65.0625,64.8125
19.0,-110.3125,46.8125
22.0,85.6875,61.3125
20.0,-111.6875,47.0625
17.0,-153.1875,66.0625
21.0,-119.0625,48.3125
206.0,114.0625,-0.8125
50.0,-25.4375,69.1875
25.0,45.0625,64.1875
7.0,-103.0625,28.8125
16.0,-109.0625,59.6875
13.0,106.1875,58.8125
19.0,-117.1875,47.3125
8.0,148.8125,64.9375
19.0,-72.0625,-47.1875
28.0,27.9375,46.4375
10.0,100.3125,70.8125
21.0,-114.9375,44.1875
16.0,-100.8125,24.8125
24.0,86.6875,67.1875
26.0,29.0625,68.3125
12.0,87.6875,72.5625
15.0,98.0625,24.9375
14.0,118.3125,-34.1875
50.0,-83.3125,46.4375
54.0,-81.0625,28.4375
39.0,109.6875,23.0625
-9999.0,43.6875,66.3125
107.0,-42.8125,63.3125
19.0,-118.4375,36.9375
72.0,-131.6875,54.0625
29.0,-122.0625,47.5625
18.0,-70.9375,-36.0625
25.0,85.6875,64.4375
28.0,31.8125,67.9375
7.0,-118.9375,39.6875
117.0,129.8125,-1.9375
3.0,120.3125,45.5625
32.0,0.5625,52.3125
19.0,85.8125,54.8125
27.0,58.6875,62.3125
39.0,-77.5625,48.6875
10.0,-98.4375,47.9375
55.0,-81.5625,41.3125
29.0,-1.4375,41.3125
8.0,-140.0625,64.4375
10.0,124.0625,40.9375
39.0,161.5625,55.0625
47.0,-73.5625,49.3125
-9999.0,121.3125,13.4375
6.0,-120.0625,69.1875
4.0,113.5625,39.1875
8.0,145.6875,61.1875
15.0,-96.1875,58.5625
28.0,161.4375,58.1875
10.0,102.5625,53.9375
63.0,5.8125,49.8125
15.0,-112.5625,52.6875
8.0,150.3125,63.8125
30.0,37.6875,54.0625
16.0,103.4375,29.6875
26.0,161.1875,59.1875
13.0,123.0625,58.0625
6.0,147.4375,67.0625
30.0,-95.3125,38.5625
33.0,36.1875,52.0625
65.0,-138.0625,59.8125
12.0,114.8125,59.9375
10.0,103.0625,65.1875
5.0,-111.4375,37.0625
15.0,-98.6875,49.9375
9.0,-81.5625,63.8125
21.0,94.0625,67.3125
9.0,102.1875,54.1875
11.0,114.1875,61.9375
6.0,-145.6875,63.8125
-9999.0,18.4375,58.9375
20.0,140.9375,-36.9375
38.0,-97.5625,28.9375
51.0,-78.8125,-2.8125
7.0,119.3125,58.8125
14.0,-112.4375,52.5625
10.0,109.8125,33.6875
5.0,102.1875,14.6875
30.0,16.3125,63.4375
132.0,116.1875,0.0625
31.0,27.9375,70.5625
1.0,51.8125,30.1875
8.0,138.8125,62.6875
22.0,56.6875,52.6875
19.0,83.5625,69.4375
6.0,-119.1875,69.0625
34.0,47.3125,-20.6875
5.0,128.6875,45.9375
20.0,84.4375,56.0625
22.0,94.3125,62.8125
10.0,134.9375,49.1875
16.0,174.5625,64.0625
29.0,27.6875,63.9375
28.0,50.3125,63.9375
23.0,-123.3125,48.8125
28.0,54.6875,58.3125
2.0,100.6875,46.9375
25.0,35.5625,57.4375
7.0,116.3125,36.4375
10.0,99.1875,59.0625
17.0,71.4375,34.8125
13.0,-100.8125,34.9375
-9999.0,143.8125,42.6875
5.0,-121.9375,40.6875
2.0,83.8125,42.6875
14.0,-8.3125,40.5625
12.0,104.0625,56.0625
22.0,83.1875,63.1875
45.0,150.1875,-30.0625
27.0,-88.4375,44.4375
63.0,7.1875,51.1875
104.0,-83.4375,9.8125
28.0,48.8125,64.9375
8.0,32.8125,-18.9375
31.0,46.8125,-24.4375
27.0,56.4375,65.4375
17.0,25.5625,69.1875
-9999.0,137.6875,-35.1875
147.0,101.3125,1.1875
12.0,102.6875,22.9375
17.0,166.3125,63.5625
5.0,-110.5625,66.8125
10.0,121.4375,61.6875
7.0,102.8125,52.1875
22.0,32.9375,64.0625
-9999.0,19.4375,41.5625
30.0,-107.8125,40.0625
6.0,90.3125,50.5625
24.0,49.6875,38.4375
228.0,139.0625,-3.8125
24.0,-155.5625,61.1875
31.0,-70.5625,56.4375
108.0,-46.5625,63.3125
66.0,-66.1875,47.6875
27.0,47.4375,40.8125
6.0,127.9375,45.0625
24.0,56.3125,52.5625
15.0,-112.6875,52.6875
19.0,-103.5625,57.1875
9.0,119.1875,61.4375
22.0,88.3125,60.4375
12.0,120.6875,16.3125
22.0,-96.4375,37.9375
25.0,45.9375,60.8125
47.0,7.6875,48.0625
29.0,4.6875,44.1875
8.0,102.9375,27.9375
8.0,-102.9375,36.6875
14.0,99.4375,68.6875
10.0,-123.0625,41.4375
39.0,-81.5625,26.5625
19.0,-84.8125,54.6875
7.0,-121.4375,40.6875
4.0,106.0625,10.6875
61.0,12.3125,45.6875
36.0,-68.1875,-14.4375
5.0,111.1875,36.1875
6.0,132.9375,50.4375
28.0,32.3125,61.9375
27.0,38.9375,63.3125
11.0,-99.8125,59.4375
6.0,110.1875,53.4375
18.0,55.5625,70.8125
28.0,36.6875,48.1875
23.0,85.0625,66.4375
26.0,24.0625,51.3125
7.0,99.0625,54.0625
34.0,-143.1875,61.5625
34.0,-77.5625,49.0625
124.0,-44.8125,62.5625
44.0,21.4375,42.6875
6.0,-145.9375,66.8125
1.0,101.3125,36.9375
5.0,-145.8125,63.8125
12.0,87.1875,72.8125
58.0,145.9375,-5.6875
31.0,-76.5625,51.1875
-9999.0,135.0625,43.3125
120.0,-73.4375,-46.1875
9.0,-118.5625,65.4375
36.0,127.0625,35.3125
4.0,99.9375,33.0625
42.0,-119.1875,52.3125
10.0,-104.6875,61.6875
24.0,-156.8125,58.3125
32.0,-122.6875,50.3125
57.0,-63.3125,49.5625
14.0,-109.6875,53.1875
88.0,-130.1875,55.1875
4.0,104.6875,34.1875
116.0,-43.3125,63.1875
11.0,-97.3125,60.4375
2.0,-107.0625,24.5625
20.0,66.8125,61.8125
32.0,-81.5625,50.9375
8.0,-121.0625,44.8125
28.0,-98.1875,34.5625
61.0,142.6875,43.9375
160.0,113.1875,-0.6875
2.0,105.6875,35.9375
22.0,85.3125,55.3125
47.0,5.5625,51.5625
12.0,109.1875,58.0625
0.0,102.3125,39.0625
9.0,152.0625,61.0625
28.0,21.9375,53.8125
13.0,-151.1875,64.8125
0.0,52.1875,30.3125
2.0,98.6875,51.4375
20.0,-97.1875,38.9375
17.0,77.8125,71.6875
21.0,74.3125,64.0625
10.0,-106.6875,63.4375
21.0,-136.5625,60.3125
33.0,-74.1875,53.1875
6.0,-73.1875,66.6875
27.0,38.0625,52.3125
8.0,145.4375,61.9375
5.0,106.3125,33.4375
-9999.0,54.1875,70.5625
12.0,133.1875,56.0625
23.0,86.1875,62.0625
99.0,12.8125,65.6875
22.0,92.6875,67.4375
65.0,-60.3125,52.1875
31.0,-84.0625,44.4375
76.0,-90.3125,35.1875
89.0,-90.5625,29.8125
12.0,-121.4375,44.5625
5.0,98.3125,53.6875
20.0,76.8125,58.3125
20.0,111.6875,32.1875
32.0,15.8125,48.1875
54.0,-77.5625,46.6875
23.0,-111.6875,42.5625
53.0,146.3125,-41.4375
42.0,32.8125,41.5625
-9999.0,147.9375,-10.3125
27.0,23.1875,56.8125
13.0,159.1875,62.6875
10.0,-68.3125,65.9375
-9999.0,11.6875,65.8125
17.0,46.0625,40.6875
137.0,100.5625,4.8125
6.0,102.0625,30.8125
31.0,32.3125,54.8125
45.0,-84.5625,46.4375
3.0,124.5625,49.5625
19.0,76.6875,69.1875
2.0,121.4375,41.8125
43.0,-81.3125,27.5625
22.0,14.9375,78.6875
3.0,113.0625,50.8125
11.0,108.3125,57.6875
30.0,29.6875,59.0625
24.0,46.8125,62.5625
27.0,-91.5625,42.0625
17.0,-172.8125,65.9375
12.0,129.0625,41.8125
30.0,144.4375,-36.6875
61.0,148.4375,-35.6875
22.0,82.3125,64.9375
45.0,6.8125,43.8125
10.0,114.9375,62.3125
34.0,13.9375,62.5625
91.0,14.0625,47.6875
29.0,35.9375,61.9375
16.0,-105.3125,53.5625
37.0,-88.0625,48.3125
32.0,-87.6875,46.1875
3.0,97.8125,31.3125
4.0,111.0625,50.4375
180.0,117.4375,2.6875
28.0,18.3125,54.5625
29.0,24.1875,62.4375
37.0,-84.1875,46.1875
6.0,-142.6875,66.9375
38.0,-115.8125,51.0625
11.0,-117.0625,43.1875
26.0,50.4375,55.9375
11.0,141.5625,-29.9375
26.0,88.6875,63.8125
12.0,-152.1875,64.6875
36.0,121.0625,30.9375
64.0,-67.8125,50.3125
16.0,26.0625,41.0625
11.0,125.1875,41.5625
-9999.0,124.3125,24.6875
12.0,124.9375,-30.4375
21.0,72.3125,62.9375
8.0,133.9375,58.8125
45.0,-116.0625,50.8125
53.0,-81.8125,45.1875
20.0,95.3125,27.1875
9.0,-164.9375,68.0625
75.0,-23.1875,65.9375
16.0,96.6875,58.3125
48.0,-70.5625,50.0625
22.0,86.4375,60.9375
-9999.0,114.4375,-7.1875
22.0,58.5625,55.3125
33.0,146.6875,-35.1875
4.0,142.4375,-13.3125
9.0,90.6875,54.6875
19.0,72.6875,34.4375
90.0,-5.3125,57.1875
30.0,58.8125,64.3125
11.0,104.1875,55.8125
18.0,79.0625,60.1875
20.0,74.5625,60.9375
1.0,99.4375,36.6875
65.0,8.6875,51.5625
16.0,-105.3125,58.3125
21.0,-116.0625,54.9375
25.0,156.0625,53.4375
25.0,-98.8125,34.4375
3.0,104.6875,33.5625
37.0,14.3125,41.6875
11.0,28.3125,-29.5625
13.0,97.5625,25.9375
29.0,-157.3125,56.9375
8.0,133.9375,60.8125
15.0,-161.6875,61.6875
8.0,130.9375,-27.9375
35.0,-91.9375,39.9375
18.0,96.3125,65.1875
18.0,-74.4375,60.8125
30.0,16.1875,53.3125
-9999.0,-69.4375,43.9375
17.0,-94.5625,53.4375
14.0,87.1875,51.5625
50.0,150.3125,-32.6875
45.0,-83.6875,41.6875
21.0,62.5625,65.1875
26.0,51.3125,65.6875
26.0,50.6875,65.4375
12.0,122.4375,37.1875
13.0,104.0625,28.5625
21.0,28.6875,69.4375
10.0,-105.8125,62.8125
7.0,-108.8125,65.5625
41.0,21.5625,44.8125
6.0,-142.4375,67.4375
4.0,-101.8125,20.3125
49.0,16.8125,68.6875
24.0,57.0625,57.4375
15.0,15.3125,78.1875
-9999.0,48.9375,-20.0625
8.0,134.5625,51.8125
14.0,118.9375,-32.5625
2.0,30.8125,-20.0625
23.0,48.3125,41.8125
16.0,-119.5625,44.0625
203.0,114.1875,0.0625
45.0,118.3125,27.0625
19.0,78.6875,70.4375
-9999.0,144.3125,-38.4375
11.0,105.9375,56.4375
36.0,-74.5625,52.4375
27.0,41.6875,51.0625
13.0,106.8125,59.0625
36.0,-71.8125,-42.1875
50.0,-83.6875,47.5625
25.0,20.4375,51.6875
10.0,-115.1875,63.3125
37.0,-87.4375,49.4375
208.0,111.5625,0.3125
6.0,-111.3125,67.0625
12.0,103.9375,62.3125
8.0,-103.1875,29.1875
81.0,-79.0625,36.5625
3.0,-102.5625,67.8125
25.0,-121.4375,50.5625
20.0,77.5625,59.0625
-9999.0,-69.8125,58.8125
9.0,27.9375,-27.6875
7.0,138.3125,63.9375
1.0,119.1875,43.6875
23.0,39.9375,6.9375
28.0,41.9375,58.3125
8.0,71.8125,41.5625
21.0,-128.4375,56.1875
7.0,-71.6875,66.4375
27.0,40.3125,53.1875
5.0,133.4375,63.5625
14.0,110.0625,56.6875
19.0,43.5625,44.9375
19.0,-108.3125,45.1875
31.0,24.8125,62.1875
8.0,147.1875,60.9375
16.0,92.4375,56.9375
26.0,47.4375,60.3125
20.0,-115.1875,38.8125
34.0,9.3125,61.6875
19.0,16.1875,40.1875
17.0,47.6875,42.3125
13.0,-98.1875,38.4375
12.0,137.6875,50.0625
17.0,-118.8125,60.5625
-9999.0,139.4375,34.3125
38.0,-90.5625,39.5625
35.0,146.6875,-8.5625
21.0,76.6875,67.5625
78.0,-73.1875,-47.4375
7.0,136.0625,66.3125
-9999.0,21.4375,64.5625
21.0,66.0625,64.4375
0.0,102.0625,39.3125
5.0,168.9375,69.0625
15.0,87.8125,56.6875
35.0,3.4375,45.4375
10.0,123.4375,39.9375
8.0,-146.0625,62.1875
67.0,-57.4375,49.4375
11.0,137.4375,49.9375
30.0,16.1875,53.4375
10.0,-118.3125,46.5625
15.0,-91.8125,56.6875
87.0,-63.1875,45.1875
13.0,87.3125,71.9375
27.0,39.9375,6.8125
19.0,90.9375,68.1875
77.0,-86.3125,33.0625
-9999.0,-158.0625,56.4375
7.0,136.6875,64.5625
56.0,10.1875,47.3125
8.0,-104.1875,30.6875
5.0,142.1875,63.6875
78.0,-9.9375,51.6875
26.0,-105.4375,36.3125
8.0,117.9375,62.5625
19.0,-90.1875,54.3125
20.0,70.3125,63.6875
27.0,-127.1875,61.5625
-9999.0,-72.1875,-17.0625
-9999.0,144.0625,49.9375
62.0,-128.6875,54.1875
7.0,-119.8125,68.6875
12.0,-119.5625,41.8125
29.0,31.4375,62.5625
23.0,88.0625,60.9375
5.0,-104.3125,20.8125
5.0,93.5625,22.8125
7.0,106.8125,12.0625
15.0,49.6875,41.4375
45.0,34.0625,41.9375
5.0,142.5625,63.5625
20.0,47.3125,43.1875
9.0,126.8125,41.9375
32.0,-87.5625,44.1875
3.0,123.9375,-9.4375
4.0,-88.4375,64.3125
23.0,-91.1875,52.4375
21.0,106.1875,16.9375
10.0,19.4375,80.4375
25.0,46.0625,57.6875
43.0,112.6875,28.9375
21.0,-68.6875,64.3125
27.0,10.8125,60.8125
7.0,-122.1875,68.0625
8.0,-117.6875,41.8125
14.0,105.8125,23.1875
12.0,100.9375,72.0625
6.0,132.5625,52.9375
11.0,108.3125,58.9375
-9999.0,53.6875,70.9375
9.0,104.3125,52.8125
-9999.0,-158.5625,55.8125
16.0,177.9375,63.5625
14.0,18.6875,-32.8125
10.0,174.4375,67.6875
16.0,73.4375,40.3125
7.0,-143.9375,63.1875
43.0,23.1875,48.0625
25.0,54.3125,56.3125
73.0,-72.9375,-46.5625
5.0,-140.4375,69.0625
21.0,-1.1875,39.6875
7.0,148.6875,62.8125
4.0,116.6875,38.1875
-9999.0,-74.5625,39.1875
5.0,8.4375,36.4375
24.0,93.6875,60.1875
3.0,85.4375,27.5625
48.0,18.5625,48.9375
18.0,-123.8125,52.9375
30.0,56.4375,64.5625
11.0,-103.9375,60.4375
6.0,129.0625,50.3125
3.0,-153.1875,70.0625
88.0,116.1875,6.1875
33.0,-70.0625,55.3125
-9999.0,125.4375,24.6875
27.0,33.6875,48.0625
24.0,-107.1875,37.3125
7.0,133.1875,48.6875
58.0,1.9375,46.1875
2.0,85.6875,27.9375
32.0,150.6875,-32.4375
31.0,-145.4375,61.1875
15.0,34.8125,64.6875
19.0,69.1875,65.6875
41.0,2.4375,49.8125
27.0,52.5625,65.1875
5.0,115.3125,56.5625
10.0,151.8125,59.9375
6.0,-93.8125,64.0625
29.0,42.6875,58.3125
41.0,-68.5625,54.0625
8.0,99.8125,21.3125
27.0,48.4375,58.9375
19.0,-116.4375,54.0625
31.0,13.8125,61.5625
22.0,81.6875,64.9375
82.0,5.9375,46.9375
13.0,-137.0625,66.5625
32.0,33.8125,59.6875
13.0,92.5625,73.1875
0.0,35.1875,31.6875
8.0,130.8125,56.5625
-9999.0,-69.5625,60.3125
7.0,-108.9375,44.4375
81.0,-82.9375,34.0625
1.0,-5.4375,34.1875
22.0,63.6875,66.3125
28.0,45.8125,59.0625
17.0,-118.5625,44.4375
17.0,-88.3125,55.1875
67.0,-127.0625,50.3125
-9999.0,-164.1875,54.5625
10.0,-105.0625,33.1875
5.0,100.9375,53.1875
16.0,60.9375,56.8125
12.0,97.0625,25.6875
11.0,-114.0625,65.3125
15.0,69.3125,68.4375
79.0,-64.0625,46.6875
18.0,64.6875,60.5625
164.0,112.0625,0.9375
12.0,159.9375,62.3125
13.0,96.3125,73.1875
42.0,-64.4375,52.0625
80.0,-82.1875,36.8125
85.0,-88.5625,36.8125
24.0,84.8125,63.8125
2.0,115.3125,38.5625
8.0,118.4375,63.5625
9.0,30.5625,-25.8125
10.0,-120.1875,65.3125
26.0,20.0625,65.8125
16.0,-107.3125,45.5625
16.0,-171.3125,65.6875
2.0,98.4375,31.9375
19.0,95.6875,63.8125
16.0,63.1875,58.4375
3.0,98.8125,29.4375
5.0,132.5625,62.9375
8.0,174.8125,68.8125
27.0,50.0625,60.9375
17.0,-152.3125,62.1875
8.0,136.1875,51.8125
65.0,-137.1875,59.0625
51.0,147.0625,-8.9375
26.0,-157.1875,60.6875
16.0,111.3125,32.9375
7.0,110.3125,54.4375
47.0,-76.6875,42.0625
-9999.0,134.6875,43.0625
16.0,-117.5625,38.6875
5.0,-104.0625,27.9375
4.0,-6.9375,38.6875
4.0,100.9375,52.4375
-9999.0,0.1875,50.5625
18.0,-177.3125,65.8125
16.0,-110.9375,47.3125
22.0,-94.3125,49.9375
73.0,-84.9375,38.6875
4.0,102.6875,32.6875
55.0,-62.8125,52.8125
29.0,22.0625,54.1875
27.0,54.0625,65.9375
26.0,51.9375,59.9375
53.0,6.9375,49.6875
22.0,84.9375,54.0625
26.0,-90.1875,48.3125
60.0,-18.4375,65.4375
9.0,145.1875,65.0625
8.0,-102.9375,61.5625
10.0,67.6875,70.6875
131.0,117.9375,5.4375
20.0,45.5625,40.3125
2.0,105.4375,48.4375
22.0,75.8125,66.6875
10.0,101.8125,70.1875
-9999.0,67.1875,69.5625
1.0,103.8125,13.1875
10.0,102.9375,52.0625
47.0,113.3125,27.8125
46.0,-93.0625,39.9375
15.0,121.8125,-33.6875
24.0,-159.5625,60.0625
37.0,120.1875,31.8125
8.0,29.1875,-29.3125
3.0,81.9375,29.1875
24.0,33.3125,62.3125
51.0,2.3125,47.0625
15.0,-105.6875,50.3125
76.0,-88.3125,37.1875
32.0,37.8125,55.5625
27.0,34.1875,56.8125
41.0,-125.9375,52.3125
10.0,-136.4375,60.9375
-9999.0,138.4375,53.9375
25.0,49.3125,56.5625
21.0,-124.3125,56.1875
94.0,6.6875,58.8125
38.0,-123.8125,46.6875
19.0,75.8125,60.9375
5.0,96.1875,28.8125
57.0,-76.6875,41.1875
14.0,-65.5625,62.9375
8.0,18.9375,-32.9375
30.0,-88.1875,42.5625
43.0,-28.5625,71.1875
13.0,91.8125,72.3125
4.0,109.9375,50.0625
19.0,83.1875,60.3125
6.0,-71.8125,-12.9375
40.0,-3.5625,42.9375
38.0,23.5625,70.0625
-9999.0,-38.6875,65.3125
14.0,30.8125,-26.0625
26.0,54.0625,66.9375
-9999.0,-94.5625,60.1875
