ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
111.0,25.4375,60.5625
45.0,28.4375,47.6875
32.0,145.0625,-32.0625
50.0,29.8125,48.5625
30.0,15.5625,41.1875
275.0,-101.5625,58.9375
47.0,13.1875,52.8125
38.0,-107.0625,40.3125
28.0,7.0625,36.3125
32.0,-117.5625,46.3125
24.0,-116.6875,38.5625
142.0,-83.4375,64.3125
120.0,171.6875,67.3125
43.0,106.1875,55.0625
-9999.0,-45.4375,61.5625
25.0,117.9375,24.3125
121.0,-72.4375,50.6875
119.0,-65.9375,44.4375
13.0,118.8125,-30.8125
87.0,84.8125,51.4375
80.0,25.9375,46.6875
96.0,30.9375,59.1875
117.0,123.9375,55.3125
-9999.0,139.4375,47.8125
113.0,29.0625,63.0625
21.0,-118.0625,46.6875
199.0,-107.1875,61.9375
290.0,78.5625,56.9375
138.0,88.4375,63.6875
99.0,150.0625,46.0625
24.0,-90.1875,39.5625
19.0,-87.4375,38.3125
120.0,50.1875,64.1875
26.0,105.9375,36.1875
46.0,16.5625,52.4375
185.0,109.6875,-0.3125
-9999.0,21.4375,-34.4375
31.0,27.6875,-32.4375
24.0,-90.8125,35.5625
30.0,98.4375,31.8125
125.0,-61.8125,53.4375
242.0,-78.3125,58.8125
88.0,121.5625,59.3125
79.0,-74.0625,45.9375
71.0,-71.0625,43.6875
13.0,112.6875,34.8125
-9999.0,42.6875,38.4375
56.0,73.5625,35.1875
109.0,92.0625,52.5625
14.0,148.0625,-20.3125
104.0,-145.8125,63.4375
191.0,-120.5625,59.8125
-9999.0,-160.5625,66.5625
-9999.0,17.4375,67.6875
48.0,95.9375,30.6875
22.0,122.1875,-29.9375
83.0,112.3125,50.4375
37.0,-2.1875,40.5625
86.0,-110.0625,65.4375
-9999.0,52.0625,68.5625
63.0,33.6875,49.3125
67.0,-121.4375,46.9375
33.0,0.9375,46.0625
65.0,49.5625,61.8125
53.0,-96.4375,44.6875
-9999.0,-114.1875,48.0625
113.0,90.6875,51.3125
53.0,114.6875,30.4375
98.0,-143.3125,60.6875
107.0,50.0625,56.3125
-9999.0,-172.6875,64.8125
64.0,47.6875,58.4375
57.0,98.3125,59.5625
24.0,16.6875,48.5625
75.0,93.6875,30.1875
63.0,71.1875,39.6875
21.0,-85.0625,31.1875
81.0,-131.5625,59.4375
16.0,115.8125,-30.3125
152.0,-72.0625,64.8125
92.0,-68.8125,47.1875
185.0,-113.6875,61.1875
20.0,-105.5625,24.8125
98.0,-115.9375,66.9375
51.0,145.9375,-17.4375
42.0,-107.4375,40.0625
65.0,54.5625,57.9375
164.0,155.5625,62.5625
6.0,86.5625,49.9375
37.0,100.3125,29.0625
95.0,91.8125,65.1875
26.0,113.5625,35.9375
17.0,111.3125,40.4375
67.0,65.6875,55.4375
21.0,-86.4375,30.9375
68.0,111.0625,58.3125
132.0,107.8125,60.6875
170.0,28.9375,65.4375
165.0,-77.4375,50.8125
46.0,102.0625,5.0625
76.0,47.5625,53.4375
-9999.0,48.6875,54.5625
16.0,-117.6875,36.1875
168.0,-149.5625,65.6875
57.0,84.4375,54.1875
90.0,29.0625,68.1875
126.0,101.8125,70.3125
51.0,2.3125,42.8125
109.0,-25.9375,73.8125
173.0,86.0625,73.6875
64.0,134.4375,60.8125
-9999.0,139.9375,40.1875
25.0,19.1875,47.0625
124.0,-67.0625,50.8125
186.0,78.6875,60.3125
88.0,13.6875,47.4375
192.0,-99.3125,61.1875
59.0,2.8125,44.8125
9.0,114.8125,34.9375
52.0,42.0625,49.9375
47.0,28.1875,48.0625
124.0,7.9375,58.6875
25.0,-1.5625,48.0625
0.0,-105.4375,26.6875
209.0,168.8125,63.6875
32.0,106.1875,26.9375
135.0,22.3125,60.3125
158.0,50.3125,65.6875
227.0,28.4375,59.3125
