LandCover_6_Herbaceous,x,y
0.0,128.4375,55.4375
0.0,-3.5625,47.5625
20.0,128.6875,54.3125
0.0,152.0625,62.5625
0.0,97.1875,52.9375
22.0,-86.9375,38.4375
15.0,-5.6875,39.4375
0.0,89.1875,57.0625
43.0,-72.3125,-48.5625
28.0,-79.6875,61.8125
0.0,104.6875,18.5625
0.0,12.9375,65.1875
0.0,97.1875,65.9375
0.0,-110.4375,33.5625
85.0,119.5625,49.8125
31.0,-7.9375,54.1875
0.0,133.5625,-31.8125
0.0,49.4375,39.3125
50.0,99.3125,50.9375
0.0,0.3125,47.4375
0.0,18.0625,45.1875
0.0,30.5625,51.6875
14.0,134.9375,-31.5625
0.0,48.5625,65.4375
0.0,-92.0625,62.8125
0.0,101.0625,73.0625
0.0,-4.1875,52.4375
16.0,-93.3125,63.5625
17.0,-27.0625,68.6875
0.0,102.8125,12.8125
0.0,126.1875,7.0625
0.0,40.6875,53.5625
57.0,-107.3125,49.1875
0.0,22.1875,67.1875
0.0,-64.5625,44.0625
14.0,84.1875,71.5625
26.0,30.3125,-28.6875
52.0,110.5625,38.1875
0.0,-121.1875,46.8125
14.0,20.6875,68.5625
0.0,-102.4375,26.6875
0.0,54.0625,62.4375
0.0,-103.5625,64.1875
11.0,147.6875,-37.8125
52.0,106.8125,35.9375
0.0,13.3125,43.8125
0.0,91.3125,46.6875
0.0,112.8125,73.3125
55.0,-121.1875,42.4375
0.0,-92.3125,55.6875
0.0,26.6875,51.6875
12.0,-99.6875,19.9375
37.0,-119.5625,41.6875
0.0,11.1875,58.1875
0.0,104.0625,10.6875
0.0,111.4375,-8.3125
22.0,118.1875,51.5625
52.0,47.3125,34.5625
0.0,7.8125,53.8125
0.0,103.3125,63.4375
0.0,102.9375,23.0625
16.0,-92.9375,42.0625
40.0,11.1875,62.0625
15.0,80.9375,65.1875
0.0,-78.5625,49.5625
0.0,-65.9375,44.6875
0.0,72.4375,65.4375
0.0,-80.4375,36.8125
0.0,81.1875,51.8125
0.0,41.6875,40.9375
0.0,-76.3125,46.5625
0.0,160.1875,64.4375
0.0,-143.8125,66.1875
0.0,-75.8125,57.9375
24.0,-114.0625,65.4375
2.0,-111.9375,54.3125
23.0,-135.1875,59.1875
27.0,33.1875,40.6875
0.0,142.8125,42.3125
52.0,43.3125,37.1875
0.0,-102.3125,24.3125
0.0,-6.9375,33.1875
29.0,-101.6875,28.8125
