soiltype_mostprobable,x,y
23.0,25.0625,61.6875
7.0,-93.5625,44.0625
20.0,122.4375,42.3125
8.0,-96.1875,67.3125
6.0,137.5625,64.1875
17.0,124.0625,-16.3125
6.0,135.0625,-31.5625
1.0,52.8125,62.9375
6.0,14.9375,59.1875
5.0,-104.9375,32.5625
255.0,-101.8125,59.5625
15.0,-114.5625,42.3125
20.0,62.1875,56.4375
18.0,150.0625,-30.9375
6.0,-72.4375,41.9375
6.0,28.0625,70.9375
8.0,76.4375,68.1875
29.0,20.6875,47.3125
6.0,-76.9375,59.5625
3.0,175.0625,-37.4375
6.0,172.1875,64.5625
6.0,148.9375,64.9375
0.0,29.4375,-25.9375
16.0,100.5625,28.9375
6.0,-122.4375,55.6875
23.0,12.6875,64.6875
6.0,-5.5625,55.9375
23.0,-61.1875,52.4375
8.0,99.4375,61.4375
14.0,130.9375,65.0625
6.0,107.5625,35.0625
8.0,-120.6875,64.9375
18.0,-82.0625,40.5625
0.0,114.0625,27.9375
6.0,147.1875,-6.5625
15.0,-105.1875,40.9375
255.0,7.4375,57.8125
6.0,132.5625,50.8125
1.0,29.8125,54.8125
18.0,-98.9375,31.4375
14.0,-82.3125,53.4375
18.0,128.0625,45.1875
14.0,-163.4375,62.6875
18.0,98.0625,25.6875
7.0,31.0625,46.8125
255.0,-134.9375,57.4375
255.0,-54.4375,71.1875
23.0,166.8125,64.3125
6.0,97.6875,27.4375
6.0,-142.8125,63.8125
8.0,115.4375,55.6875
23.0,-116.9375,49.0625
14.0,-95.5625,58.1875
1.0,57.5625,55.1875
7.0,88.9375,49.8125
6.0,-5.9375,56.6875
18.0,-90.6875,38.0625
23.0,-65.1875,53.4375
6.0,112.4375,36.9375
11.0,105.8125,9.5625
14.0,58.1875,65.6875
255.0,-96.0625,15.5625
20.0,-106.5625,28.3125
7.0,122.6875,45.3125
1.0,75.8125,57.8125
6.0,-79.8125,41.8125
255.0,-115.9375,55.4375
18.0,0.8125,52.9375
0.0,120.3125,27.1875
2.0,109.4375,29.3125
24.0,-112.3125,26.8125
6.0,-136.3125,61.0625
4.0,116.8125,-30.6875
14.0,140.6875,60.4375
1.0,80.3125,57.4375
1.0,47.4375,64.0625
1.0,36.3125,60.4375
6.0,173.4375,66.0625
20.0,26.3125,47.4375
6.0,121.3125,51.6875
6.0,100.4375,25.4375
6.0,-50.5625,68.0625
8.0,-151.4375,65.8125
6.0,80.8125,29.0625
0.0,92.4375,25.6875
23.0,-71.3125,53.3125
16.0,-105.8125,26.9375
15.0,-116.4375,41.1875
12.0,115.1875,30.5625
6.0,142.0625,-32.0625
1.0,84.9375,56.6875
6.0,-92.9375,64.4375
20.0,123.0625,48.5625
6.0,-136.1875,62.1875
14.0,95.6875,70.5625
20.0,-102.5625,21.8125
6.0,28.8125,-28.8125
6.0,38.5625,44.5625
1.0,53.8125,61.1875
6.0,-123.0625,56.8125
20.0,131.3125,46.9375
23.0,33.8125,60.5625
255.0,-84.9375,46.9375
7.0,58.9375,53.0625
20.0,73.1875,56.3125
1.0,50.8125,55.5625
6.0,-90.4375,52.5625
1.0,40.6875,56.3125
255.0,-116.5625,62.8125
8.0,121.6875,53.9375
6.0,114.9375,2.5625
14.0,44.8125,67.1875
255.0,141.5625,41.0625
18.0,83.0625,50.3125
8.0,57.6875,62.8125
0.0,99.4375,11.5625
14.0,94.6875,63.8125
14.0,77.9375,63.8125
14.0,69.4375,64.3125
6.0,-6.3125,53.6875
255.0,-140.5625,59.5625
6.0,-117.8125,53.1875
6.0,128.6875,52.3125
6.0,28.8125,69.5625
255.0,-98.5625,47.4375
15.0,-100.0625,32.0625
255.0,127.8125,39.6875
12.0,37.1875,63.8125
8.0,90.1875,50.5625
6.0,108.1875,72.9375
14.0,67.8125,60.0625
12.0,60.1875,69.9375
6.0,7.9375,50.5625
8.0,152.4375,63.6875
14.0,145.6875,63.1875
6.0,-160.0625,60.6875
1.0,40.0625,55.9375
20.0,62.9375,55.9375
14.0,73.6875,65.1875
6.0,138.4375,61.4375
14.0,76.8125,63.6875
6.0,-147.6875,62.5625
23.0,-63.5625,53.4375
11.0,105.9375,38.0625
14.0,162.1875,62.4375
255.0,-1.8125,48.9375
12.0,141.8125,43.0625
0.0,105.9375,15.0625
6.0,-1.4375,54.1875
15.0,-96.8125,43.5625
6.0,-72.6875,45.1875
6.0,-100.8125,63.0625
255.0,122.8125,39.1875
23.0,33.1875,63.0625
7.0,123.1875,45.5625
