ISRICSOILGRIDS_new_average_claypercent_reduced,x,y
15.0,156.87501255,63.12500505
21.0,96.87500775,55.20833775
-9999.0,-82.29167325,46.04167035
-9999.0,115.62500925,-7.29166725
14.0,100.62500805,51.87500415
-9999.0,12.29166765,67.70833875
26.0,30.20833575,-31.04166915
17.0,107.29167525,60.20833815
17.0,-86.87500695,65.62500525
27.0,112.29167565,26.45833545
23.0,88.12500705,63.95833845
27.0,105.62500845,21.45833505
12.0,-145.62501165,67.29167205
15.0,110.62500885,38.12500305
-9999.0,-151.04167875,61.04167155
19.0,-93.12500745,35.20833615
37.0,93.95834085,23.12500185
49.0,-102.70834155,18.95833485
47.0,-103.54167495,21.87500175
12.0,-118.54167615,46.87500375
25.0,-81.87500655,51.04167075
-9999.0,119.37500955,-36.04166955
30.0,94.37500755,26.04166875
20.0,134.37501075,54.79167105
20.0,-79.37500635,54.37500435
23.0,-107.70834195,38.54166975
11.0,-77.29167285,44.79167025
19.0,81.45833985,62.70833835
17.0,-122.29167645,68.95833885
11.0,-126.45834345,55.20833775
27.0,115.62500925,24.79166865
-9999.0,-2.29166685000001,46.87500375
15.0,-141.87501135,61.87500495
16.0,159.79167945,66.04167195
22.0,1.87500014999998,46.45833705
-9999.0,141.04167795,51.45833745
33.0,98.54167455,24.37500195
18.0,-78.54167295,51.87500415
-9999.0,14.37500115,79.79167305
16.0,-21.45833505,74.79167265
18.0,64.37500515,62.70833835
19.0,120.20834295,53.12500425
16.0,118.12500945,57.70833795
24.0,-88.95834045,39.79166985
10.0,-88.95834045,44.79167025
17.0,103.95834165,50.20833735
9.0,23.54166855,68.12500545
14.0,110.20834215,55.20833775
22.0,69.79167225,61.04167155
19.0,81.04167315,69.37500555
25.0,12.70833435,41.45833665
21.0,-122.70834315,53.54167095
11.0,51.04167075,61.04167155
31.0,29.79166905,47.29167045
18.0,119.37500955,41.87500335
23.0,121.87500975,51.87500415
22.0,131.87501055,45.20833695
12.0,141.45834465,65.20833855
28.0,-95.62500765,45.20833695
15.0,101.04167475,63.12500505
16.0,101.04167475,35.20833615
21.0,-83.95834005,34.79166945
-9999.0,121.45834305,21.87500175
14.0,-73.12500585,51.04167075
17.0,93.12500745,66.45833865
45.0,-101.45834145,19.79166825
7.0,-82.29167325,29.37500235
10.0,-56.87500455,48.54167055
24.0,-106.04167515,42.29167005
24.0,12.29166765,45.62500365
15.0,113.54167575,39.37500315
18.0,111.87500895,51.87500415
14.0,55.62500445,63.12500505
15.0,-124.79167665,53.12500425
11.0,34.37500275,-24.79166865
20.0,125.20834335,54.37500435
17.0,73.54167255,61.45833825
23.0,118.54167615,36.04166955
45.0,-101.04167475,17.70833475
23.0,52.29167085,53.12500425
10.0,-114.37500915,66.87500535
14.0,99.79167465,53.54167095
17.0,-134.79167745,65.62500525
17.0,106.87500855,52.29167085
17.0,-122.70834315,41.45833665
10.0,3.12500025,51.04167075
21.0,176.45834745,65.20833855
19.0,105.20834175,58.54167135
10.0,-89.79167385,46.04167035
-9999.0,-71.87500575,-46.45833705
-9999.0,-96.87500775,24.79166865
13.0,-76.04167275,46.87500375
33.0,101.45834145,22.70833515
-9999.0,-8.12500065,55.62500445
13.0,-62.70833835,53.54167095
17.0,116.04167595,52.70833755
25.0,-155.62501245,68.54167215
15.0,-90.62500725,64.79167185
-9999.0,135.20834415,-34.79166945
21.0,-1.45833345,47.29167045
27.0,-111.45834225,52.29167085
12.0,-4.79166705,56.45833785
13.0,-103.54167495,64.79167185
22.0,14.37500115,47.70833715
22.0,-77.29167285,39.79166985
30.0,106.04167515,24.79166865
15.0,-121.45834305,51.45833745
-9999.0,-61.04167155,66.87500535
21.0,4.79166705,52.29167085
-9999.0,-82.29167325,26.45833545
17.0,57.70833795,58.54167135
36.0,97.29167445,16.87500135
33.0,38.12500305,45.62500365
15.0,142.29167805,43.12500345
-9999.0,-3.12500025,53.54167095
25.0,25.62500205,46.04167035
24.0,0.625000049999983,48.12500385
-9999.0,160.62501285,-10.20833415
21.0,-112.70834235,55.20833775
18.0,118.54167615,-32.70833595
15.0,-25.20833535,73.54167255
20.0,105.62500845,35.20833615
11.0,-108.54167535,66.04167195
12.0,-110.20834215,63.95833845
16.0,138.95834445,58.54167135
-9999.0,-123.95834325,49.37500395
10.0,-143.54167815,63.95833845
15.0,96.04167435,54.37500435
-9999.0,-23.54166855,69.37500555
-9999.0,-87.70834035,46.87500375
18.0,49.37500395,60.62500485
14.0,172.29168045,67.29167205
-9999.0,125.62501005,12.29166765
20.0,133.95834405,33.95833605
22.0,-83.54167335,53.12500425
29.0,-85.62500685,52.70833755
-9999.0,131.45834385,-11.87500095
20.0,123.95834325,40.20833655
17.0,26.87500215,60.62500485
16.0,-116.45834265,48.95833725
20.0,89.37500715,52.70833755
15.0,103.54167495,74.37500595
18.0,-94.37500755,33.12500265
21.0,90.62500725,44.37500355
-9999.0,-83.54167335,55.62500445
24.0,127.70834355,34.79166945
13.0,137.70834435,66.45833865
20.0,-1.04166675000002,48.12500385
26.0,-98.95834125,52.29167085
20.0,172.29168045,65.20833855
32.0,50.62500405,31.45833585
21.0,114.37500915,45.20833695
32.0,143.95834485,-36.04166955
20.0,94.79167425,33.54166935
34.0,100.62500805,1.87500014999999
22.0,-107.70834195,44.79167025
12.0,150.62501205,61.87500495
14.0,3.95833364999999,50.62500405
18.0,-97.29167445,61.04167155
14.0,-85.62500685,44.37500355
-9999.0,108.95834205,15.20833455
17.0,150.20834535,-34.79166945
19.0,25.20833535,48.54167055
20.0,-117.29167605,41.45833665
19.0,-94.37500755,52.29167085
20.0,-92.70834075,34.79166945
-9999.0,-85.62500685,45.62500365
-9999.0,-88.95834045,63.95833845
-9999.0,81.45833985,16.45833465
-9999.0,106.87500855,-3.12500025
23.0,-92.29167405,31.04166915
14.0,-147.70834515,68.54167215
23.0,-85.62500685,32.70833595
-9999.0,142.29167805,39.79166985
37.0,-91.04167395,16.87500135
10.0,-70.62500565,52.70833755
21.0,93.95834085,50.62500405
18.0,68.95833885,67.29167205
28.0,21.45833505,45.62500365
-9999.0,-164.37501315,66.87500535
-9999.0,141.87501135,46.04167035
37.0,-98.95834125,24.37500195
21.0,8.54166734999998,45.62500365
23.0,-112.29167565,43.54167015
22.0,104.37500835,59.79167145
15.0,94.37500755,53.95833765
16.0,26.87500215,56.45833785
5.0,23.95833525,66.87500535
17.0,-157.70834595,61.04167155
18.0,112.70834235,49.37500395
16.0,-134.37501075,61.04167155
21.0,119.37500955,36.87500295
17.0,36.04166955,58.54167135
14.0,-83.12500665,48.12500385
47.0,-100.20834135,17.70833475
-9999.0,37.29166965,60.20833815
16.0,11.45833425,48.54167055
23.0,-91.87500735,38.95833645
19.0,-87.70834035,36.04166955
22.0,120.20834295,-30.62500245
15.0,-71.87500575,46.04167035
-9999.0,137.70834435,-35.62500285
23.0,133.54167735,48.12500385
19.0,-91.04167395,48.54167055
