ISRICSOILGRIDS_new_average_nitrogen_reduced,x,y
398.0,-55.62500445,48.95833725
386.0,77.70833955,68.95833885
213.0,145.62501165,-7.29166725
323.0,42.70833675,64.37500515
149.0,65.20833855,33.95833605
223.0,-123.95834325,67.70833875
478.0,161.87501295,58.12500465
-9999.0,148.95834525,58.95833805
322.0,135.62501085,47.29167045
236.0,118.54167615,61.87500495
189.0,-105.62500845,38.54166975
574.0,-70.62500565,56.04167115
217.0,103.54167495,59.37500475
-9999.0,48.54167055,69.79167225
204.0,-111.87500895,57.29167125
-9999.0,39.37500315,68.54167215
643.0,-160.20834615,58.95833805
-9999.0,-66.45833865,44.37500355
191.0,-112.70834235,66.04167195
305.0,128.54167695,58.12500465
-9999.0,-46.45833705,62.70833835
239.0,-83.12500665,47.70833715
472.0,57.70833795,64.79167185
178.0,48.12500385,60.62500485
224.0,113.12500905,2.29166685
181.0,138.95834445,34.79166945
-9999.0,21.87500175,77.29167285
181.0,-122.70834315,57.70833795
77.0,-89.37500715,33.54166935
182.0,-93.95834085,46.45833705
212.0,126.45834345,51.87500415
-9999.0,148.54167855,-38.12500305
70.0,-77.70833955,36.04166955
-9999.0,-55.20833775,48.12500385
490.0,98.12500785,25.20833535
241.0,63.54167175,63.54167175
573.0,-160.20834615,60.62500485
266.0,140.62501125,60.20833815
206.0,127.70834355,48.95833725
-9999.0,-73.95833925,63.12500505
109.0,-76.87500615,39.37500315
-9999.0,-82.70833995,27.29166885
212.0,101.87500815,27.29166885
419.0,92.70834075,27.70833555
279.0,21.87500175,67.70833875
315.0,112.70834235,54.37500435
-9999.0,-71.45833905,-41.04166995
128.0,105.62500845,15.62500125
-9999.0,22.29166845,77.29167285
-9999.0,-86.04167355,47.29167045
405.0,38.95833645,57.70833795
67.0,-94.37500755,33.54166935
387.0,123.12500985,51.45833745
796.0,-172.70834715,66.04167195
552.0,-151.45834545,59.37500475
331.0,-122.70834315,66.04167195
137.0,20.20833495,51.45833745
304.0,39.37500315,63.54167175
-9999.0,-26.45833545,71.45833905
211.0,53.12500425,59.79167145
369.0,-146.04167835,62.29167165
174.0,-118.12500945,49.79167065
408.0,138.12501105,48.54167055
-9999.0,43.95833685,66.87500535
267.0,96.87500775,47.70833715
733.0,-143.12501145,69.79167225
-9999.0,-31.87500255,67.70833875
344.0,146.87501175,63.12500505
314.0,55.62500445,54.37500435
165.0,41.04166995,39.79166985
734.0,-163.54167975,64.79167185
117.0,28.95833565,36.87500295
-9999.0,-7.29166725000002,51.87500415
190.0,6.45833385,43.95833685
263.0,-71.04167235,68.54167215
208.0,102.70834155,54.79167105
66.0,-104.79167505,31.45833585
58.0,140.20834455,-33.54166935
-9999.0,4.37500034999999,61.04167155
297.0,98.95834125,71.87500575
-9999.0,28.95833565,41.45833665
103.0,111.45834225,37.29166965
346.0,93.54167415,22.70833515
499.0,142.70834475,-6.04166715000001
402.0,42.29167005,63.54167175
269.0,100.62500805,31.45833585
-9999.0,-56.04167115,47.29167045
-9999.0,132.29167725,-32.29166925
-9999.0,159.37501275,61.45833825
102.0,-101.04167475,29.37500235
756.0,-159.37501275,69.79167225
133.0,111.45834225,27.29166885
108.0,-4.79166705,34.79166945
237.0,51.45833745,58.54167135
428.0,50.20833735,67.70833875
151.0,102.70834155,26.87500215
202.0,-132.29167725,61.87500495
791.0,-158.95834605,69.79167225
-9999.0,-3.12500025,56.04167115
326.0,-75.20833935,47.29167045
216.0,85.20834015,49.37500395
257.0,13.95833445,62.29167165
