BIOCLIM_19,x,y
-9999.0,-73.95833925,-41.45833665
126.0,148.95834525,-31.04166915
326.0,-118.54167615,36.04166955
552.0,99.37500795,1.45833345
-9999.0,123.12500985,-16.45833465
37.0,-159.79167945,66.87500535
52.0,141.04167795,-33.12500265
79.0,-120.62500965,43.95833685
157.0,149.79167865,-34.79166945
32.0,104.79167505,17.70833475
47.0,133.54167735,-30.20833575
-9999.0,137.70834435,-7.70833395
124.0,9.79166744999998,57.29167125
110.0,-110.62500885,32.29166925
-9999.0,159.79167945,-11.04166755
47.0,95.62500765,26.04166875
-9999.0,122.29167645,19.37500155
198.0,-88.12500705,38.95833645
-9999.0,108.54167535,11.04166755
74.0,101.04167475,21.45833505
127.0,133.95834405,-32.29166925
1030.0,112.29167565,1.87500014999999
372.0,103.95834165,-4.79166705
-9999.0,91.87500735,11.45833425
-9999.0,123.54167655,-10.62500085
44.0,-101.45834145,24.79166865
63.0,92.29167405,24.37500195
44.0,99.37500795,15.62500125
295.0,-72.29167245,-46.04167035
25.0,-104.37500835,25.20833535
187.0,0.208333349999975,47.29167045
-9999.0,125.62501005,2.29166685
-9999.0,126.87501015,-8.12500065
144.0,141.87501135,-36.45833625
117.0,149.79167865,-31.04166915
39.0,-97.70834115,17.29166805
969.0,110.20834215,-1.45833345
211.0,-96.45834105,31.04166915
20.0,-98.95834125,18.54166815
48.0,107.70834195,14.79166785
188.0,114.79167585,-27.70833555
-9999.0,99.79167465,6.45833385
284.0,167.29168005,-21.04166835
197.0,165.20834655,-21.45833505
107.0,83.12500665,28.54166895
38.0,-102.70834155,21.45833505
701.0,-73.12500585,-38.54166975
-9999.0,107.29167525,3.95833365
127.0,-109.79167545,33.54166935
778.0,103.54167495,-2.70833355000001
-9999.0,138.54167775,-8.54166735
68.0,101.87500815,21.04166835
18.0,96.04167435,20.20833495
183.0,10.20833415,36.87500295
95.0,-94.79167425,38.95833645
844.0,115.20834255,3.54166694999999
31.0,94.79167425,23.95833525
74.0,136.45834425,-32.29166925
842.0,111.45834225,-1.04166675
76.0,105.62500845,12.70833435
1.0,92.29167405,29.37500235
102.0,151.45834545,-26.87500215
-9999.0,140.20834455,-8.95833405
96.0,150.20834535,-23.12500185
60.0,146.04167835,-18.95833485
621.0,-72.29167245,-43.12500345
832.0,100.62500805,-1.45833345
-9999.0,100.20834135,9.79166744999999
-9999.0,167.70834675,-29.37500235
