ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
48.0,116.87500935,2.70833354999999
-9999.0,106.45834185,-3.54166695000001
117.0,114.79167585,0.208333350000004
-9999.0,133.12501065,-32.70833595
21.0,-100.20834135,23.95833525
35.0,107.70834195,14.37500115
-9999.0,-121.87500975,36.04166955
26.0,130.62501045,-11.45833425
38.0,101.87500815,21.04166835
-9999.0,104.37500835,-6.04166715000001
87.0,-90.62500725,15.62500125
37.0,102.29167485,22.70833515
-9999.0,107.70834195,0.208333350000004
82.0,143.12501145,-3.95833365
46.0,106.04167515,20.62500165
92.0,143.12501145,-5.62500045
-9999.0,105.62500845,51.87500415
-9999.0,137.29167765,-16.04166795
-9999.0,115.20834255,-32.70833595
83.0,16.45833465,57.70833795
19.0,-6.87500055000001,38.95833645
19.0,-101.87500815,29.79166905
-9999.0,73.54167255,15.62500125
-9999.0,-100.20834135,16.87500135
-9999.0,100.62500805,13.12500105
127.0,-66.45833865,-54.79167105
25.0,-91.04167395,38.95833645
42.0,164.79167985,-20.62500165
-9999.0,115.62500925,-7.29166725
-9999.0,115.62500925,6.45833385
-9999.0,127.70834355,-7.70833395
-9999.0,129.79167705,-11.45833425
-9999.0,107.70834195,-3.54166695000001
111.0,151.04167875,-8.54166735
118.0,-74.79167265,-45.62500365
96.0,106.04167515,-1.87500015000001
22.0,151.45834545,-27.29166885
158.0,-72.70833915,-44.37500355
34.0,151.45834545,-31.45833585
167.0,97.70834115,3.54166694999999
79.0,113.12500905,1.45833345
31.0,-4.79166705,38.12500305
40.0,104.79167505,25.20833535
0.0,-99.37500795,17.70833475
26.0,-93.95834085,38.95833645
101.0,96.87500775,4.37500034999999
23.0,-95.20834095,36.04166955
43.0,126.45834345,-7.70833395
54.0,106.87500855,15.20833455
10.0,-111.04167555,36.04166955
-9999.0,7.70833395,37.29166965
22.0,0.625000049999983,41.45833665
154.0,103.12500825,-4.37500035000001
17.0,123.54167655,-10.20833415
-9999.0,104.79167505,-6.45833385
98.0,106.45834185,14.37500115
190.0,17.29166805,58.95833805
5.0,-106.45834185,27.70833555
-9999.0,-72.70833915,-50.20833735
-9999.0,108.95834205,21.04166835
25.0,-99.79167465,23.95833525
73.0,166.87501335,-15.62500125
18.0,-118.12500945,42.70833675
23.0,98.95834125,20.20833495
19.0,141.87501135,-16.04166795
-9999.0,79.37500635,8.12500065
-9999.0,145.62501165,-40.62500325
40.0,143.95834485,-33.54166935
-9999.0,138.12501105,34.37500275
-9999.0,143.12501145,-11.45833425
-9999.0,128.12501025,-32.29166925
31.0,-88.95834045,31.04166915
29.0,106.87500855,23.12500185
27.0,97.29167445,31.04166915
-9999.0,18.54166815,58.12500465
225.0,111.45834225,1.87500014999999
66.0,101.45834145,-2.70833355000001
-9999.0,129.79167705,-7.29166725
69.0,116.04167595,4.37500034999999
16.0,149.37501195,-32.29166925
68.0,116.04167595,3.54166694999999
-9999.0,27.70833555,36.45833625
17.0,-87.70834035,33.12500265
26.0,-98.54167455,30.20833575
-9999.0,166.87501335,-20.62500165
40.0,142.29167805,-7.70833395
20.0,-96.45834105,31.04166915
29.0,150.62501205,-33.54166935
38.0,141.87501135,-35.62500285
12.0,140.20834455,-34.37500275
15.0,-103.54167495,20.62500165
9.0,-90.20834055,14.79166785
27.0,-111.87500895,46.45833705
43.0,116.45834265,23.12500185
308.0,108.95834205,0.625000049999997
21.0,118.12500945,-29.79166905
13.0,141.45834465,-33.12500265
-9999.0,124.79167665,13.12500105
44.0,115.62500925,-3.12500025
-9999.0,131.87501055,-5.20833375000001
0.0,96.87500775,20.20833495
14.0,141.04167795,-32.70833595
22.0,144.37501155,-32.70833595
-9999.0,128.54167695,27.70833555
-9999.0,118.95834285,-8.95833405
51.0,-71.04167235,-42.29167005
2.0,-107.70834195,28.95833565
71.0,103.54167495,-3.95833365
