GTOPO30_ASPECT_reduced,x,y
101.0,-105.62500845,32.70833595
207.0,119.37500955,-31.04166915
-9999.0,107.29167525,20.62500165
183.0,-68.54167215,46.45833705
277.0,-1.04166675000002,40.20833655
2.0,105.62500845,33.95833605
322.0,151.04167875,-27.70833555
327.0,-111.04167555,33.54166935
284.0,24.79166865,41.04166995
93.0,116.45834265,-1.04166675
-9999.0,105.62500845,10.62500085
-9999.0,122.70834315,24.37500195
50.0,104.79167505,29.79166905
-9999.0,132.70834395,-4.37500035000001
10.0,11.45833425,44.37500355
38.0,23.54166855,51.87500415
63.0,-105.20834175,24.37500195
-9999.0,120.62500965,-5.20833375000001
352.0,-99.79167465,23.95833525
111.0,-7.29166725000002,37.70833635
-9999.0,107.70834195,0.208333350000004
117.0,143.12501145,-35.62500285
-9999.0,-96.87500775,21.04166835
75.0,-87.29167365,38.12500305
-9999.0,-109.79167545,23.95833525
-9999.0,7.70833395,57.70833795
108.0,-97.29167445,17.29166805
144.0,-79.37500635,33.12500265
216.0,113.12500905,-0.208333350000004
215.0,-109.79167545,32.29166925
12.0,116.87500935,2.29166685
230.0,-106.45834185,24.37500195
354.0,6.45833385,48.95833725
326.0,176.87501415,-39.79166985
16.0,120.62500965,-33.12500265
104.0,-5.20833375000001,38.95833645
-9999.0,119.37500955,5.62500045
180.0,-100.20834135,27.29166885
238.0,108.12500865,12.70833435
90.0,-107.70834195,26.04166875
211.0,-113.12500905,36.87500295
-9999.0,32.29166925,35.20833615
120.0,-103.12500825,22.70833515
256.0,118.12500945,-31.45833585
-9999.0,121.87500975,-33.95833605
-9999.0,-72.70833915,-51.87500415
-9999.0,118.95834285,-5.62500045
160.0,12.70833435,52.29167085
256.0,-108.95834205,29.79166905
-9999.0,104.79167505,-5.62500045
72.0,139.79167785,-31.04166915
-9999.0,118.12500945,3.95833365
13.0,93.54167415,21.04166835
271.0,8.54166734999998,39.37500315
127.0,142.70834475,-34.79166945
-9999.0,113.95834245,-27.29166885
199.0,-72.70833915,-51.04167075
-9999.0,103.12500825,10.62500085
157.0,-100.20834135,24.37500195
-9999.0,103.12500825,-4.79166705
159.0,119.79167625,-32.70833595
284.0,-97.29167445,16.87500135
-9999.0,121.45834305,10.62500085
140.0,138.95834445,-30.62500245
117.0,-96.45834105,40.62500325
44.0,117.29167605,26.45833545
-9999.0,100.62500805,4.79166705
73.0,4.37500034999999,50.20833735
108.0,100.20834135,16.04166795
121.0,118.12500945,-32.70833595
49.0,-108.54167535,33.95833605
296.0,-5.20833375000001,40.62500325
339.0,109.37500875,18.95833485
3.0,28.54166895,50.62500405
-9999.0,-79.79167305,27.70833555
81.0,-109.37500875,30.62500245
183.0,118.95834285,-34.37500275
-9999.0,108.54167535,-3.12500025
183.0,105.62500845,36.04166955
123.0,123.54167655,13.12500105
116.0,-99.79167465,20.62500165
2.0,18.12500145,47.70833715
238.0,9.37500075,63.12500505
343.0,-96.04167435,51.04167075
259.0,33.95833605,53.54167095
283.0,109.37500875,22.29166845
-9999.0,108.54167535,21.45833505
-9999.0,23.54166855,58.54167135
242.0,33.95833605,55.20833775
294.0,111.87500895,23.54166855
294.0,106.87500855,14.37500115
333.0,116.04167595,-33.54166935
3.0,112.70834235,24.37500195
238.0,-98.95834125,19.37500155
303.0,120.20834295,27.70833555
313.0,11.87500095,42.29167005
86.0,-106.45834185,27.29166885
-9999.0,14.37500115,38.54166975
151.0,133.12501065,-31.87500255
-9999.0,105.62500845,-3.12500025
346.0,-103.12500825,23.12500185
225.0,-83.54167335,30.20833575
-9999.0,-1.45833345,50.62500405
260.0,150.20834535,-29.37500235
-9999.0,106.45834185,3.54166694999999
0.0,-2.29166685000001,41.04166995
341.0,-71.87500575,-34.79166945
-9999.0,139.79167785,-16.45833465
279.0,114.79167585,-28.54166895
54.0,2.70833354999999,50.20833735
87.0,-108.12500865,27.29166885
135.0,140.20834455,37.29166965
334.0,116.87500935,-30.62500245
203.0,111.87500895,37.29166965
114.0,-100.62500805,17.70833475
-9999.0,97.70834115,11.45833425
-9999.0,120.62500965,-8.95833405
-9999.0,98.95834125,6.45833385
-9999.0,-81.04167315,31.45833585
126.0,-101.04167475,23.12500185
-9999.0,-81.45833985,31.04166915
117.0,112.29167565,-7.29166725
301.0,116.04167595,-30.62500245
288.0,26.87500215,51.45833745
-9999.0,-123.12500985,38.12500305
195.0,31.04166915,40.62500325
0.0,143.12501145,-34.79166945
159.0,-96.04167435,42.29167005
230.0,29.37500235,39.79166985
-9999.0,-80.62500645,31.87500255
315.0,151.04167875,-23.54166855
317.0,121.45834305,23.54166855
289.0,-108.12500865,36.87500295
349.0,115.62500925,1.04166675
119.0,118.12500945,-29.37500235
-9999.0,106.45834185,3.12500025
267.0,-97.70834115,20.20833495
-9999.0,26.04166875,37.70833635
184.0,-102.70834155,21.04166835
95.0,144.37501155,-31.45833585
265.0,26.87500215,39.37500315
167.0,92.29167405,24.79166865
355.0,141.45834465,-36.87500295
153.0,96.45834105,26.04166875
18.0,141.87501135,-34.37500275
244.0,123.12500985,-33.54166935
42.0,-122.29167645,38.95833645
-9999.0,16.87500135,39.79166985
-9999.0,120.62500965,6.04166714999999
218.0,-88.54167375,14.37500115
153.0,132.29167725,-30.62500245
-9999.0,98.12500785,9.37500075
219.0,24.79166865,45.20833695
265.0,46.04167035,34.37500275
10.0,116.87500935,3.54166694999999
226.0,-108.95834205,27.70833555
-9999.0,126.04167675,-13.54166775
186.0,0.625000049999983,52.70833755
256.0,150.20834535,-31.87500255
0.0,144.37501155,-4.37500035000001
322.0,120.62500965,23.54166855
153.0,151.04167875,-31.04166915
254.0,146.87501175,-34.79166945
224.0,108.12500865,21.87500175
355.0,18.12500145,40.20833655
268.0,-108.95834205,30.62500245
192.0,120.20834295,-1.45833345
247.0,140.62501125,-36.04166955
299.0,149.37501195,-37.29166965
223.0,-105.20834175,25.20833535
-9999.0,122.70834315,-0.625000049999997
181.0,114.37500915,23.95833525
194.0,36.87500295,58.54167135
-9999.0,-1.04166675000002,55.62500445
159.0,38.54166975,54.79167105
45.0,120.20834295,-30.20833575
14.0,8.12500064999998,48.54167055
209.0,-100.62500805,20.62500165
166.0,23.54166855,45.20833695
33.0,117.29167605,6.04166714999999
96.0,-98.54167455,17.29166805
145.0,121.45834305,29.37500235
90.0,116.45834265,-30.62500245
303.0,123.54167655,-10.20833415
-9999.0,123.54167655,-6.04166715000001
131.0,143.12501145,-36.45833625
146.0,3.95833364999999,46.04167035
328.0,151.04167875,-26.04166875
270.0,100.62500805,5.20833374999999
275.0,-80.20833975,33.54166935
96.0,-102.29167485,26.45833545
-9999.0,121.45834305,22.70833515
56.0,108.54167535,40.62500325
145.0,-101.04167475,18.54166815
279.0,98.54167455,17.29166805
252.0,151.04167875,-33.95833605
54.0,-86.04167355,46.04167035
65.0,-101.04167475,26.04166875
-9999.0,-73.95833925,-43.95833685
241.0,-109.79167545,29.79166905
319.0,-4.79166705,35.20833615
-9999.0,130.20834375,-7.70833395
-9999.0,120.62500965,-1.87500015000001
-9999.0,26.04166875,38.12500305
-9999.0,-110.20834215,24.79166865
307.0,106.04167515,40.62500325
22.0,104.37500835,10.62500085
83.0,150.62501205,-34.37500275
-9999.0,104.79167505,10.20833415
168.0,14.79166785,47.70833715
200.0,111.04167555,23.54166855
77.0,-99.79167465,17.70833475
115.0,21.87500175,38.95833645
190.0,-108.54167535,33.12500265
-9999.0,122.29167645,-31.45833585
-9999.0,-87.70834035,29.79166905
122.0,-100.62500805,29.37500235
300.0,152.29167885,-28.12500225
198.0,142.29167805,-33.12500265
37.0,-102.29167485,25.62500205
-9999.0,1.04166674999999,50.20833735
23.0,8.54166734999998,48.95833725
50.0,21.87500175,36.87500295
190.0,3.95833364999999,49.79167065
241.0,149.37501195,-35.20833615
208.0,149.79167865,-31.87500255
174.0,23.95833525,41.04166995
65.0,-83.54167335,47.29167045
-9999.0,13.95833445,38.12500305
195.0,145.62501165,-6.87500055
155.0,-99.37500795,30.20833575
-9999.0,100.20834135,13.95833445
233.0,109.37500875,24.37500195
317.0,-99.79167465,19.37500155
-9999.0,109.37500875,13.95833445
218.0,45.62500365,35.62500285
-9999.0,100.62500805,7.29166725
206.0,-103.95834165,23.12500185
5.0,37.70833635,55.62500445
245.0,43.54167015,58.54167135
224.0,149.37501195,-36.87500295
-9999.0,119.79167625,5.62500045
-9999.0,12.70833435,38.12500305
230.0,-107.70834195,31.04166915
170.0,113.95834245,1.04166675
-9999.0,-109.79167545,24.37500195
59.0,2.70833354999999,46.45833705
190.0,96.87500775,3.95833365
-9999.0,17.70833475,39.79166985
257.0,92.29167405,21.45833505
-9999.0,103.54167495,-5.62500045
275.0,-121.45834305,38.54166975
-9999.0,101.04167475,-3.12500025
351.0,-101.87500815,21.87500175
352.0,8.12500064999998,51.45833745
-9999.0,97.70834115,9.37500075
-9999.0,121.87500975,40.62500325
278.0,116.87500935,-31.87500255
227.0,29.79166905,39.79166985
-9999.0,90.62500725,22.29166845
191.0,-104.37500835,28.12500225
90.0,123.12500985,-16.87500135
108.0,-102.70834155,18.54166815
-9999.0,117.70834275,-35.62500285
-9999.0,119.37500955,-8.54166735
221.0,116.45834265,-34.37500275
315.0,143.54167815,-32.29166925
-9999.0,9.79166744999998,43.95833685
288.0,140.20834455,-30.20833575
255.0,143.12501145,-33.95833605
58.0,16.87500135,39.37500315
98.0,-103.12500825,21.45833505
-9999.0,105.62500845,11.04166755
147.0,43.95833685,52.29167085
-9999.0,139.79167785,-7.29166725
113.0,141.87501135,-31.87500255
150.0,123.12500985,-30.20833575
