ISRICSOILGRIDS_new_average_claypercent_reduced,x,y
-9999.0,121.87500975,28.12500225
33.0,27.70833555,41.04166995
27.0,105.62500845,21.45833505
34.0,96.45834105,4.79166705
46.0,-99.37500795,18.12500145
16.0,149.37501195,-37.70833635
-9999.0,122.70834315,-33.95833605
49.0,-102.70834155,18.95833485
26.0,141.04167795,-34.79166945
-9999.0,119.37500955,-36.04166955
18.0,133.54167735,-30.62500245
-9999.0,144.37501155,-3.54166695000001
26.0,121.87500975,-32.70833595
37.0,100.62500805,1.45833345
19.0,133.12501065,-11.87500095
18.0,2.70833354999999,46.04167035
32.0,118.12500945,1.45833345
-9999.0,5.20833374999998,43.12500345
7.0,20.62500165,53.54167095
32.0,-82.70833995,22.70833515
-9999.0,23.95833525,40.20833655
-9999.0,143.95834485,-14.37500115
17.0,6.87500054999998,44.37500355
-9999.0,-80.62500645,29.79166905
33.0,105.62500845,18.12500145
27.0,43.12500345,53.12500425
20.0,-107.70834195,33.95833605
22.0,141.04167795,-35.20833615
45.0,-101.45834145,19.79166825
25.0,-2.29166685000001,37.70833635
-9999.0,113.54167575,-27.29166885
-9999.0,136.87501095,-11.04166755
26.0,109.79167545,21.45833505
-9999.0,93.95834085,16.45833465
30.0,145.20834495,-18.54166815
20.0,120.62500965,-31.87500255
27.0,102.29167485,1.45833345
10.0,9.37500075,63.12500505
28.0,112.29167565,24.79166865
21.0,-108.12500865,36.87500295
11.0,-81.04167315,46.04167035
27.0,110.20834215,24.37500195
39.0,-100.20834135,26.87500215
45.0,-98.95834125,18.54166815
20.0,148.12501185,-40.20833655
-9999.0,-79.79167305,44.79167025
-9999.0,17.70833475,40.20833655
-9999.0,129.37501035,29.79166905
-9999.0,109.79167545,18.12500145
16.0,-68.54167215,47.70833715
22.0,-68.12500545,-54.37500435
21.0,119.37500955,-30.62500245
27.0,44.79167025,53.12500425
23.0,130.20834375,-14.79166785
26.0,-1.45833345,51.45833745
-9999.0,-105.62500845,21.04166835
32.0,93.54167415,23.95833525
44.0,-99.37500795,20.20833495
25.0,108.54167535,22.29166845
36.0,97.29167445,16.87500135
14.0,28.95833565,51.04167075
29.0,142.70834475,-37.70833635
20.0,115.20834255,-30.62500245
23.0,143.12501145,-35.20833615
36.0,150.20834535,-31.04166915
26.0,141.45834465,-36.04166955
31.0,101.04167475,18.54166815
56.0,-110.62500885,31.04166915
25.0,151.45834545,-32.70833595
46.0,-101.45834145,24.79166865
-9999.0,124.37500995,-33.12500265
34.0,143.12501145,-8.12500065
47.0,-108.54167535,29.79166905
41.0,-100.62500805,17.70833475
35.0,134.79167745,-1.04166675
30.0,146.04167835,-33.54166935
30.0,-4.79166705,35.20833615
19.0,36.45833625,58.12500465
-9999.0,107.70834195,3.95833365
52.0,-106.45834185,28.54166895
23.0,20.20833495,48.54167055
26.0,113.95834245,22.70833515
34.0,-92.29167405,15.62500125
36.0,35.20833615,32.70833595
-9999.0,106.45834185,3.12500025
20.0,135.62501085,-33.12500265
34.0,-96.45834105,37.70833635
22.0,-4.79166705,38.95833645
43.0,-102.29167485,27.70833555
16.0,136.87501095,36.04166955
21.0,116.45834265,-30.20833575
28.0,111.45834225,27.70833555
-9999.0,143.12501145,-3.12500025
-9999.0,123.54167655,1.04166675
29.0,146.04167835,-38.12500305
-9999.0,20.62500165,57.29167125
18.0,23.12500185,56.87500455
32.0,98.12500785,24.37500195
-9999.0,115.20834255,-7.29166725
22.0,118.54167615,-29.37500235
38.0,150.20834535,-29.37500235
-9999.0,3.12500025,40.20833655
35.0,121.87500975,-1.45833345
31.0,164.79167985,-20.62500165
37.0,109.79167545,1.45833345
32.0,-110.62500885,33.95833605
23.0,-113.12500905,35.20833615
-9999.0,23.95833525,40.62500325
18.0,-88.95834045,36.45833625
29.0,-101.04167475,33.54166935
30.0,105.62500845,13.54166775
-9999.0,104.79167505,-2.29166685
36.0,96.87500775,3.95833365
10.0,21.87500175,53.12500425
12.0,-83.54167335,31.04166915
20.0,118.12500945,-33.12500265
22.0,120.20834295,-31.04166915
-9999.0,14.37500115,38.12500305
38.0,106.04167515,9.79166744999999
21.0,141.87501135,-32.70833595
3.0,-83.54167335,30.20833575
25.0,115.20834255,27.29166885
29.0,104.37500835,18.95833485
-9999.0,118.95834285,1.04166675
15.0,36.45833625,54.37500435
36.0,-99.37500795,23.12500185
37.0,-98.12500785,23.12500185
19.0,121.45834305,-30.20833575
26.0,110.62500885,23.95833525
30.0,-96.87500775,30.20833575
-9999.0,131.04167715,-1.45833345
22.0,132.29167725,-30.62500245
26.0,10.20833415,49.37500395
17.0,36.45833625,53.54167095
28.0,-108.95834205,33.12500265
43.0,-108.54167535,30.20833575
21.0,4.37500034999999,50.20833735
37.0,-101.87500815,27.29166885
-9999.0,121.87500975,0.208333350000004
24.0,-8.54166735000001,39.37500315
35.0,93.12500745,21.45833505
45.0,-102.70834155,18.54166815
22.0,151.04167875,-28.95833565
-9999.0,119.37500955,11.45833425
34.0,-110.20834215,31.87500255
28.0,6.45833385,36.87500295
-9999.0,115.20834255,5.20833374999999
-9999.0,121.87500975,-0.208333350000004
-9999.0,-3.54166695000001,36.45833625
21.0,37.70833635,59.79167145
48.0,-102.70834155,21.45833505
19.0,173.12501385,-34.79166945
26.0,104.79167505,29.79166905
11.0,-6.45833385,62.29167165
40.0,-101.04167475,25.62500205
-9999.0,116.45834265,-8.12500065
21.0,-6.45833385,38.12500305
22.0,45.62500365,53.95833765
-9999.0,110.20834215,18.54166815
-9999.0,99.79167465,-0.625000049999997
27.0,143.54167815,-33.12500265
27.0,108.95834205,23.12500185
13.0,-6.87500055000001,61.87500495
29.0,139.79167785,-7.29166725
-9999.0,104.37500835,8.54166735
33.0,113.95834245,-8.54166735
11.0,9.37500075,55.20833775
19.0,116.87500935,-32.29166925
-9999.0,130.20834375,31.04166915
56.0,-107.29167525,30.20833575
31.0,11.87500095,42.70833675
-9999.0,160.20834615,-10.20833415
26.0,118.95834285,27.70833555
17.0,115.20834255,-28.95833565
-9999.0,122.70834315,0.208333350000004
-9999.0,139.79167785,-1.87500015000001
26.0,151.45834545,-25.20833535
26.0,111.04167555,26.04166875
-9999.0,21.45833505,36.87500295
-9999.0,-82.70833995,23.12500185
27.0,4.79166705,48.12500385
32.0,101.04167475,17.29166805
28.0,118.95834285,27.29166885
2.0,-81.04167315,28.12500225
28.0,100.62500805,15.62500125
36.0,-103.95834165,30.62500245
15.0,42.70833675,56.45833785
32.0,103.12500825,20.20833495
-9999.0,-109.37500875,23.54166855
-9999.0,118.54167615,24.37500195
34.0,152.29167885,-27.70833555
35.0,14.37500115,37.70833635
34.0,101.87500815,0.625000049999997
-9999.0,8.54166734999998,54.79167105
20.0,-96.45834105,31.45833585
-9999.0,105.20834175,8.54166735
33.0,117.70834275,5.62500045
34.0,113.95834245,0.208333350000004
14.0,99.79167465,31.04166915
-9999.0,-3.12500025,48.95833725
16.0,30.62500245,51.45833745
31.0,151.45834545,-24.79166865
29.0,-119.79167625,33.95833605
46.0,-108.12500865,31.04166915
25.0,118.54167615,32.29166925
40.0,146.04167835,-35.62500285
-9999.0,-75.20833935,37.29166965
37.0,101.45834145,-0.625000049999997
30.0,164.37501315,-20.62500165
-9999.0,118.54167615,-3.54166695000001
24.0,140.62501125,-35.62500285
14.0,116.45834265,-31.45833585
13.0,-109.79167545,38.54166975
29.0,92.70834075,25.62500205
