ISRICSOILGRIDS_new_average_sandpercent_reduced,x,y
41.0,-81.04167315,46.45833705
50.0,23.12500185,56.87500455
57.0,147.70834515,-34.79166945
-9999.0,134.79167745,-11.45833425
29.0,-104.37500835,22.70833515
48.0,-68.54167215,46.45833705
24.0,105.62500845,9.79166744999999
34.0,36.04166955,36.04166955
32.0,120.20834295,29.37500235
-9999.0,109.79167545,2.29166685
38.0,96.04167435,5.20833374999999
24.0,-105.62500845,25.62500205
67.0,151.04167875,-28.12500225
18.0,-96.04167435,42.29167005
33.0,96.45834105,3.95833365
67.0,29.37500235,51.87500415
38.0,100.62500805,-1.04166675
-9999.0,-87.70834035,29.79166905
20.0,37.70833635,52.29167085
-9999.0,93.54167415,8.12500065
-9999.0,106.45834185,-1.87500015000001
49.0,47.29167045,56.45833785
40.0,26.04166875,42.70833675
-9999.0,113.54167575,4.37500034999999
36.0,113.54167575,24.37500195
-9999.0,-3.54166695000001,54.37500435
36.0,9.37500075,45.20833695
32.0,5.20833374999998,43.95833685
66.0,123.12500985,-30.20833575
56.0,42.70833675,56.45833785
50.0,-77.70833955,46.04167035
-9999.0,100.20834135,4.79166705
49.0,100.62500805,15.62500125
41.0,28.95833565,40.62500325
-9999.0,100.62500805,3.95833365
36.0,94.37500755,23.54166855
-9999.0,133.12501065,-2.29166685
77.0,-82.29167325,28.95833565
44.0,107.29167525,13.54166775
30.0,41.87500335,38.12500305
40.0,-73.54167255,5.62500045
37.0,-92.70834075,16.87500135
-9999.0,151.04167875,-8.12500065
34.0,-103.54167495,30.20833575
64.0,-80.62500645,28.54166895
21.0,-110.62500885,30.20833575
46.0,142.29167805,-8.95833405
37.0,121.04167635,23.95833525
-9999.0,-69.79167225,47.70833715
34.0,103.12500825,21.45833505
57.0,146.45834505,-34.79166945
51.0,148.95834525,-31.04166915
42.0,-110.20834215,31.45833585
30.0,-93.95834085,34.79166945
-9999.0,115.62500925,-8.95833405
45.0,116.87500935,3.95833365
23.0,4.79166705,50.20833735
71.0,116.87500935,-33.12500265
24.0,-102.29167485,25.62500205
32.0,48.54167055,37.70833635
28.0,-106.87500855,26.04166875
66.0,123.54167655,-31.04166915
48.0,151.04167875,-31.87500255
-9999.0,11.87500095,41.87500335
29.0,113.12500905,27.70833555
35.0,107.70834195,36.87500295
-9999.0,8.54166734999998,54.79167105
78.0,-81.87500655,28.95833565
28.0,-106.87500855,31.45833585
72.0,129.79167705,-27.70833555
41.0,-3.95833365000001,38.95833645
68.0,150.20834535,-34.37500275
36.0,92.70834075,26.87500215
-9999.0,21.45833505,63.54167175
48.0,123.12500985,0.625000049999997
25.0,-105.20834175,20.20833495
28.0,-106.04167515,24.79166865
40.0,101.45834145,4.37500034999999
-9999.0,114.79167585,5.20833374999999
-9999.0,131.04167715,-1.45833345
61.0,23.12500185,52.29167085
42.0,117.70834275,2.70833354999999
29.0,86.87500695,20.62500165
40.0,96.45834105,4.79166705
26.0,-108.95834205,30.62500245
44.0,109.79167545,20.62500165
-9999.0,120.62500965,-3.95833365
38.0,98.95834125,1.45833345
-9999.0,119.37500955,-0.208333350000004
51.0,37.29166965,58.54167135
-9999.0,23.95833525,40.20833655
69.0,114.37500915,-28.12500225
40.0,21.87500175,38.54166975
41.0,120.20834295,-4.37500035000001
34.0,8.95833404999999,39.79166985
27.0,35.62500285,53.12500425
-9999.0,145.62501165,-14.79166785
33.0,28.95833565,38.95833645
32.0,-99.79167465,23.12500185
-9999.0,0.625000049999983,53.54167095
40.0,-112.70834235,34.79166945
65.0,122.70834315,-32.70833595
-9999.0,26.04166875,39.37500315
63.0,139.37501115,-34.37500275
61.0,145.20834495,-32.70833595
55.0,16.87500135,62.70833835
42.0,117.70834275,0.625000049999997
67.0,143.54167815,-34.79166945
25.0,-105.62500845,26.04166875
-9999.0,123.54167655,1.04166675
43.0,115.62500925,23.12500185
33.0,94.79167425,23.95833525
-9999.0,-4.37500035000002,43.95833685
-9999.0,130.62501045,-11.04166755
79.0,-82.29167325,30.62500245
29.0,-99.37500795,18.12500145
