soiltype_mostprobable,x,y
255.0,112.70834235,-6.87500055
18.0,121.04167635,-30.62500245
18.0,104.37500835,23.54166855
255.0,108.95834205,-1.87500015000001
14.0,102.29167485,1.45833345
3.0,98.54167455,3.12500025
1.0,21.45833505,51.87500415
6.0,-82.29167325,28.12500225
18.0,35.20833615,33.12500265
16.0,-99.37500795,23.54166855
255.0,133.54167735,-32.70833595
0.0,108.12500865,22.70833515
1.0,36.87500295,54.79167105
18.0,21.45833505,38.12500305
20.0,-101.87500815,21.04166835
6.0,4.79166705,50.20833735
23.0,-81.04167315,46.04167035
16.0,93.95834085,20.62500165
14.0,98.95834125,1.45833345
16.0,-100.20834135,23.95833525
14.0,137.70834435,-5.20833375000001
255.0,150.20834535,-36.45833625
0.0,117.70834275,28.54166895
29.0,151.87501215,-26.45833545
0.0,-80.62500645,34.37500275
6.0,9.37500075,45.20833695
16.0,-109.79167545,29.79166905
18.0,-113.12500905,35.20833615
18.0,117.29167605,-32.29166925
255.0,97.70834115,11.04166755
6.0,110.62500885,21.45833505
10.0,95.62500765,4.79166705
11.0,105.20834175,9.37500075
29.0,-81.87500655,27.29166885
255.0,11.04166755,56.45833785
255.0,101.45834145,-3.12500025
6.0,149.79167865,-33.95833605
255.0,5.20833374999998,43.12500345
255.0,136.87501095,-11.45833425
3.0,-76.04167275,2.70833354999999
10.0,101.87500815,4.37500034999999
255.0,143.54167815,51.87500415
6.0,114.79167585,-26.87500215
0.0,-85.20834015,30.20833575
18.0,115.62500925,39.79166985
0.0,-81.45833985,31.45833585
6.0,-3.12500025,41.87500335
11.0,100.20834135,13.95833445
29.0,-95.20834095,29.37500235
255.0,119.37500955,5.20833374999999
18.0,29.37500235,36.45833625
255.0,4.79166705,43.12500345
19.0,112.29167565,-0.208333350000004
15.0,-123.12500985,38.95833645
10.0,115.62500925,-3.12500025
255.0,17.29166805,69.79167225
255.0,8.12500064999998,41.87500335
16.0,-110.62500885,33.12500265
11.0,121.45834305,29.37500235
255.0,173.95834725,-34.79166945
6.0,8.12500064999998,51.04167075
18.0,135.20834415,-32.70833595
18.0,151.87501215,-25.62500205
0.0,111.04167555,24.37500195
4.0,136.87501095,-30.20833575
18.0,0.208333349999975,47.29167045
5.0,-101.04167475,25.62500205
4.0,118.12500945,-31.87500255
6.0,16.87500135,43.12500345
18.0,147.70834515,-33.54166935
6.0,25.20833535,41.45833665
0.0,99.79167465,22.70833515
0.0,-83.12500665,22.70833515
255.0,110.62500885,18.95833485
255.0,9.79166744999998,40.20833655
255.0,92.70834075,19.79166825
0.0,111.45834225,23.95833525
0.0,96.04167435,23.12500185
0.0,114.37500915,23.95833525
18.0,-121.04167635,38.95833645
6.0,-123.54167655,41.45833665
255.0,92.29167405,20.62500165
0.0,103.54167495,10.62500085
6.0,114.37500915,1.04166675
255.0,165.62501325,-21.04166835
0.0,-77.70833955,38.12500305
18.0,146.87501175,-33.95833605
0.0,112.29167565,26.45833545
18.0,-104.37500835,20.20833495
255.0,104.37500835,8.54166735
255.0,93.95834085,8.54166735
255.0,109.37500875,13.12500105
255.0,118.12500945,0.625000049999997
20.0,-100.20834135,20.20833495
6.0,121.04167635,23.12500185
18.0,-0.625000050000011,48.12500385
255.0,136.45834425,-11.45833425
16.0,-99.37500795,23.95833525
23.0,16.87500135,62.70833835
24.0,-105.20834175,24.79166865
255.0,19.37500155,41.04166995
255.0,167.70834675,-28.95833565
0.0,-85.20834015,29.79166905
255.0,126.45834345,33.95833605
6.0,107.29167525,14.37500115
6.0,138.54167775,-31.04166915
0.0,-83.12500665,29.37500235
18.0,130.20834375,-15.62500125
1.0,29.37500235,51.45833745
15.0,55.20833775,50.62500405
29.0,142.70834475,-34.37500275
18.0,-112.70834235,35.20833615
6.0,28.95833565,38.95833645
6.0,130.62501045,-26.87500215
0.0,120.20834295,28.12500225
20.0,-100.20834135,22.70833515
0.0,118.54167615,27.70833555
6.0,141.87501135,-32.70833595
18.0,149.79167865,-33.12500265
6.0,116.45834265,-29.79166905
255.0,14.37500115,38.12500305
6.0,3.54166694999998,47.29167045
1.0,30.62500245,51.87500415
18.0,-108.12500865,32.70833595
16.0,-108.95834205,28.54166895
24.0,-106.45834185,27.70833555
255.0,136.87501095,-11.04166755
4.0,117.70834275,-32.29166925
6.0,-83.12500665,51.04167075
23.0,-86.04167355,46.04167035
24.0,-110.20834215,32.29166925
0.0,-81.45833985,28.95833565
20.0,46.45833705,54.37500435
6.0,106.87500855,14.37500115
6.0,16.04166795,43.54167015
255.0,121.45834305,-8.95833405
255.0,166.45834665,-21.45833505
16.0,-100.62500805,25.62500205
4.0,130.62501045,-29.79166905
0.0,105.62500845,20.62500165
16.0,-108.95834205,28.12500225
18.0,-98.95834125,30.20833575
255.0,134.79167745,-1.04166675
29.0,151.45834545,-27.29166885
0.0,120.62500965,28.95833565
6.0,3.54166694999998,43.95833685
18.0,0.625000049999983,52.70833755
18.0,138.54167775,-32.70833595
6.0,31.45833585,37.29166965
0.0,112.29167565,26.04166875
0.0,-77.29167285,36.04166955
10.0,101.45834145,4.79166705
6.0,1.45833345,43.12500345
10.0,113.12500905,-0.208333350000004
15.0,-118.12500945,34.37500275
255.0,120.62500965,-8.95833405
14.0,143.54167815,-3.95833365
24.0,-102.29167485,29.37500235
6.0,47.29167045,53.95833765
0.0,120.20834295,23.54166855
255.0,129.37501035,29.79166905
18.0,-110.62500885,32.29166925
24.0,-107.70834195,27.70833555
255.0,102.29167485,12.29166765
15.0,-101.04167475,33.54166935
6.0,104.37500835,20.20833495
6.0,9.37500075,51.87500415
255.0,88.95834045,21.45833505
255.0,106.04167515,-6.87500055
6.0,109.79167545,20.62500165
5.0,-112.70834235,36.87500295
4.0,143.95834485,-33.54166935
24.0,-106.45834185,25.20833535
255.0,26.04166875,40.20833655
10.0,97.70834115,4.37500034999999
6.0,26.45833545,41.87500335
14.0,101.45834145,1.04166675
6.0,29.37500235,36.87500295
255.0,121.04167635,9.37500075
4.0,130.20834375,-15.20833455
16.0,-99.37500795,18.54166815
255.0,106.87500855,17.70833475
255.0,101.04167475,-3.12500025
18.0,-121.45834305,38.54166975
255.0,109.37500875,13.54166775
4.0,116.87500935,-30.62500245
6.0,30.62500245,59.79167145
12.0,139.37501115,-16.45833465
23.0,13.12500105,58.12500465
6.0,114.37500915,-26.87500215
255.0,99.79167465,5.20833374999999
6.0,105.62500845,36.04166955
23.0,9.37500075,63.12500505
17.0,121.04167635,-33.54166935
6.0,8.54166734999998,49.37500395
10.0,116.87500935,3.95833365
255.0,147.70834515,-39.37500315
18.0,83.12500665,28.54166895
255.0,100.62500805,8.12500065
18.0,148.95834525,-31.87500255
255.0,129.37501035,30.20833575
0.0,103.12500825,20.20833495
18.0,2.70833354999999,46.45833705
24.0,-106.45834185,28.95833565
29.0,134.37501075,-32.70833595
6.0,103.95834165,35.62500285
0.0,106.87500855,21.87500175
255.0,124.37500995,-33.12500265
0.0,109.37500875,18.95833485
255.0,133.95834405,-5.62500045
255.0,9.37500075,38.95833645
255.0,122.70834315,37.70833635
18.0,-0.208333350000004,38.54166975
16.0,-101.04167475,18.95833485
6.0,106.87500855,14.79166785
18.0,-3.95833365000001,38.95833645
255.0,103.95834165,9.79166744999999
255.0,-77.29167285,56.04167115
5.0,-101.87500815,26.87500215
11.0,105.20834175,11.04166755
255.0,149.79167865,-21.87500175
4.0,136.45834425,-16.45833465
29.0,-98.12500785,21.04166835
255.0,-1.04166675000002,50.20833735
0.0,110.20834215,22.70833515
18.0,25.20833535,41.87500335
18.0,136.04167755,-32.29166925
0.0,152.70834555,-29.79166905
255.0,-78.95833965,25.62500205
6.0,145.62501165,-38.54166975
0.0,93.12500745,21.04166835
18.0,142.70834475,-36.04166955
6.0,25.20833535,46.87500375
0.0,117.70834275,29.37500235
1.0,20.62500165,52.70833755
255.0,173.12501385,-34.79166945
255.0,24.37500195,40.62500325
11.0,105.20834175,8.95833404999999
19.0,117.29167605,0.625000049999997
255.0,20.20833495,38.54166975
18.0,-103.12500825,36.04166955
0.0,111.87500895,22.29166845
255.0,114.79167585,-29.79166905
6.0,116.87500935,-29.37500235
18.0,120.20834295,15.20833455
24.0,-107.29167525,26.87500215
18.0,26.87500215,39.37500315
26.0,141.87501135,-36.87500295
1.0,37.70833635,56.04167115
6.0,96.87500775,24.79166865
18.0,-113.12500905,34.79166945
20.0,-98.95834125,20.20833495
11.0,143.95834485,-14.79166785
18.0,147.70834515,-32.70833595
255.0,99.79167465,4.37500034999999
6.0,145.62501165,-33.54166935
0.0,114.37500915,22.70833515
255.0,8.54166734999998,43.95833685
3.0,143.54167815,-5.62500045
0.0,104.37500835,20.62500165
29.0,-80.62500645,27.70833555
15.0,-2.29166685000001,41.04166995
4.0,119.37500955,-32.29166925
6.0,9.37500075,54.79167105
255.0,105.20834175,-1.45833345
18.0,121.87500975,-32.70833595
255.0,119.37500955,-8.54166735
18.0,23.12500185,37.70833635
18.0,-111.04167555,33.54166935
18.0,107.29167525,14.79166785
4.0,115.62500925,-31.45833585
18.0,141.45834465,-17.29166805
6.0,11.04166755,49.79167065
1.0,35.62500285,55.62500445
20.0,41.45833665,54.37500435
18.0,95.20834095,28.95833565
18.0,148.95834525,-34.37500275
255.0,119.37500955,4.37500034999999
3.0,97.70834115,3.95833365
255.0,-118.12500945,32.70833595
4.0,134.37501075,-31.87500255
255.0,-80.62500645,48.95833725
6.0,149.37501195,-37.70833635
255.0,100.20834135,6.04166714999999
10.0,115.62500925,1.04166675
255.0,101.04167475,3.12500025
255.0,1.04166674999999,53.12500425
255.0,106.45834185,18.54166815
5.0,-109.79167545,31.87500255
6.0,116.87500935,-33.54166935
255.0,116.45834265,-3.54166695000001
6.0,122.29167645,-30.20833575
255.0,136.04167755,-34.79166945
19.0,106.04167515,-2.29166685
255.0,116.45834265,-36.04166955
4.0,134.37501075,-30.62500245
19.0,112.29167565,1.04166675
18.0,-98.95834125,17.29166805
18.0,-98.12500785,20.62500165
4.0,140.62501125,-33.54166935
6.0,14.79166785,45.62500365
255.0,137.29167765,-30.20833575
24.0,-108.12500865,29.79166905
26.0,143.54167815,-36.04166955
26.0,119.37500955,-32.70833595
29.0,-101.87500815,20.20833495
0.0,111.45834225,21.87500175
6.0,-96.87500775,18.95833485
18.0,147.70834515,-32.29166925
18.0,118.95834285,-29.79166905
10.0,96.87500775,5.20833374999999
16.0,-101.04167475,18.12500145
6.0,26.04166875,46.87500375
255.0,18.12500145,40.62500325
6.0,120.20834295,-31.45833585
255.0,131.87501055,-1.87500015000001
20.0,38.12500305,52.70833755
6.0,103.12500825,20.62500165
6.0,11.04166755,43.95833685
4.0,143.12501145,-35.20833615
10.0,121.87500975,-3.95833365
26.0,140.20834455,-36.45833625
255.0,171.87501375,-33.95833605
6.0,21.04166835,38.54166975
255.0,93.12500745,19.79166825
255.0,113.95834245,-8.95833405
29.0,9.79166744999998,37.29166965
24.0,-105.62500845,25.62500205
29.0,-96.04167435,18.12500145
1.0,30.62500245,52.29167085
6.0,8.54166734999998,48.12500385
255.0,121.87500975,19.37500155
255.0,130.62501045,30.20833575
255.0,142.29167805,-32.29166925
18.0,145.62501165,-32.70833595
255.0,97.29167445,16.45833465
18.0,116.87500935,-32.70833595
6.0,112.29167565,-0.625000049999997
255.0,121.87500975,11.04166755
0.0,107.70834195,23.54166855
0.0,116.45834265,25.20833535
11.0,21.87500175,50.62500405
255.0,-72.70833915,-51.04167075
255.0,137.29167765,-34.37500275
255.0,93.54167415,18.95833485
255.0,35.62500285,34.79166945
255.0,131.87501055,-32.29166925
3.0,146.04167835,-7.29166725
6.0,7.29166724999999,47.70833715
18.0,-77.29167285,40.62500325
255.0,-124.37500995,43.95833685
6.0,-5.62500045000002,40.20833655
4.0,136.45834425,-30.20833575
18.0,25.62500205,41.45833665
1.0,22.29166845,53.12500425
6.0,148.12501185,-37.70833635
10.0,101.45834145,4.37500034999999
20.0,-95.62500765,16.45833465
255.0,100.62500805,12.70833435
255.0,146.87501175,-9.37500075
